timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
11181.68,30.44,24,40,65,23.24,30.7,100
11181.68,30.44,24,40,65,23.24,30.7,100
11181.68,30.44,24,40,65,23.24,30.7,100
11181.68,30.44,24,40,65,23.24,30.7,100
11181.68,30.44,24,40,65,23.24,30.7,100
11181.68,30.44,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.83,30.45,24,40,65,23.24,30.7,100
11181.98,30.71,24,40,65,,30.69,100
11181.98,30.71,24,40,65,,30.69,100
11181.98,30.71,24,40,65,,30.69,100
11181.98,30.71,24,40,65,,30.69,100
11181.98,30.71,24,40,65,,30.69,100
11181.98,30.71,24,40,65,,30.69,100
11182.13,31.33,24,40,65,,30.68,100
11182.13,31.33,24,40,65,,30.68,100
11182.13,31.33,24,40,65,,30.68,100
11182.13,31.33,24,40,65,,30.68,100
11182.13,31.33,24,40,65,,30.68,100
11182.13,31.33,24,40,65,,30.68,100
11182.281,32.58,24,40,65,,30.64,100
11182.281,32.58,24,40,65,,30.64,100
11182.281,32.58,24,40,65,,30.64,100
11182.281,32.58,24,40,65,,30.64,100
11182.281,32.58,24,40,65,,30.64,100
11182.281,32.58,24,40,65,,30.64,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.431,33.69,24,40,65,23.31,30.61,100
11182.581,34.86,24,40,65,,30.57,100
11182.581,34.86,24,40,65,,30.57,100
11182.581,34.86,24,40,65,,30.57,100
11182.581,34.86,24,40,65,,30.57,100
11182.581,34.86,24,40,65,,30.57,100
11182.581,34.86,24,40,65,,30.57,100
11182.732,36.5,24,40,65,,30.51,100
11182.732,36.5,24,40,65,,30.51,100
11182.732,36.5,24,40,65,,30.51,100
11182.732,36.5,24,40,65,,30.51,100
11182.732,36.5,24,40,65,,30.51,100
11182.732,36.5,24,40,65,,30.51,100
11182.882,37.76,24,40,65,,30.45,100
11182.882,37.76,24,40,65,,30.45,100
11182.882,37.76,24,40,65,,30.45,100
11182.882,37.76,24,40,65,,30.45,100
11182.882,37.76,24,40,65,,30.45,100
11182.882,37.76,24,40,65,,30.45,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.032,39.03,24,40,65,23.39,30.4,100
11183.183,40.74,24,40,65,,30.33,100
11183.183,40.74,24,40,65,,30.33,100
11183.183,40.74,24,40,65,,30.33,100
