timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
3934.699,40.56,24,40,65,25.39,41.47,100
3934.699,40.56,24,40,65,25.39,41.47,100
3934.699,40.56,24,40,65,25.39,41.47,100
3934.699,40.56,24,40,65,25.39,41.47,100
3934.699,40.56,24,40,65,25.39,41.47,100
3934.699,40.56,24,40,65,25.39,41.47,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.849,40.56,24,40,65,25.39,41.46,100
3934.999,40.69,24,40,65,25.39,41.45,100
3934.999,40.69,24,40,65,25.39,41.45,100
3934.999,40.69,24,40,65,25.39,41.45,100
3934.999,40.69,24,40,65,25.39,41.45,100
3934.999,40.69,24,40,65,25.39,41.45,100
3934.999,40.69,24,40,65,25.39,41.45,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.149,41.29,24,40,65,25.39,41.42,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.299,42.03,24,40,65,25.39,41.38,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.449,42.96,24,40,65,25.39,41.32,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.598,44.39,24,40,65,25.39,41.25,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.749,45.57,24,40,65,25.39,41.18,100
3935.899,46.8,24,40,65,25.39,41.1,100
3935.899,46.8,24,40,65,25.39,41.1,100
3935.899,46.8,24,40,65,25.39,41.1,100
3935.899,46.8,24,40,65,25.39,41.1,100
3935.899,46.8,24,40,65,25.39,41.1,100
3935.899,46.8,24,40,65,25.39,41.1,100
3936.049,48.49,24,40,65,25.39,41,100
3936.049,48.49,24,40,65,25.39,41,100
3936.049,48.49,24,40,65,25.39,41,100
3936.049,48.49,24,40,65,25.39,41,100
3936.049,48.49,24,40,65,25.39,41,100
3936.049,48.49,24,40,65,25.39,41,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.198,49.79,24,40,65,25.39,40.93,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.349,51.09,24,40,65,25.39,40.84,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.5,52.83,24,40,65,25.39,40.72,100
3936.65,54.14,24,40,65,25.39,40.64,100
