timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
4419.714,28.13,24,40,65,25.02
4419.714,28.13,24,40,65,25.02
4419.714,28.13,24,40,65,25.02
4419.714,28.13,24,40,65,25.02
4419.714,28.13,24,40,65,25.02
4419.864,28.15,24,40,65,
4419.864,28.15,24,40,65,
4419.864,28.15,24,40,65,
4419.864,28.15,24,40,65,
4420.013,28.33,24,40,65,
4420.013,28.33,24,40,65,
4420.013,28.33,24,40,65,
4420.013,28.33,24,40,65,
4420.163,28.79,24,40,65,
4420.163,28.79,24,40,65,
4420.163,28.79,24,40,65,
4420.163,28.79,24,40,65,
4420.314,29.8,24,40,65,25.02
4420.314,29.8,24,40,65,25.02
4420.314,29.8,24,40,65,25.02
4420.314,29.8,24,40,65,25.02
4420.314,29.8,24,40,65,25.02
4420.463,30.76,24,40,65,
4420.463,30.76,24,40,65,
4420.463,30.76,24,40,65,
4420.463,30.76,24,40,65,
4420.613,31.83,24,40,65,
4420.613,31.83,24,40,65,
4420.613,31.83,24,40,65,
4420.613,31.83,24,40,65,
4420.765,33.4,24,40,65,
4420.765,33.4,24,40,65,
4420.765,33.4,24,40,65,
4420.765,33.4,24,40,65,
4420.915,34.64,24,40,65,25.09
4420.915,34.64,24,40,65,25.09
4420.915,34.64,24,40,65,25.09
4420.915,34.64,24,40,65,25.09
4420.915,34.64,24,40,65,25.09
4421.065,35.9,24,40,65,
4421.065,35.9,24,40,65,
4421.065,35.9,24,40,65,
4421.065,35.9,24,40,65,
4421.216,37.62,24,40,65,
4421.216,37.62,24,40,65,
4421.216,37.62,24,40,65,
4421.216,37.62,24,40,65,
4421.365,38.91,24,40,65,
4421.365,38.91,24,40,65,
4421.365,38.91,24,40,65,
4421.365,38.91,24,40,65,
4421.516,40.22,24,40,65,25.12
4421.516,40.22,24,40,65,25.12
4421.516,40.22,24,40,65,25.12
4421.516,40.22,24,40,65,25.12
4421.516,40.22,24,40,65,25.12
4421.666,41.95,24,40,65,
4421.666,41.95,24,40,65,
4421.666,41.95,24,40,65,
4421.666,41.95,24,40,65,
4421.816,43.24,24,40,65,
4421.816,43.24,24,40,65,
4421.816,43.24,24,40,65,
4421.816,43.24,24,40,65,
4421.966,44.52,24,40,65,
4421.966,44.52,24,40,65,
4421.966,44.52,24,40,65,
4421.966,44.52,24,40,65,
4422.116,46.21,24,40,65,25.05
4422.116,46.21,24,40,65,25.05
4422.116,46.21,24,40,65,25.05
4422.116,46.21,24,40,65,25.05
4422.116,46.21,24,40,65,25.05
4422.266,47.46,24,40,65,
4422.266,47.46,24,40,65,
4422.266,47.46,24,40,65,
4422.266,47.46,24,40,65,
4422.416,48.69,24,40,65,
4422.416,48.69,24,40,65,
4422.416,48.69,24,40,65,
4422.416,48.69,24,40,65,
4422.567,50.32,24,40,65,
4422.567,50.32,24,40,65,
4422.567,50.32,24,40,65,
4422.567,50.32,24,40,65,
4422.717,51.51,24,40,65,25.08
4422.717,51.51,24,40,65,25.08
4422.717,51.51,24,40,65,25.08
4422.717,51.51,24,40,65,25.08
4422.717,51.51,24,40,65,25.08
4422.867,52.69,24,40,65,
4422.867,52.69,24,40,65,
4422.867,52.69,24,40,65,
4422.867,52.69,24,40,65,
4423.017,54.26,24,40,65,
4423.017,54.26,24,40,65,
4423.017,54.26,24,40,65,
4423.017,54.26,24,40,65,
4423.166,55.41,24,40,65,
4423.166,55.41,24,40,65,
4423.166,55.41,24,40,65,
4423.166,55.41,24,40,65,
4423.317,56.54,24,40,65,25.17
4423.317,56.54,24,40,65,25.17
4423.317,56.54,24,40,65,25.17
4423.317,56.54,24,40,65,25.17
4423.317,56.54,24,40,65,25.17
4423.466,58.02,24,40,65,
4423.466,58.02,24,40,65,
4423.466,58.02,24,40,65,
4423.466,58.02,24,40,65,
4423.617,59.12,24,40,65,
4423.617,59.12,24,40,65,
4423.617,59.12,24,40,65,
4423.617,59.12,24,40,65,
4423.767,60.19,24,40,65,
4423.767,60.19,24,40,65,
4423.767,60.19,24,40,65,
4423.767,60.19,24,40,65,
4423.917,61.6,24,40,65,
4423.917,61.6,24,40,65,
4423.917,61.6,24,40,65,
4423.917,61.6,24,40,65,
4423.924,,,,,25.19
4424.066,62.63,24,40,65,
4424.066,62.63,24,40,65,
4424.066,62.63,24,40,65,
4424.066,62.63,24,40,65,
4424.217,63.65,24,40,65,
4424.217,63.65,24,40,65,
4424.217,63.65,24,40,65,
4424.217,63.65,24,40,65,
4424.366,65,24,40,65,
4424.366,65,24,40,65,
4424.366,65,24,40,65,
4424.366,65,24,40,65,
4424.517,65.99,24,40,65,25.24
4424.517,65.99,24,40,65,25.24
4424.517,65.99,24,40,65,25.24
4424.517,65.99,24,40,65,25.24
4424.517,65.99,24,40,65,25.24
4424.666,66.96,24.04,40,65,
4424.666,66.96,24.04,40,65,
4424.666,66.96,24.04,40,65,
4424.666,66.96,24.04,40,65,
4424.817,68.21,24.15,40,65,
4424.817,68.21,24.15,40,65,
4424.817,68.21,24.15,40,65,
4424.817,68.21,24.15,40,65,
4424.966,69.15,24.26,40,65,
4424.966,69.15,24.26,40,65,
4424.966,69.15,24.26,40,65,
4424.966,69.15,24.26,40,65,
4425.117,70.07,24.38,40,65,25.84
4425.117,70.07,24.38,40,65,25.84
4425.117,70.07,24.38,40,65,25.84
4425.117,70.07,24.38,40,65,25.84
4425.117,70.07,24.38,40,65,25.84
4425.267,71.26,24.51,40,65,
4425.267,71.26,24.51,40,65,
4425.267,71.26,24.51,40,65,
4425.267,71.26,24.51,40,65,
4425.417,72.17,24.63,40,65,
4425.417,72.17,24.63,40,65,
4425.417,72.17,24.63,40,65,
4425.417,72.17,24.63,40,65,
4425.567,73.03,24.77,40,65,
4425.567,73.03,24.77,40,65,
4425.567,73.03,24.77,40,65,
4425.567,73.03,24.77,40,65,
4425.717,74.16,24.91,40,65,28.09
4425.717,74.16,24.91,40,65,28.09
4425.717,74.16,24.91,40,65,28.09
4425.717,74.16,24.91,40,65,28.09
4425.717,74.16,24.91,40,65,28.09
4425.867,75,25.05,40,65,
4425.867,75,25.05,40,65,
4425.867,75,25.05,40,65,
4425.867,75,25.05,40,65,
4426.017,75.82,25.2,40,65,
4426.017,75.82,25.2,40,65,
4426.017,75.82,25.2,40,65,
4426.017,75.82,25.2,40,65,
4426.166,76.88,25.35,40,65,
4426.166,76.88,25.35,40,65,
4426.166,76.88,25.35,40,65,
4426.166,76.88,25.35,40,65,
4426.317,77.67,25.51,40,65,28.17
4426.317,77.67,25.51,40,65,28.17
4426.317,77.67,25.51,40,65,28.17
4426.317,77.67,25.51,40,65,28.17
4426.317,77.67,25.51,40,65,28.17
4426.466,78.47,25.66,40,65,
4426.466,78.47,25.66,40,65,
4426.466,78.47,25.66,40,65,
4426.466,78.47,25.66,40,65,
4426.617,79.47,25.83,40,65,
4426.617,79.47,25.83,40,65,
4426.617,79.47,25.83,40,65,
4426.617,79.47,25.83,40,65,
4426.766,80.23,26,40,65,
4426.766,80.23,26,40,65,
4426.766,80.23,26,40,65,
4426.766,80.23,26,40,65,
4426.917,80.97,26.16,40,65,29.58
4426.917,80.97,26.16,40,65,29.58
4426.917,80.97,26.16,40,65,29.58
4426.917,80.97,26.16,40,65,29.58
4426.917,80.97,26.16,40,65,29.58
4427.067,81.94,26.34,40,65,
4427.067,81.94,26.34,40,65,
4427.067,81.94,26.34,40,65,
4427.067,81.94,26.34,40,65,
4427.217,82.64,26.52,40,65,
4427.217,82.64,26.52,40,65,
4427.217,82.64,26.52,40,65,
4427.217,82.64,26.52,40,65,
4427.366,83.35,26.7,40,65,
4427.366,83.35,26.7,40,65,
4427.366,83.35,26.7,40,65,
4427.366,83.35,26.7,40,65,
4427.517,84.26,26.89,40,65,32.43
4427.517,84.26,26.89,40,65,32.43
4427.517,84.26,26.89,40,65,32.43
4427.517,84.26,26.89,40,65,32.43
4427.517,84.26,26.89,40,65,32.43
4427.666,84.91,27.07,40,65,
4427.666,84.91,27.07,40,65,
4427.666,84.91,27.07,40,65,
4427.666,84.91,27.07,40,65,
4427.817,85.57,27.25,40,65,
4427.817,85.57,27.25,40,65,
4427.817,85.57,27.25,40,65,
4427.817,85.57,27.25,40,65,
4427.968,86.45,27.46,40,65,
4427.968,86.45,27.46,40,65,
4427.968,86.45,27.46,40,65,
4427.968,86.45,27.46,40,65,
4428.118,87.07,27.65,40,65,33.96
4428.118,87.07,27.65,40,65,33.96
4428.118,87.07,27.65,40,65,33.96
4428.118,87.07,27.65,40,65,33.96
4428.118,87.07,27.65,40,65,33.96
4428.268,87.69,27.84,40,65,
4428.268,87.69,27.84,40,65,
4428.268,87.69,27.84,40,65,
4428.268,87.69,27.84,40,65,
4428.419,88.53,28.05,40,65,
4428.419,88.53,28.05,40,65,
4428.419,88.53,28.05,40,65,
4428.419,88.53,28.05,40,65,
4428.569,89.13,28.25,40,65,
4428.569,89.13,28.25,40,65,
4428.569,89.13,28.25,40,65,
4428.569,89.13,28.25,40,65,
4428.719,89.73,28.45,40,65,36.38
4428.719,89.73,28.45,40,65,36.38
4428.719,89.73,28.45,40,65,36.38
4428.719,89.73,28.45,40,65,36.38
4428.719,89.73,28.45,40,65,36.38
4428.868,90.51,28.67,40,65,
4428.868,90.51,28.67,40,65,
4428.868,90.51,28.67,40,65,
4428.868,90.51,28.67,40,65,
4429.019,91.11,28.87,40,65,
4429.019,91.11,28.87,40,65,
4429.019,91.11,28.87,40,65,
4429.019,91.11,28.87,40,65,
4429.169,91.68,29.08,40,65,
4429.169,91.68,29.08,40,65,
4429.169,91.68,29.08,40,65,
4429.169,91.68,29.08,40,65,
4429.319,92.43,29.31,40,65,34.96
4429.319,92.43,29.31,40,65,34.96
4429.319,92.43,29.31,40,65,34.96
4429.319,92.43,29.31,40,65,34.96
4429.319,92.43,29.31,40,65,34.96
4429.468,92.97,29.52,40,65,
4429.468,92.97,29.52,40,65,
4429.468,92.97,29.52,40,65,
4429.468,92.97,29.52,40,65,
4429.619,93.51,29.73,40,65,
4429.619,93.51,29.73,40,65,
4429.619,93.51,29.73,40,65,
4429.619,93.51,29.73,40,65,
4429.769,94.23,29.96,40,65,
4429.769,94.23,29.96,40,65,
4429.769,94.23,29.96,40,65,
4429.769,94.23,29.96,40,65,
4429.919,94.76,30.18,40,65,36.23
4429.919,94.76,30.18,40,65,36.23
4429.919,94.76,30.18,40,65,36.23
4429.919,94.76,30.18,40,65,36.23
4429.919,94.76,30.18,40,65,36.23
4430.069,95.26,30.4,40,65,
4430.069,95.26,30.4,40,65,
4430.069,95.26,30.4,40,65,
4430.069,95.26,30.4,40,65,
4430.219,95.93,30.64,40,65,
4430.219,95.93,30.64,40,65,
4430.219,95.93,30.64,40,65,
4430.219,95.93,30.64,40,65,
4430.368,96.45,30.86,40,65,
4430.368,96.45,30.86,40,65,
4430.368,96.45,30.86,40,65,
4430.368,96.45,30.86,40,65,
4430.519,96.93,31.08,40,65,
4430.519,96.93,31.08,40,65,
4430.519,96.93,31.08,40,65,
4430.519,96.93,31.08,40,65,
4430.554,,,,,37.32
4430.669,97.55,31.32,40,65,
4430.669,97.55,31.32,40,65,
4430.669,97.55,31.32,40,65,
4430.669,97.55,31.32,40,65,
4430.819,98.04,31.55,40,65,
4430.819,98.04,31.55,40,65,
4430.819,98.04,31.55,40,65,
4430.819,98.04,31.55,40,65,
4430.969,98.48,31.77,40,65,
4430.969,98.48,31.77,40,65,
4430.969,98.48,31.77,40,65,
4430.969,98.48,31.77,40,65,
4431.119,99.1,32.02,40,65,39.32
4431.119,99.1,32.02,40,65,39.32
4431.119,99.1,32.02,40,65,39.32
4431.119,99.1,32.02,40,65,39.32
4431.119,99.1,32.02,40,65,39.32
4431.268,99.55,32.25,40,65,
4431.268,99.55,32.25,40,65,
4431.268,99.55,32.25,40,65,
4431.268,99.55,32.25,40,65,
4431.419,100,32.48,40,65,
4431.419,100,32.48,40,65,
4431.419,100,32.48,40,65,
4431.419,100,32.48,40,65,
4431.569,100.58,32.73,40,65,
4431.569,100.58,32.73,40,65,
4431.569,100.58,32.73,40,65,
4431.569,100.58,32.73,40,65,
4431.719,101,32.96,40,65,40.62
4431.719,101,32.96,40,65,40.62
4431.719,101,32.96,40,65,40.62
4431.719,101,32.96,40,65,40.62
4431.719,101,32.96,40,65,40.62
4431.869,101.42,33.2,40,65,
4431.869,101.42,33.2,40,65,
4431.869,101.42,33.2,40,65,
4431.869,101.42,33.2,40,65,
4432.02,101.97,33.45,40,65,
4432.02,101.97,33.45,40,65,
4432.02,101.97,33.45,40,65,
4432.02,101.97,33.45,40,65,
4432.17,102.38,33.69,40,65,
4432.17,102.38,33.69,40,65,
4432.17,102.38,33.69,40,65,
4432.17,102.38,33.69,40,65,
4432.32,102.78,33.92,40,65,41.91
4432.32,102.78,33.92,40,65,41.91
4432.32,102.78,33.92,40,65,41.91
4432.32,102.78,33.92,40,65,41.91
4432.32,102.78,33.92,40,65,41.91
4432.47,103.31,34.18,40,65,
4432.47,103.31,34.18,40,65,
4432.47,103.31,34.18,40,65,
4432.47,103.31,34.18,40,65,
4432.62,103.7,34.42,40,65,
4432.62,103.7,34.42,40,65,
4432.62,103.7,34.42,40,65,
4432.62,103.7,34.42,40,65,
4432.77,104.1,34.66,40,65,
4432.77,104.1,34.66,40,65,
4432.77,104.1,34.66,40,65,
4432.77,104.1,34.66,40,65,
4432.921,104.61,34.92,40,65,43.08
4432.921,104.61,34.92,40,65,43.08
4432.921,104.61,34.92,40,65,43.08
4432.921,104.61,34.92,40,65,43.08
4432.921,104.61,34.92,40,65,43.08
4433.07,104.98,35.16,40,65,
4433.07,104.98,35.16,40,65,
4433.07,104.98,35.16,40,65,
4433.07,104.98,35.16,40,65,
4433.22,105.34,35.4,40,65,
4433.22,105.34,35.4,40,65,
4433.22,105.34,35.4,40,65,
4433.22,105.34,35.4,40,65,
4433.37,105.83,35.66,40,65,
4433.37,105.83,35.66,40,65,
4433.37,105.83,35.66,40,65,
4433.37,105.83,35.66,40,65,
4433.52,106.22,35.91,40,65,44.08
4433.52,106.22,35.91,40,65,44.08
4433.52,106.22,35.91,40,65,44.08
4433.52,106.22,35.91,40,65,44.08
4433.52,106.22,35.91,40,65,44.08
4433.67,106.55,36.15,40,65,
4433.67,106.55,36.15,40,65,
4433.67,106.55,36.15,40,65,
4433.67,106.55,36.15,40,65,
4433.821,107.02,36.41,40,65,
4433.821,107.02,36.41,40,65,
4433.821,107.02,36.41,40,65,
4433.821,107.02,36.41,40,65,
4433.97,107.37,36.66,40,65,
4433.97,107.37,36.66,40,65,
4433.97,107.37,36.66,40,65,
4433.97,107.37,36.66,40,65,
4434.12,107.7,36.9,40,65,45
4434.12,107.7,36.9,40,65,45
4434.12,107.7,36.9,40,65,45
4434.12,107.7,36.9,40,65,45
4434.12,107.7,36.9,40,65,45
4434.27,108.13,37.16,40,65,
4434.27,108.13,37.16,40,65,
4434.27,108.13,37.16,40,65,
4434.27,108.13,37.16,40,65,
4434.42,108.46,37.41,40,65,
4434.42,108.46,37.41,40,65,
4434.42,108.46,37.41,40,65,
4434.42,108.46,37.41,40,65,
4434.571,108.78,37.65,40,65,
4434.571,108.78,37.65,40,65,
4434.571,108.78,37.65,40,65,
4434.571,108.78,37.65,40,65,
4434.72,109.2,37.92,40,65,45.82
4434.72,109.2,37.92,40,65,45.82
4434.72,109.2,37.92,40,65,45.82
4434.72,109.2,37.92,40,65,45.82
4434.72,109.2,37.92,40,65,45.82
4434.87,109.51,38.16,40,65,
4434.87,109.51,38.16,40,65,
4434.87,109.51,38.16,40,65,
4434.87,109.51,38.16,40,65,
4435.02,109.8,38.41,40,65,
4435.02,109.8,38.41,40,65,
4435.02,109.8,38.41,40,65,
4435.02,109.8,38.41,40,65,
4435.17,110.11,38.66,40,65,
4435.17,110.11,38.66,40,65,
4435.17,110.11,38.66,40,65,
4435.17,110.11,38.66,40,65,
4435.32,110.5,38.92,40,65,46.48
4435.32,110.5,38.92,40,65,46.48
4435.32,110.5,38.92,40,65,46.48
4435.32,110.5,38.92,40,65,46.48
4435.32,110.5,38.92,40,65,46.48
4435.47,110.78,39.17,40,65,
4435.47,110.78,39.17,40,65,
4435.47,110.78,39.17,40,65,
4435.47,110.78,39.17,40,65,
4435.62,111.02,39.4,40,65,
4435.62,111.02,39.4,40,65,
4435.62,111.02,39.4,40,65,
4435.62,111.02,39.4,40,65,
4435.77,111.34,39.66,40,65,
4435.77,111.34,39.66,40,65,
4435.77,111.34,39.66,40,65,
4435.77,111.34,39.66,40,65,
4435.92,111.52,39.88,40,65,47.22
4435.92,111.52,39.88,40,65,47.22
4435.92,111.52,39.88,40,65,47.22
4435.92,111.52,39.88,40,65,47.22
4435.92,111.52,39.88,40,65,47.22
4436.07,111.69,40.11,40,65,
4436.07,111.69,40.11,40,65,
4436.07,111.69,40.11,40,65,
4436.07,111.69,40.11,40,65,
4436.22,111.92,40.34,40,65,
4436.22,111.92,40.34,40,65,
4436.22,111.92,40.34,40,65,
4436.22,111.92,40.34,40,65,
4436.37,112.06,40.56,40,65,
4436.37,112.06,40.56,40,65,
4436.37,112.06,40.56,40,65,
4436.37,112.06,40.56,40,65,
4436.52,112.16,40.77,40,65,47.96
4436.52,112.16,40.77,40,65,47.96
4436.52,112.16,40.77,40,65,47.96
4436.52,112.16,40.77,40,65,47.96
4436.52,112.16,40.77,40,65,47.96
4436.671,112.29,40.99,40,65,
4436.671,112.29,40.99,40,65,
4436.671,112.29,40.99,40,65,
4436.671,112.29,40.99,40,65,
4436.821,112.37,41.19,40,65,
4436.821,112.37,41.19,40,65,
4436.821,112.37,41.19,40,65,
4436.821,112.37,41.19,40,65,
4436.971,112.44,41.39,40,65,
4436.971,112.44,41.39,40,65,
4436.971,112.44,41.39,40,65,
4436.971,112.44,41.39,40,65,
4437.122,112.5,41.59,40,65,
4437.122,112.5,41.59,40,65,
4437.122,112.5,41.59,40,65,
4437.122,112.5,41.59,40,65,
4437.203,,,,,48.61
4437.272,112.56,41.79,40,65,
4437.272,112.56,41.79,40,65,
4437.272,112.56,41.79,40,65,
4437.272,112.56,41.79,40,65,
4437.422,112.6,41.99,40,65,
4437.422,112.6,41.99,40,65,
4437.422,112.6,41.99,40,65,
4437.422,112.6,41.99,40,65,
4437.572,112.64,42.18,40,65,
4437.572,112.64,42.18,40,65,
4437.572,112.64,42.18,40,65,
4437.572,112.64,42.18,40,65,
4437.722,112.66,42.37,40,65,49.51
4437.722,112.66,42.37,40,65,49.51
4437.722,112.66,42.37,40,65,49.51
4437.722,112.66,42.37,40,65,49.51
4437.722,112.66,42.37,40,65,49.51
4437.872,112.69,42.56,40,65,
4437.872,112.69,42.56,40,65,
4437.872,112.69,42.56,40,65,
4437.872,112.69,42.56,40,65,
4438.022,112.7,42.75,40,65,
4438.022,112.7,42.75,40,65,
