timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR HeatSink TempC,PCR Ramp Set TempC,PCR Output,Stage1 Error Time Ms,PCR Error Time Ms,PCR Target Rate,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.798,25.24,24.0,62.0,21.21,25.36,100.0,,,,,,,100.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9529.948,25.25,24.0,62.0,,25.35,100.0,,,,,,,250.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.098,25.38,24.0,62.0,,25.35,100.0,,,,,,,400.0,,,,,,,,,,,,,,,
9530.248,25.8,24.0,62.0,,25.34,100.0,,,,,,,550.0,,,,,,,,,,,,,,,
