timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
59353.904,,,,,,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,
59354.713,32.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59354.805,32.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59354.916,32.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.016,32.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.116,33.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.217,33.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.316,34.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.346,,,,,,,33.68,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.429,35.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.53,36.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.63,37.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.742,37.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.849,38.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59355.949,38.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.05,39.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.149,40.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.249,40.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.349,41.3,,50,,,,33.63,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.449,41.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.549,42.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.649,43,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.749,43.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.849,44.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59356.949,44.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.049,44.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.149,44.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.249,45.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.349,45.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.37,,,,,,,33.69,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.45,45.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.57,45.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.669,45.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.769,45.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.869,46.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59357.969,46.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.069,46.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.169,46.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.269,46.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.369,47.2,,50,,,,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.469,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.569,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.669,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.77,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.87,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59358.969,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.069,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.17,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.27,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.37,47.2,,50,,,,33.66,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.47,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.569,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.669,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.769,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.87,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59359.971,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.069,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.169,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.27,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.369,47.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.421,,,,,,,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.469,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.57,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.67,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.77,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.869,47.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59360.97,47.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.069,47.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.17,47.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.27,47.3,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.369,47.5,,50,,,,33.79,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.47,47.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.569,47.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.669,47.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.769,47.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.869,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59361.97,47.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.07,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.17,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.269,47.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.369,47.7,,50,,,,34.04,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.469,47.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.569,47.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.669,47.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.77,47.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.87,47.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59362.969,47.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.07,47.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.169,48,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.269,48,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.369,48.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.418,,,,,,,34.71,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.47,48,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.57,48.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.67,48.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.77,48.1,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59363.869,48.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
