***Stage1 ON***
[13]TC TEC set to 50°C
(1690363) _setStage1TecTempC: TEC Set Temp 50.000000
(1690364) _resetThermalControlState: RESET Peltier 0 control state
(1690368) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(1690375) _setThermalControlState: thermalControl-0: changing state 3->1
(1690382) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(1690390) thermalControlSetEnable: Enabling Peltier 0
(1690463) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 50, exptTempC = 50.00, TecRate = -0.001
(1690613) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 200, exptTempC = 50.00, TecRate = -0.001
(1690762) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 350, exptTempC = 50.00, TecRate = -0.001
(1690912) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.16, output = 100.0, timeout = 500, exptTempC = 50.00, TecRate = -0.001
(1691067) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.88, output = 100.0, timeout = 650, exptTempC = 50.00, TecRate = -0.001
(1691213) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.63, output = 100.0, timeout = 800, exptTempC = 50.00, TecRate = -0.001
(1691364) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 950, exptTempC = 50.00, TecRate = -0.001
(1691514) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -86.75, output = 100.0, timeout = 1100, exptTempC = 50.00, TecRate = -0.001
(1691663) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.31, output = 100.0, timeout = 1250, exptTempC = 50.00, TecRate = -0.001
(1691813) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.61, output = 100.0, timeout = 1400, exptTempC = 50.00, TecRate = -0.001
(1691970) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 1550, exptTempC = 50.00, TecRate = -0.001
(1692115) TC: TC-0 = 22.65, modeled = 21.26, target = 50.00, heatSink = -87.67, output = 100.0, timeout = 1700, exptTempC = 50.00, TecRate = -0.001
(1692264) TC: TC-0 = 22.66, modeled = 21.26, target = 50.00, heatSink = -87.24, output = 100.0, timeout = 1850, exptTempC = 50.00, TecRate = -0.001
(1692415) TC: TC-0 = 22.67, modeled = 21.25, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 2000, exptTempC = 50.00, TecRate = -0.001
(1692565) TC: TC-0 = 22.69, modeled = 21.25, target = 50.00, heatSink = -87.53, output = 100.0, timeout = 2150, exptTempC = 50.00, TecRate = -0.000
(1692717) TC: TC-0 = 22.72, modeled = 21.25, target = 50.00, heatSink = -87.37, output = 100.0, timeout = 2300, exptTempC = 50.00, TecRate = 0.000
(1692871) TC: TC-0 = 22.74, modeled = 21.25, target = 50.00, heatSink = -87.70, output = 100.0, timeout = 2450, exptTempC = 50.00, TecRate = 0.001
(1693016) TC: TC-0 = 22.78, modeled = 21.26, target = 50.00, heatSink = -87.71, output = 100.0, timeout = 2600, exptTempC = 50.00, TecRate = 0.001
(1693166) TC: TC-0 = 22.82, modeled = 21.26, target = 50.00, heatSink = -87.19, output = 100.0, timeout = 2750, exptTempC = 50.00, TecRate = 0.002
(1693317) TC: TC-0 = 22.86, modeled = 21.26, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 2900, exptTempC = 50.00, TecRate = 0.003
(1693466) TC: TC-0 = 22.90, modeled = 21.26, target = 50.00, heatSink = -87.41, output = 100.0, timeout = 3050, exptTempC = 50.00, TecRate = 0.004
(1693619) TC: TC-0 = 22.94, modeled = 21.26, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 3200, exptTempC = 50.00, TecRate = 0.004
(1693773) TC: TC-0 = 22.97, modeled = 21.26, target = 50.00, heatSink = -87.75, output = 100.0, timeout = 3350, exptTempC = 50.00, TecRate = 0.005
(1693918) TC: TC-0 = 23.01, modeled = 21.26, target = 50.00, heatSink = -88.01, output = 100.0, timeout = 3500, exptTempC = 50.00, TecRate = 0.006
(1694067) TC: TC-0 = 23.05, modeled = 21.26, target = 50.00, heatSink = -86.92, output = 100.0, timeout = 3650, exptTempC = 50.00, TecRate = 0.006
(1694218) TC: TC-0 = 23.09, modeled = 21.26, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 3800, exptTempC = 50.00, TecRate = 0.007
(1694368) TC: TC-0 = 23.12, modeled = 21.26, target = 50.00, heatSink = -87.40, output = 100.0, timeout = 3950, exptTempC = 50.00, TecRate = 0.008
(1694520) TC: TC-0 = 23.16, modeled = 21.26, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 4100, exptTempC = 50.00, TecRate = 0.009
(1694674) TC: TC-0 = 23.19, modeled = 21.26, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 4250, exptTempC = 50.00, TecRate = 0.009
(1694819) TC: TC-0 = 23.23, modeled = 21.27, target = 50.00, heatSink = -87.44, output = 100.0, timeout = 4400, exptTempC = 50.00, TecRate = 0.010
(1694969) TC: TC-0 = 23.27, modeled = 21.27, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 4550, exptTempC = 50.00, TecRate = 0.011
(1695120) TC: TC-0 = 23.32, modeled = 21.27, target = 50.00, heatSink = -87.28, output = 100.0, timeout = 4700, exptTempC = 50.00, TecRate = 0.011
(1695269) TC: TC-0 = 23.37, modeled = 21.27, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 4850, exptTempC = 50.00, TecRate = 0.012
(1695422) TC: TC-0 = 23.41, modeled = 21.27, target = 50.00, heatSink = -87.62, output = 100.0, timeout = 5000, exptTempC = 50.00, TecRate = 0.013
