***Stage1 ON***
(344285) heapMonitor_checkFreeHeapSize: New heap low water mark 114196
[26]TC TEC set to 50°C
(344302) _setStage1TecTempC: TEC Set Temp 50.000000
(344303) _resetThermalControlState: RESET Peltier 0 control state
(344307) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(344314) _setThermalControlState: thermalControl-0: changing state 3->1
(344321) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(344328) thermalControlSetEnable: Enabling Peltier 0
(344455) TC: TC-0 = 22.56, modeled = 16.56, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 100, exptTempC = 0.00, TecRate = 0.102
(344604) TC: TC-0 = 22.56, modeled = 16.58, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 250, exptTempC = 0.00, TecRate = 0.119
(344762) TC: TC-0 = 22.56, modeled = 16.60, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 400, exptTempC = 0.00, TecRate = 0.111
(344906) TC: TC-0 = 22.56, modeled = 16.61, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 550, exptTempC = 0.00, TecRate = 0.109
(345058) TC: TC-0 = 22.56, modeled = 16.63, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 700, exptTempC = 0.00, TecRate = 0.130
(345208) TC: TC-0 = 22.56, modeled = 16.65, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 850, exptTempC = 0.00, TecRate = 0.142
(345358) TC: TC-0 = 22.56, modeled = 16.67, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 1000, exptTempC = 0.00, TecRate = 0.127
(345401) systemTasksMonitorStack: Stack Watermark(Thermal Control): 2128
(345509) TC: TC-0 = 22.56, modeled = 16.68, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 1150, exptTempC = 0.00, TecRate = 0.099
(345664) TC: TC-0 = 22.56, modeled = 16.70, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 1300, exptTempC = 0.00, TecRate = 0.103
(345811) TC: TC-0 = 22.56, modeled = 16.72, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 1450, exptTempC = 0.00, TecRate = 0.111
(345961) TC: TC-0 = 22.56, modeled = 16.74, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 1600, exptTempC = 0.00, TecRate = 0.120
(346111) TC: TC-0 = 22.56, modeled = 16.75, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 1750, exptTempC = 0.00, TecRate = 0.110
(346260) TC: TC-0 = 22.56, modeled = 16.77, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 1900, exptTempC = 0.00, TecRate = 0.139
(346410) TC: TC-0 = 22.56, modeled = 16.79, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 2050, exptTempC = 0.00, TecRate = 0.118
(346566) TC: TC-0 = 22.57, modeled = 16.81, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 2200, exptTempC = 0.00, TecRate = 0.141
(346713) TC: TC-0 = 22.57, modeled = 16.83, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 2350, exptTempC = 0.00, TecRate = 0.142
(346862) TC: TC-0 = 22.58, modeled = 16.85, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 2500, exptTempC = 0.00, TecRate = 0.137
(347014) TC: TC-0 = 22.58, modeled = 16.87, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 2650, exptTempC = 0.00, TecRate = 0.150
(347163) TC: TC-0 = 22.59, modeled = 16.89, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 2800, exptTempC = 0.00, TecRate = 0.129
(347313) TC: TC-0 = 22.60, modeled = 16.92, target = 50.00, heatSink = -86.42, output = 100.0, timeout = 2950, exptTempC = 0.00, TecRate = 0.206
(347467) TC: TC-0 = 22.62, modeled = 16.95, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 3100, exptTempC = 0.00, TecRate = 0.206
(347613) TC: TC-0 = 22.64, modeled = 16.98, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 3250, exptTempC = 0.00, TecRate = 0.227
(347763) TC: TC-0 = 22.67, modeled = 17.01, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 3400, exptTempC = 0.00, TecRate = 0.264
(347914) TC: TC-0 = 22.70, modeled = 17.06, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 3550, exptTempC = 0.00, TecRate = 0.296
(348064) TC: TC-0 = 22.74, modeled = 17.10, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 3700, exptTempC = 0.00, TecRate = 0.296
(348214) TC: TC-0 = 22.78, modeled = 17.14, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 3850, exptTempC = 0.00, TecRate = 0.277
(348369) TC: TC-0 = 22.81, modeled = 17.18, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 4000, exptTempC = 0.00, TecRate = 0.255
(348516) TC: TC-0 = 22.82, modeled = 17.21, target = 50.00, heatSink = -86.31, output = 100.0, timeout = 4150, exptTempC = 0.00, TecRate = 0.243
(348666) TC: TC-0 = 22.85, modeled = 17.25, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 4300, exptTempC = 0.00, TecRate = 0.266
(348816) TC: TC-0 = 22.88, modeled = 17.28, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 4450, exptTempC = 0.00, TecRate = 0.210
(348966) TC: TC-0 = 22.90, modeled = 17.31, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 4600, exptTempC = 0.00, TecRate = 0.200
(349118) TC: TC-0 = 22.92, modeled = 17.34, target = 50.00, heatSink = -86.66, output = 100.0, timeout = 4750, exptTempC = 0.00, TecRate = 0.229
(349272) TC: TC-0 = 22.93, modeled = 17.37, target = 50.00, heatSink = -86.54, output = 100.0, timeout = 4900, exptTempC = 0.00, TecRate = 0.199
(349416) TC: TC-0 = 22.95, modeled = 17.40, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 5050, exptTempC = 0.00, TecRate = 0.222
(349567) TC: TC-0 = 22.98, modeled = 17.43, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 5200, exptTempC = 0.00, TecRate = 0.237
(349717) TC: TC-0 = 23.08, modeled = 17.52, target = 50.00, heatSink = -86.46, output = 100.0, timeout = 5350, exptTempC = 0.00, TecRate = 1.086
(349867) TC: TC-0 = 23.91, modeled = 18.15, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 5500, exptTempC = 0.00, TecRate = 6.058
(350022) TC: TC-0 = 25.78, modeled = 19.54, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 5650, exptTempC = 0.00, TecRate = 10.480
(350167) TC: TC-0 = 27.40, modeled = 20.75, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 5800, exptTempC = 0.00, TecRate = 12.555
(350318) TC: TC-0 = 29.96, modeled = 22.67, target = 50.00, heatSink = -85.89, output = 100.0, timeout = 5950, exptTempC = 0.00, TecRate = 12.737
(350468) TC: TC-0 = 32.52, modeled = 24.61, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 6100, exptTempC = 0.00, TecRate = 12.993
(350618) TC: TC-0 = 35.22, modeled = 26.67, target = 50.00, heatSink = -86.12, output = 100.0, timeout = 6250, exptTempC = 0.00, TecRate = 14.096
(350769) TC: TC-0 = 38.02, modeled = 28.83, target = 50.00, heatSink = -86.20, output = 100.0, timeout = 6400, exptTempC = 0.00, TecRate = 14.500
(350925) TC: TC-0 = 39.88, modeled = 30.29, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 6550, exptTempC = 0.00, TecRate = 0.120
(351070) TC: TC-0 = 42.65, modeled = 32.46, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 6700, exptTempC = 0.00, TecRate = 14.436
(351220) TC: TC-0 = 45.37, modeled = 34.62, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 6850, exptTempC = 0.00, TecRate = 14.334
(351370) TC: TC-0 = 48.04, modeled = 36.75, target = 50.00, heatSink = -86.13, output = 100.0, timeout = 7000, exptTempC = 0.00, TecRate = 14.293
(351520) TC: TC-0 = 50.63, modeled = 38.84, target = 50.00, heatSink = -86.13, output = 100.0, timeout = 7150, exptTempC = 0.00, TecRate = 13.989
(351671) TC: TC-0 = 53.07, modeled = 40.83, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 7300, exptTempC = 0.00, TecRate = 12.881
(351827) TC: TC-0 = 54.62, modeled = 42.11, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 7450, exptTempC = 0.00, TecRate = 0.142
(351973) TC: TC-0 = 56.96, modeled = 44.04, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 7600, exptTempC = 0.00, TecRate = 12.698
(352123) TC: TC-0 = 59.22, modeled = 45.92, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 7750, exptTempC = 0.00, TecRate = 12.409
(352272) TC: TC-0 = 61.37, modeled = 47.72, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 7900, exptTempC = 0.00, TecRate = 11.703
(352422) TC: TC-0 = 63.38, modeled = 48.32, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 8050, exptTempC = 0.00, TecRate = 0.182
(352572) TC: TC-0 = 65.30, modeled = 48.35, target = 50.00, heatSink = -86.27, output = 100.0, timeout = 8200, exptTempC = 0.00, TecRate = 0.224
(352727) TC: TC-0 = 66.56, modeled = 48.38, target = 50.00, heatSink = -86.24, output = 100.0, timeout = 8350, exptTempC = 0.00, TecRate = 0.250
(352871) TC: TC-0 = 68.35, modeled = 48.43, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 8500, exptTempC = 0.00, TecRate = 0.289
(353023) TC: TC-0 = 70.04, modeled = 48.47, target = 50.00, heatSink = -85.78, output = 100.0, timeout = 8650, exptTempC = 0.00, TecRate = 0.325
(353173) TC: TC-0 = 71.63, modeled = 48.52, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 8800, exptTempC = 0.00, TecRate = 0.359
(353323) TC: TC-0 = 73.13, modeled = 48.58, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 8950, exptTempC = 0.00, TecRate = 0.392
