timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
19378.767,30.87,30.87,50,60,,,,,30.61,24.74,
19378.767,30.87,30.87,50,60,,,,,30.61,24.74,
19378.767,30.87,30.87,50,60,,,,,30.61,24.74,
19378.767,30.87,30.87,50,60,,,,,30.61,24.74,
19378.918,30.89,30.89,50,60,,,,,30.61,24.74,
19378.918,30.89,30.89,50,60,,,,,30.61,24.74,
19378.918,30.89,30.89,50,60,,,,,30.61,24.74,
19378.918,30.89,30.89,50,60,,,,,30.61,24.74,
19379.091,31.43,31.43,50,60,,,,,30.61,24.74,
19379.091,31.43,31.43,50,60,,,,,30.61,24.74,
19379.091,31.43,31.43,50,60,,,,,30.61,24.74,
19379.091,31.43,31.43,50,60,,,,,30.61,24.74,
19379.263,32.56,32.56,50,60,,,,,30.61,24.74,
19379.263,32.56,32.56,50,60,,,,,30.61,24.74,
19379.263,32.56,32.56,50,60,,,,,30.61,24.74,
19379.263,32.56,32.56,50,60,,,,,30.61,24.74,
19379.399,34.07,34.07,50,60,,,,,30.61,24.74,
19379.399,34.07,34.07,50,60,,,,,30.61,24.74,
19379.399,34.07,34.07,50,60,,,,,30.61,24.74,
19379.399,34.07,34.07,50,60,,,,,30.61,24.74,
19379.55,35.33,35.33,50,60,,,,,30.61,24.74,
19379.55,35.33,35.33,50,60,,,,,30.61,24.74,
19379.55,35.33,35.33,50,60,,,,,30.61,24.74,
19379.55,35.33,35.33,50,60,,,,,30.61,24.74,
19379.66,,,,,,,,,30.61,24.74,
19379.66,,,,,,,,,30.61,24.74,
19379.699,37.25,37.25,50,60,,,,,,,
19379.699,37.25,37.25,50,60,,,,,,,
19379.699,37.25,37.25,50,60,,,,,,,
19379.699,37.25,37.25,50,60,,,,,,,
19379.852,38.94,38.94,50,60,,,,,,,
19379.852,38.94,38.94,50,60,,,,,,,
19379.852,38.94,38.94,50,60,,,,,,,
19379.852,38.94,38.94,50,60,,,,,,,
19380.002,40.71,40.71,50,60,,,,,,,
19380.002,40.71,40.71,50,60,,,,,,,
19380.002,40.71,40.71,50,60,,,,,,,
19380.002,40.71,40.71,50,60,,,,,,,
19380.152,42.52,42.52,50,60,,,,,,,
19380.152,42.52,42.52,50,60,,,,,,,
19380.152,42.52,42.52,50,60,,,,,,,
19380.152,42.52,42.52,50,60,,,,,,,
19380.31,44.08,44.08,50,60,,,,,,,
19380.31,44.08,44.08,50,60,,,,,,,
19380.31,44.08,44.08,50,60,,,,,,,
19380.31,44.08,44.08,50,60,,,,,,,
19380.458,45.76,45.76,50,60,,,,,,,
19380.458,45.76,45.76,50,60,,,,,,,
19380.458,45.76,45.76,50,60,,,,,,,
19380.458,45.76,45.76,50,60,,,,,,,
19380.608,47.52,47.52,50,60,,,,,,,
19380.608,47.52,47.52,50,60,,,,,,,
19380.608,47.52,47.52,50,60,,,,,,,
19380.608,47.52,47.52,50,60,,,,,,,
19380.674,,,,,,,,,30.6,24.8,
19380.674,,,,,,,,,30.6,24.8,
19380.764,49.01,49.01,50,60,,,,,,,
19380.764,49.01,49.01,50,60,,,,,,,
19380.764,49.01,49.01,50,60,,,,,,,
19380.764,49.01,49.01,50,60,,,,,,,
19380.914,50.87,50.87,50,60,,,,,,,
19380.914,50.87,50.87,50,60,,,,,,,
19380.914,50.87,50.87,50,60,,,,,,,
19380.914,50.87,50.87,50,60,,,,,,,
19381.066,52.33,52.33,50,60,,,,,,,
19381.066,52.33,52.33,50,60,,,,,,,
19381.066,52.33,52.33,50,60,,,,,,,
19381.066,52.33,52.33,50,60,,,,,,,
19381.216,53.86,53.86,50,60,,,,,,,
19381.216,53.86,53.86,50,60,,,,,,,
19381.216,53.86,53.86,50,60,,,,,,,
19381.216,53.86,53.86,50,60,,,,,,,
19381.364,54.71,54.71,50,60,,,,,,,
19381.364,54.71,54.71,50,60,,,,,,,
19381.364,54.71,54.71,50,60,,,,,,,
19381.364,54.71,54.71,50,60,,,,,,,
19381.514,54.7,54.7,50,60,,,,,,,
19381.514,54.7,54.7,50,60,,,,,,,
19381.514,54.7,54.7,50,60,,,,,,,
19381.514,54.7,54.7,50,60,,,,,,,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.664,54.37,54.37,50,60,,,,,30.58,24.82,
19381.816,54.16,54.16,50,60,,,,,,,
19381.816,54.16,54.16,50,60,,,,,,,
19381.816,54.16,54.16,50,60,,,,,,,
19381.816,54.16,54.16,50,60,,,,,,,
19381.964,54.1,54.1,50,60,,,,,,,
19381.964,54.1,54.1,50,60,,,,,,,
19381.964,54.1,54.1,50,60,,,,,,,
19381.964,54.1,54.1,50,60,,,,,,,
19382.114,54.09,54.09,50,60,,,,,,,
19382.114,54.09,54.09,50,60,,,,,,,
19382.114,54.09,54.09,50,60,,,,,,,
19382.114,54.09,54.09,50,60,,,,,,,
19382.264,54.08,54.08,50,60,,,,,,,
19382.264,54.08,54.08,50,60,,,,,,,
19382.264,54.08,54.08,50,60,,,,,,,
19382.264,54.08,54.08,50,60,,,,,,,
19382.414,54.05,54.05,50,60,,,,,,,
19382.414,54.05,54.05,50,60,,,,,,,
19382.414,54.05,54.05,50,60,,,,,,,
19382.414,54.05,54.05,50,60,,,,,,,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.564,54.01,54.01,50,60,,,,,30.56,24.74,
19382.714,53.96,53.96,50,60,,,,,,,
19382.714,53.96,53.96,50,60,,,,,,,
19382.714,53.96,53.96,50,60,,,,,,,
19382.714,53.96,53.96,50,60,,,,,,,
19382.864,53.9,53.9,50,60,,,,,,,
19382.864,53.9,53.9,50,60,,,,,,,
19382.864,53.9,53.9,50,60,,,,,,,
19382.864,53.9,53.9,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
