timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
21805.2,29,29,50,70,,,,,28.94,24.65,
21805.2,29,29,50,70,,,,,28.94,24.65,
21805.2,29,29,50,70,,,,,28.94,24.65,
21805.2,29,29,50,70,,,,,28.94,24.65,
21805.35,29.12,29.12,50,70,,,,,28.94,24.65,
21805.35,29.12,29.12,50,70,,,,,28.94,24.65,
21805.35,29.12,29.12,50,70,,,,,28.94,24.65,
21805.35,29.12,29.12,50,70,,,,,28.94,24.65,
21805.513,29.82,29.82,50,70,,,,,28.94,24.65,
21805.513,29.82,29.82,50,70,,,,,28.94,24.65,
21805.513,29.82,29.82,50,70,,,,,28.94,24.65,
21805.513,29.82,29.82,50,70,,,,,28.94,24.65,
21805.65,30.94,30.94,50,70,,,,,28.94,24.65,
21805.65,30.94,30.94,50,70,,,,,28.94,24.65,
21805.65,30.94,30.94,50,70,,,,,28.94,24.65,
21805.65,30.94,30.94,50,70,,,,,28.94,24.65,
21805.8,32.32,32.32,50,70,,,,,28.94,24.65,
21805.8,32.32,32.32,50,70,,,,,28.94,24.65,
21805.8,32.32,32.32,50,70,,,,,28.94,24.65,
21805.8,32.32,32.32,50,70,,,,,28.94,24.65,
21805.873,,,,,,,,,28.94,24.65,
21805.873,,,,,,,,,28.94,24.65,
21805.95,33.87,33.87,50,70,,,,,,,
21805.95,33.87,33.87,50,70,,,,,,,
21805.95,33.87,33.87,50,70,,,,,,,
21805.95,33.87,33.87,50,70,,,,,,,
21806.114,35.73,35.73,50,70,,,,,,,
21806.114,35.73,35.73,50,70,,,,,,,
21806.114,35.73,35.73,50,70,,,,,,,
21806.114,35.73,35.73,50,70,,,,,,,
21806.295,37.63,37.63,50,70,,,,,,,
21806.295,37.63,37.63,50,70,,,,,,,
21806.295,37.63,37.63,50,70,,,,,,,
21806.295,37.63,37.63,50,70,,,,,,,
21806.462,39.91,39.91,50,70,,,,,,,
21806.462,39.91,39.91,50,70,,,,,,,
21806.462,39.91,39.91,50,70,,,,,,,
21806.462,39.91,39.91,50,70,,,,,,,
21806.611,41.3,41.3,50,70,,,,,,,
21806.611,41.3,41.3,50,70,,,,,,,
21806.611,41.3,41.3,50,70,,,,,,,
21806.611,41.3,41.3,50,70,,,,,,,
21806.761,43.15,43.15,50,70,,,,,,,
21806.761,43.15,43.15,50,70,,,,,,,
21806.761,43.15,43.15,50,70,,,,,,,
21806.761,43.15,43.15,50,70,,,,,,,
21806.876,,,,,,,,,28.95,24.72,
21806.876,,,,,,,,,28.95,24.72,
21806.911,44.77,44.77,50,70,,,,,,,
21806.911,44.77,44.77,50,70,,,,,,,
21806.911,44.77,44.77,50,70,,,,,,,
21806.911,44.77,44.77,50,70,,,,,,,
21807.072,46.37,46.37,50,70,,,,,,,
21807.072,46.37,46.37,50,70,,,,,,,
21807.072,46.37,46.37,50,70,,,,,,,
21807.072,46.37,46.37,50,70,,,,,,,
21807.211,47.95,47.95,50,70,,,,,,,
21807.211,47.95,47.95,50,70,,,,,,,
21807.211,47.95,47.95,50,70,,,,,,,
21807.211,47.95,47.95,50,70,,,,,,,
21807.371,49.6,49.6,50,70,,,,,,,
21807.371,49.6,49.6,50,70,,,,,,,
21807.371,49.6,49.6,50,70,,,,,,,
21807.371,49.6,49.6,50,70,,,,,,,
21807.511,51.09,51.09,50,70,,,,,,,
21807.511,51.09,51.09,50,70,,,,,,,
21807.511,51.09,51.09,50,70,,,,,,,
21807.511,51.09,51.09,50,70,,,,,,,
21807.664,52.56,52.56,50,70,,,,,,,
21807.664,52.56,52.56,50,70,,,,,,,
21807.664,52.56,52.56,50,70,,,,,,,
21807.664,52.56,52.56,50,70,,,,,,,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.814,54.17,54.17,50,70,,,,,28.96,24.76,
21807.964,55.72,55.72,50,70,,,,,,,
21807.964,55.72,55.72,50,70,,,,,,,
21807.964,55.72,55.72,50,70,,,,,,,
21807.964,55.72,55.72,50,70,,,,,,,
21808.114,57.1,57.1,50,70,,,,,,,
21808.114,57.1,57.1,50,70,,,,,,,
21808.114,57.1,57.1,50,70,,,,,,,
21808.114,57.1,57.1,50,70,,,,,,,
21808.264,58.48,58.48,50,70,,,,,,,
21808.264,58.48,58.48,50,70,,,,,,,
21808.264,58.48,58.48,50,70,,,,,,,
21808.264,58.48,58.48,50,70,,,,,,,
21808.414,59.86,59.86,50,70,,,,,,,
21808.414,59.86,59.86,50,70,,,,,,,
21808.414,59.86,59.86,50,70,,,,,,,
21808.414,59.86,59.86,50,70,,,,,,,
21808.564,61.19,61.19,50,70,,,,,,,
21808.564,61.19,61.19,50,70,,,,,,,
21808.564,61.19,61.19,50,70,,,,,,,
21808.564,61.19,61.19,50,70,,,,,,,
21808.714,62.49,62.49,50,70,,,,,,,
21808.714,62.49,62.49,50,70,,,,,,,
21808.714,62.49,62.49,50,70,,,,,,,
21808.714,62.49,62.49,50,70,,,,,,,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21808.864,63.75,63.75,50,70,,,,,28.96,24.8,
21809.014,65.01,65.01,50,70,,,,,,,
21809.014,65.01,65.01,50,70,,,,,,,
21809.014,65.01,65.01,50,70,,,,,,,
21809.014,65.01,65.01,50,70,,,,,,,
21809.164,66.23,66.23,50,70,,,,,,,
21809.164,66.23,66.23,50,70,,,,,,,
21809.164,66.23,66.23,50,70,,,,,,,
21809.164,66.23,66.23,50,70,,,,,,,
21809.314,67.44,67.44,50,70,,,,,,,
21809.314,67.44,67.44,50,70,,,,,,,
21809.314,67.44,67.44,50,70,,,,,,,
21809.314,67.44,67.44,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
