timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
12588.492,34.32,34.32,100,60,,,,,30.62,24.54,
12588.492,34.32,34.32,100,60,,,,,30.62,24.54,
12588.492,34.32,34.32,100,60,,,,,30.62,24.54,
12588.492,34.32,34.32,100,60,,,,,30.62,24.54,
12588.642,34.34,34.34,100,60,,,,,30.62,24.54,
12588.642,34.34,34.34,100,60,,,,,30.62,24.54,
12588.642,34.34,34.34,100,60,,,,,30.62,24.54,
12588.642,34.34,34.34,100,60,,,,,30.62,24.54,
12588.805,34.84,34.84,100,60,,,,,30.62,24.54,
12588.805,34.84,34.84,100,60,,,,,30.62,24.54,
12588.805,34.84,34.84,100,60,,,,,30.62,24.54,
12588.805,34.84,34.84,100,60,,,,,30.62,24.54,
12588.925,,,,,,,,,30.62,24.54,
12588.925,,,,,,,,,30.62,24.54,
12588.951,35.84,35.84,100,60,,,,,,,
12588.951,35.84,35.84,100,60,,,,,,,
12588.951,35.84,35.84,100,60,,,,,,,
12588.951,35.84,35.84,100,60,,,,,,,
12589.11,37.3,37.3,100,60,,,,,,,
12589.11,37.3,37.3,100,60,,,,,,,
12589.11,37.3,37.3,100,60,,,,,,,
12589.11,37.3,37.3,100,60,,,,,,,
12589.26,38.83,38.83,100,60,,,,,,,
12589.26,38.83,38.83,100,60,,,,,,,
12589.26,38.83,38.83,100,60,,,,,,,
12589.26,38.83,38.83,100,60,,,,,,,
12589.411,40.4,40.4,100,60,,,,,,,
12589.411,40.4,40.4,100,60,,,,,,,
12589.411,40.4,40.4,100,60,,,,,,,
12589.411,40.4,40.4,100,60,,,,,,,
12589.575,42.23,42.23,100,60,,,,,,,
12589.575,42.23,42.23,100,60,,,,,,,
12589.575,42.23,42.23,100,60,,,,,,,
12589.575,42.23,42.23,100,60,,,,,,,
12589.718,44.09,44.09,100,60,,,,,,,
12589.718,44.09,44.09,100,60,,,,,,,
12589.718,44.09,44.09,100,60,,,,,,,
12589.718,44.09,44.09,100,60,,,,,,,
12589.868,45.63,45.63,100,60,,,,,,,
12589.868,45.63,45.63,100,60,,,,,,,
12589.868,45.63,45.63,100,60,,,,,,,
12589.868,45.63,45.63,100,60,,,,,,,
12589.891,,,,,,,,,30.62,24.46,
12589.891,,,,,,,,,30.62,24.46,
12590.018,47.49,47.49,100,60,,,,,,,
12590.018,47.49,47.49,100,60,,,,,,,
12590.018,47.49,47.49,100,60,,,,,,,
12590.018,47.49,47.49,100,60,,,,,,,
12590.169,49.16,49.16,100,60,,,,,,,
12590.169,49.16,49.16,100,60,,,,,,,
12590.169,49.16,49.16,100,60,,,,,,,
12590.169,49.16,49.16,100,60,,,,,,,
12590.32,50.71,50.71,100,60,,,,,,,
12590.32,50.71,50.71,100,60,,,,,,,
12590.32,50.71,50.71,100,60,,,,,,,
12590.32,50.71,50.71,100,60,,,,,,,
12590.471,52.43,52.43,100,60,,,,,,,
12590.471,52.43,52.43,100,60,,,,,,,
12590.471,52.43,52.43,100,60,,,,,,,
12590.471,52.43,52.43,100,60,,,,,,,
12590.629,53.9,53.9,100,60,,,,,,,
12590.629,53.9,53.9,100,60,,,,,,,
12590.629,53.9,53.9,100,60,,,,,,,
12590.629,53.9,53.9,100,60,,,,,,,
12590.808,55.62,55.62,100,60,,,,,,,
12590.808,55.62,55.62,100,60,,,,,,,
12590.808,55.62,55.62,100,60,,,,,,,
12590.808,55.62,55.62,100,60,,,,,,,
12590.937,,,,,,,,,30.55,24.4,
12590.937,,,,,,,,,30.55,24.4,
12590.975,57.62,57.62,100,60,,,,,,,
12590.975,57.62,57.62,100,60,,,,,,,
12590.975,57.62,57.62,100,60,,,,,,,
12590.975,57.62,57.62,100,60,,,,,,,
12591.125,59.06,59.06,100,60,,,,,,,
12591.125,59.06,59.06,100,60,,,,,,,
12591.125,59.06,59.06,100,60,,,,,,,
12591.125,59.06,59.06,100,60,,,,,,,
12591.273,59.89,59.89,100,60,,,,,,,
12591.273,59.89,59.89,100,60,,,,,,,
12591.273,59.89,59.89,100,60,,,,,,,
12591.273,59.89,59.89,100,60,,,,,,,
12591.423,59.9,59.9,100,60,,,,,,,
12591.423,59.9,59.9,100,60,,,,,,,
12591.423,59.9,59.9,100,60,,,,,,,
12591.423,59.9,59.9,100,60,,,,,,,
12591.573,59.53,59.53,100,60,,,,,,,
12591.573,59.53,59.53,100,60,,,,,,,
12591.573,59.53,59.53,100,60,,,,,,,
12591.573,59.53,59.53,100,60,,,,,,,
12591.723,59.28,59.28,100,60,,,,,,,
12591.723,59.28,59.28,100,60,,,,,,,
12591.723,59.28,59.28,100,60,,,,,,,
12591.723,59.28,59.28,100,60,,,,,,,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12591.873,59.18,59.18,100,60,,,,,30.62,24.53,
12592.023,59.1,59.1,100,60,,,,,,,
12592.023,59.1,59.1,100,60,,,,,,,
12592.023,59.1,59.1,100,60,,,,,,,
12592.023,59.1,59.1,100,60,,,,,,,
12592.173,59.05,59.05,100,60,,,,,,,
12592.173,59.05,59.05,100,60,,,,,,,
12592.173,59.05,59.05,100,60,,,,,,,
12592.173,59.05,59.05,100,60,,,,,,,
12592.323,58.99,58.99,100,60,,,,,,,
12592.323,58.99,58.99,100,60,,,,,,,
12592.323,58.99,58.99,100,60,,,,,,,
12592.323,58.99,58.99,100,60,,,,,,,
12592.473,58.92,58.92,100,60,,,,,,,
12592.473,58.92,58.92,100,60,,,,,,,
12592.473,58.92,58.92,100,60,,,,,,,
12592.473,58.92,58.92,100,60,,,,,,,
12592.623,58.83,58.83,100,60,,,,,,,
12592.623,58.83,58.83,100,60,,,,,,,
12592.623,58.83,58.83,100,60,,,,,,,
12592.623,58.83,58.83,100,60,,,,,,,
12592.773,58.74,58.74,100,60,,,,,,,
12592.773,58.74,58.74,100,60,,,,,,,
12592.773,58.74,58.74,100,60,,,,,,,
12592.773,58.74,58.74,100,60,,,,,,,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12592.923,58.64,58.64,100,60,,,,,30.61,24.55,
12593.073,58.55,58.55,100,60,,,,,,,
12593.073,58.55,58.55,100,60,,,,,,,
12593.073,58.55,58.55,100,60,,,,,,,
12593.073,58.55,58.55,100,60,,,,,,,
12593.223,58.45,58.45,100,60,,,,,,,
12593.223,58.45,58.45,100,60,,,,,,,
12593.223,58.45,58.45,100,60,,,,,,,
12593.223,58.45,58.45,100,60,,,,,,,
12593.373,58.35,58.35,100,60,,,,,,,
12593.373,58.35,58.35,100,60,,,,,,,
12593.373,58.35,58.35,100,60,,,,,,,
12593.373,58.35,58.35,100,60,,,,,,,
12593.523,58.26,58.26,100,60,,,,,,,
12593.523,58.26,58.26,100,60,,,,,,,
12593.523,58.26,58.26,100,60,,,,,,,
12593.523,58.26,58.26,100,60,,,,,,,
12593.673,58.17,58.17,100,60,,,,,,,
12593.673,58.17,58.17,100,60,,,,,,,
12593.673,58.17,58.17,100,60,,,,,,,
12593.673,58.17,58.17,100,60,,,,,,,
12593.823,58.05,58.05,100,60,,,,,,,
12593.823,58.05,58.05,100,60,,,,,,,
12593.823,58.05,58.05,100,60,,,,,,,
12593.823,58.05,58.05,100,60,,,,,,,
12593.974,57.96,57.96,100,60,,,,,,,
12593.974,57.96,57.96,100,60,,,,,,,
12593.974,57.96,57.96,100,60,,,,,,,
12593.974,57.96,57.96,100,60,,,,,,,
12593.983,,,,,,,,,30.61,24.56,
12593.983,,,,,,,,,30.61,24.56,
12594.123,57.86,57.86,100,60,,,,,,,
12594.123,57.86,57.86,100,60,,,,,,,
12594.123,57.86,57.86,100,60,,,,,,,
12594.123,57.86,57.86,100,60,,,,,,,
12594.273,57.76,57.76,100,60,,,,,,,
12594.273,57.76,57.76,100,60,,,,,,,
12594.273,57.76,57.76,100,60,,,,,,,
12594.273,57.76,57.76,100,60,,,,,,,
12594.423,57.67,57.67,100,60,,,,,,,
12594.423,57.67,57.67,100,60,,,,,,,
12594.423,57.67,57.67,100,60,,,,,,,
12594.423,57.67,57.67,100,60,,,,,,,
12594.573,57.59,57.59,100,60,,,,,,,
12594.573,57.59,57.59,100,60,,,,,,,
12594.573,57.59,57.59,100,60,,,,,,,
12594.573,57.59,57.59,100,60,,,,,,,
12594.723,57.49,57.49,100,60,,,,,,,
12594.723,57.49,57.49,100,60,,,,,,,
12594.723,57.49,57.49,100,60,,,,,,,
12594.723,57.49,57.49,100,60,,,,,,,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12594.873,57.4,57.4,100,60,,,,,30.58,24.55,
12595.023,57.29,57.29,100,60,,,,,,,
12595.023,57.29,57.29,100,60,,,,,,,
12595.023,57.29,57.29,100,60,,,,,,,
12595.023,57.29,57.29,100,60,,,,,,,
12595.173,57.21,57.21,100,60,,,,,,,
12595.173,57.21,57.21,100,60,,,,,,,
12595.173,57.21,57.21,100,60,,,,,,,
12595.173,57.21,57.21,100,60,,,,,,,
12595.323,57.12,57.12,100,60,,,,,,,
12595.323,57.12,57.12,100,60,,,,,,,
12595.323,57.12,57.12,100,60,,,,,,,
12595.323,57.12,57.12,100,60,,,,,,,
12595.473,57.02,57.02,100,60,,,,,,,
12595.473,57.02,57.02,100,60,,,,,,,
12595.473,57.02,57.02,100,60,,,,,,,
12595.473,57.02,57.02,100,60,,,,,,,
12595.623,56.93,56.93,100,60,,,,,,,
12595.623,56.93,56.93,100,60,,,,,,,
12595.623,56.93,56.93,100,60,,,,,,,
12595.623,56.93,56.93,100,60,,,,,,,
12595.773,56.84,56.84,100,60,,,,,,,
12595.773,56.84,56.84,100,60,,,,,,,
12595.773,56.84,56.84,100,60,,,,,,,
12595.773,56.84,56.84,100,60,,,,,,,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12595.923,56.73,56.73,100,60,,,,,30.56,24.66,
12596.073,56.66,56.66,100,60,,,,,,,
12596.073,56.66,56.66,100,60,,,,,,,
12596.073,56.66,56.66,100,60,,,,,,,
12596.073,56.66,56.66,100,60,,,,,,,
12596.223,56.57,56.57,100,60,,,,,,,
12596.223,56.57,56.57,100,60,,,,,,,
12596.223,56.57,56.57,100,60,,,,,,,
12596.223,56.57,56.57,100,60,,,,,,,
12596.373,56.5,56.5,100,60,,,,,,,
12596.373,56.5,56.5,100,60,,,,,,,
12596.373,56.5,56.5,100,60,,,,,,,
12596.373,56.5,56.5,100,60,,,,,,,
12596.523,56.44,56.44,100,60,,,,,,,
12596.523,56.44,56.44,100,60,,,,,,,
12596.523,56.44,56.44,100,60,,,,,,,
12596.523,56.44,56.44,100,60,,,,,,,
12596.673,56.34,56.34,100,60,,,,,,,
12596.673,56.34,56.34,100,60,,,,,,,
12596.673,56.34,56.34,100,60,,,,,,,
12596.673,56.34,56.34,100,60,,,,,,,
12596.853,56.21,56.21,100,60,,,,,,,
12596.853,56.21,56.21,100,60,,,,,,,
12596.853,56.21,56.21,100,60,,,,,,,
12596.853,56.21,56.21,100,60,,,,,,,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.003,56.09,56.09,100,60,,,,,30.5,24.57,
12597.153,56.03,56.03,100,60,,,,,,,
12597.153,56.03,56.03,100,60,,,,,,,
12597.153,56.03,56.03,100,60,,,,,,,
12597.153,56.03,56.03,100,60,,,,,,,
12597.303,55.98,55.98,100,60,,,,,,,
12597.303,55.98,55.98,100,60,,,,,,,
12597.303,55.98,55.98,100,60,,,,,,,
12597.303,55.98,55.98,100,60,,,,,,,
12597.453,55.93,55.93,100,60,,,,,,,
12597.453,55.93,55.93,100,60,,,,,,,
12597.453,55.93,55.93,100,60,,,,,,,
12597.453,55.93,55.93,100,60,,,,,,,
12597.603,55.85,55.85,100,60,,,,,,,
12597.603,55.85,55.85,100,60,,,,,,,
12597.603,55.85,55.85,100,60,,,,,,,
12597.603,55.85,55.85,100,60,,,,,,,
12597.753,55.77,55.77,100,60,,,,,,,
12597.753,55.77,55.77,100,60,,,,,,,
12597.753,55.77,55.77,100,60,,,,,,,
12597.753,55.77,55.77,100,60,,,,,,,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12597.903,55.66,55.66,100,60,,,,,30.55,24.49,
12598.053,55.59,55.59,100,60,,,,,,,
12598.053,55.59,55.59,100,60,,,,,,,
12598.053,55.59,55.59,100,60,,,,,,,
12598.053,55.59,55.59,100,60,,,,,,,
12598.203,55.53,55.53,100,60,,,,,,,
12598.203,55.53,55.53,100,60,,,,,,,
12598.203,55.53,55.53,100,60,,,,,,,
12598.203,55.53,55.53,100,60,,,,,,,
12598.353,55.44,55.44,100,60,,,,,,,
12598.353,55.44,55.44,100,60,,,,,,,
12598.353,55.44,55.44,100,60,,,,,,,
12598.353,55.44,55.44,100,60,,,,,,,
12598.503,55.37,55.37,100,60,,,,,,,
12598.503,55.37,55.37,100,60,,,,,,,
12598.503,55.37,55.37,100,60,,,,,,,
12598.503,55.37,55.37,100,60,,,,,,,
12598.653,55.31,55.31,100,60,,,,,,,
12598.653,55.31,55.31,100,60,,,,,,,
12598.653,55.31,55.31,100,60,,,,,,,
12598.653,55.31,55.31,100,60,,,,,,,
12598.803,55.26,55.26,100,60,,,,,,,
12598.803,55.26,55.26,100,60,,,,,,,
12598.803,55.26,55.26,100,60,,,,,,,
12598.803,55.26,55.26,100,60,,,,,,,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12598.953,55.19,55.19,100,60,,,,,30.46,24.54,
12599.103,55.12,55.12,100,60,,,,,,,
12599.103,55.12,55.12,100,60,,,,,,,
12599.103,55.12,55.12,100,60,,,,,,,
12599.103,55.12,55.12,100,60,,,,,,,
12599.254,55.06,55.06,100,60,,,,,,,
12599.254,55.06,55.06,100,60,,,,,,,
12599.254,55.06,55.06,100,60,,,,,,,
12599.254,55.06,55.06,100,60,,,,,,,
12599.404,54.99,54.99,100,60,,,,,,,
12599.404,54.99,54.99,100,60,,,,,,,
12599.404,54.99,54.99,100,60,,,,,,,
12599.404,54.99,54.99,100,60,,,,,,,
12599.554,54.92,54.92,100,60,,,,,,,
12599.554,54.92,54.92,100,60,,,,,,,
12599.554,54.92,54.92,100,60,,,,,,,
12599.554,54.92,54.92,100,60,,,,,,,
12599.704,54.83,54.83,100,60,,,,,,,
12599.704,54.83,54.83,100,60,,,,,,,
12599.704,54.83,54.83,100,60,,,,,,,
12599.704,54.83,54.83,100,60,,,,,,,
12599.854,54.77,54.77,100,60,,,,,,,
12599.854,54.77,54.77,100,60,,,,,,,
12599.854,54.77,54.77,100,60,,,,,,,
12599.854,54.77,54.77,100,60,,,,,,,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.004,54.7,54.7,100,60,,,,,30.53,24.54,
12600.154,54.65,54.65,100,60,,,,,,,
12600.154,54.65,54.65,100,60,,,,,,,
12600.154,54.65,54.65,100,60,,,,,,,
12600.154,54.65,54.65,100,60,,,,,,,
12600.304,54.58,54.58,100,60,,,,,,,
12600.304,54.58,54.58,100,60,,,,,,,
12600.304,54.58,54.58,100,60,,,,,,,
12600.304,54.58,54.58,100,60,,,,,,,
12600.454,54.52,54.52,100,60,,,,,,,
12600.454,54.52,54.52,100,60,,,,,,,
12600.454,54.52,54.52,100,60,,,,,,,
12600.454,54.52,54.52,100,60,,,,,,,
12600.604,54.46,54.46,100,60,,,,,,,
12600.604,54.46,54.46,100,60,,,,,,,
12600.604,54.46,54.46,100,60,,,,,,,
12600.604,54.46,54.46,100,60,,,,,,,
12600.754,54.38,54.38,100,60,,,,,,,
12600.754,54.38,54.38,100,60,,,,,,,
12600.754,54.38,54.38,100,60,,,,,,,
12600.754,54.38,54.38,100,60,,,,,,,
12600.904,54.32,54.32,100,60,,,,,,,
12600.904,54.32,54.32,100,60,,,,,,,
12600.904,54.32,54.32,100,60,,,,,,,
12600.904,54.32,54.32,100,60,,,,,,,
12601.054,54.24,54.24,100,60,,,,,30.54,24.56,
12601.054,54.24,54.24,100,60,,,,,30.54,24.56,
12601.054,54.24,54.24,100,60,,,,,30.54,24.56,
12601.054,54.24,54.24,100,60,,,,,30.54,24.56,
