timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
413.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
675.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.276,23.3,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.429,23.6,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.578,24.4,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.731,25.4,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.883,26.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677.978,,,,,,,22.33,,,,,,,,,,,,,,,,,,,,,,,,,,
677.978,,,,,,,22.33,,,,,,,,,,,,,,,,,,,,,,,,,,
678.033,28,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.188,29.2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.338,30.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.495,32.2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.644,33.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.795,35,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678.944,36.6,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.094,38.1,,60,,,,22.33,,,,,,,,,,,,,,,,,,,,,,,,,,
679.244,39.2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.394,40.3,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.544,41.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.694,42.9,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.844,44,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.994,45,,60,,,,22.47,,,,,,,,,,,,,,,,,,,,,,,,,,
680.145,46.2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.294,47.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.444,47.9,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.594,48.7,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.744,49.4,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680.894,50.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.044,50.7,,60,,,,22.93,,,,,,,,,,,,,,,,,,,,,,,,,,
681.194,51.5,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.344,51.8,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.494,52.4,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.644,52.8,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.794,53.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681.944,53.6,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.094,54,,60,,,,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,
682.244,54.5,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.394,54.9,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.545,55,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.694,55.5,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.844,55.9,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682.994,56.4,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683.145,56.7,,60,,,,25.37,,,,,,,,,,,,,,,,,,,,,,,,,,
