timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
6211.689,32.28,32.28,90,100,,,,,29.85,24.84,
6211.689,32.28,32.28,90,100,,,,,29.85,24.84,
6211.689,32.28,32.28,90,100,,,,,29.85,24.84,
6211.689,32.28,32.28,90,100,,,,,29.85,24.84,
6211.839,32.41,32.41,90,100,,,,,29.85,24.84,
6211.839,32.41,32.41,90,100,,,,,29.85,24.84,
6211.839,32.41,32.41,90,100,,,,,29.85,24.84,
6211.839,32.41,32.41,90,100,,,,,29.85,24.84,
6211.989,33.01,33.01,90,100,,,,,29.85,24.84,
6211.989,33.01,33.01,90,100,,,,,29.85,24.84,
6211.989,33.01,33.01,90,100,,,,,29.85,24.84,
6211.989,33.01,33.01,90,100,,,,,29.85,24.84,
6212.141,34.16,34.16,90,100,,,,,29.85,24.84,
6212.141,34.16,34.16,90,100,,,,,29.85,24.84,
6212.141,34.16,34.16,90,100,,,,,29.85,24.84,
6212.141,34.16,34.16,90,100,,,,,29.85,24.84,
6212.23,,,,,,,,,29.85,24.84,
6212.23,,,,,,,,,29.85,24.84,
6212.29,35.64,35.64,90,100,,,,,,,
6212.29,35.64,35.64,90,100,,,,,,,
6212.29,35.64,35.64,90,100,,,,,,,
6212.29,35.64,35.64,90,100,,,,,,,
6212.439,37.12,37.12,90,100,,,,,,,
6212.439,37.12,37.12,90,100,,,,,,,
6212.439,37.12,37.12,90,100,,,,,,,
6212.439,37.12,37.12,90,100,,,,,,,
6212.599,39.04,39.04,90,100,,,,,,,
6212.599,39.04,39.04,90,100,,,,,,,
6212.599,39.04,39.04,90,100,,,,,,,
6212.599,39.04,39.04,90,100,,,,,,,
6212.759,40.66,40.66,90,100,,,,,,,
6212.759,40.66,40.66,90,100,,,,,,,
6212.759,40.66,40.66,90,100,,,,,,,
6212.759,40.66,40.66,90,100,,,,,,,
6212.914,42.59,42.59,90,100,,,,,,,
6212.914,42.59,42.59,90,100,,,,,,,
6212.914,42.59,42.59,90,100,,,,,,,
6212.914,42.59,42.59,90,100,,,,,,,
6213.059,44.3,44.3,90,100,,,,,,,
6213.059,44.3,44.3,90,100,,,,,,,
6213.059,44.3,44.3,90,100,,,,,,,
6213.059,44.3,44.3,90,100,,,,,,,
6213.209,45.79,45.79,90,100,,,,,,,
6213.209,45.79,45.79,90,100,,,,,,,
6213.209,45.79,45.79,90,100,,,,,,,
6213.209,45.79,45.79,90,100,,,,,,,
6213.286,,,,,,,,,29.89,24.86,
6213.286,,,,,,,,,29.89,24.86,
6213.368,47.72,47.72,90,100,,,,,,,
6213.368,47.72,47.72,90,100,,,,,,,
6213.368,47.72,47.72,90,100,,,,,,,
6213.368,47.72,47.72,90,100,,,,,,,
6213.514,49.32,49.32,90,100,,,,,,,
6213.514,49.32,49.32,90,100,,,,,,,
6213.514,49.32,49.32,90,100,,,,,,,
6213.514,49.32,49.32,90,100,,,,,,,
6213.664,50.99,50.99,90,100,,,,,,,
6213.664,50.99,50.99,90,100,,,,,,,
6213.664,50.99,50.99,90,100,,,,,,,
6213.664,50.99,50.99,90,100,,,,,,,
6213.814,52.45,52.45,90,100,,,,,,,
6213.814,52.45,52.45,90,100,,,,,,,
6213.814,52.45,52.45,90,100,,,,,,,
6213.814,52.45,52.45,90,100,,,,,,,
6213.964,54.04,54.04,90,100,,,,,,,
6213.964,54.04,54.04,90,100,,,,,,,
6213.964,54.04,54.04,90,100,,,,,,,
6213.964,54.04,54.04,90,100,,,,,,,
6214.114,55.56,55.56,90,100,,,,,,,
6214.114,55.56,55.56,90,100,,,,,,,
6214.114,55.56,55.56,90,100,,,,,,,
6214.114,55.56,55.56,90,100,,,,,,,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.264,57.06,57.06,90,100,,,,,29.85,24.92,
6214.414,58.52,58.52,90,100,,,,,,,
6214.414,58.52,58.52,90,100,,,,,,,
6214.414,58.52,58.52,90,100,,,,,,,
6214.414,58.52,58.52,90,100,,,,,,,
6214.564,59.94,59.94,90,100,,,,,,,
6214.564,59.94,59.94,90,100,,,,,,,
6214.564,59.94,59.94,90,100,,,,,,,
6214.564,59.94,59.94,90,100,,,,,,,
6214.714,61.34,61.34,90,100,,,,,,,
6214.714,61.34,61.34,90,100,,,,,,,
6214.714,61.34,61.34,90,100,,,,,,,
6214.714,61.34,61.34,90,100,,,,,,,
6214.864,62.56,62.56,90,100,,,,,,,
6214.864,62.56,62.56,90,100,,,,,,,
6214.864,62.56,62.56,90,100,,,,,,,
6214.864,62.56,62.56,90,100,,,,,,,
6215.014,63.95,63.95,90,100,,,,,,,
6215.014,63.95,63.95,90,100,,,,,,,
6215.014,63.95,63.95,90,100,,,,,,,
6215.014,63.95,63.95,90,100,,,,,,,
6215.164,65.27,65.27,90,100,,,,,,,
6215.164,65.27,65.27,90,100,,,,,,,
6215.164,65.27,65.27,90,100,,,,,,,
6215.164,65.27,65.27,90,100,,,,,,,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.314,66.58,66.58,90,100,,,,,29.87,24.94,
6215.464,67.84,67.84,90,100,,,,,,,
6215.464,67.84,67.84,90,100,,,,,,,
6215.464,67.84,67.84,90,100,,,,,,,
6215.464,67.84,67.84,90,100,,,,,,,
6215.614,69.07,69.07,90,100,,,,,,,
6215.614,69.07,69.07,90,100,,,,,,,
6215.614,69.07,69.07,90,100,,,,,,,
6215.614,69.07,69.07,90,100,,,,,,,
6215.764,70.16,70.16,90,100,,,,,,,
6215.764,70.16,70.16,90,100,,,,,,,
6215.764,70.16,70.16,90,100,,,,,,,
6215.764,70.16,70.16,90,100,,,,,,,
6215.914,71.35,71.35,90,100,,,,,,,
6215.914,71.35,71.35,90,100,,,,,,,
6215.914,71.35,71.35,90,100,,,,,,,
6215.914,71.35,71.35,90,100,,,,,,,
6216.064,72.55,72.55,90,100,,,,,,,
6216.064,72.55,72.55,90,100,,,,,,,
6216.064,72.55,72.55,90,100,,,,,,,
6216.064,72.55,72.55,90,100,,,,,,,
6216.214,73.69,73.69,90,100,,,,,29.98,24.98,
6216.214,73.69,73.69,90,100,,,,,29.98,24.98,
6216.214,73.69,73.69,90,100,,,,,29.98,24.98,
6216.214,73.69,73.69,90,100,,,,,29.98,24.98,
6216.214,73.69,73.69,90,100,,,,,29.98,24.98,
