timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3959.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.17,31.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.312,31.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.47,31.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.612,31.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.762,31,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961.912,30.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.07,30.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.167,,,,,,,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.217,30.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.367,30.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.517,30.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.667,30.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.818,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3962.967,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.117,29.8,,30,,,,31.11,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.267,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.417,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.567,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.717,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3963.867,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.018,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.167,29.3,,30,,,,31.11,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.318,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.467,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.617,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.768,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964.918,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.067,29.2,,30,,,,31.04,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.218,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.368,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.518,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.668,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.817,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3965.969,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.118,29.1,,30,,,,30.95,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.269,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.419,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.569,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.719,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3966.869,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.019,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.167,29.1,,30,,,,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.318,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.468,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.619,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.77,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3967.92,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.07,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.22,29.1,,30,,,,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.369,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.52,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.669,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.819,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3968.969,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.119,29.2,,30,,,,30.7,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.27,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.42,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.568,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.719,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3969.869,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.02,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.17,29.3,,30,,,,30.66,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.32,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.47,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.618,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.77,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3970.92,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.07,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.22,29.3,,30,,,,30.61,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.37,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.52,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.67,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.818,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3971.968,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.119,29.4,,30,,,,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.269,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.419,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.569,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.72,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3972.87,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.02,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.17,29.4,,30,,,,30.54,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.318,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.468,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.619,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.769,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3973.919,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.069,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.219,29.5,,30,,,,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.37,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.52,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.669,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.82,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3974.97,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.12,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.27,29.6,,30,,,,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.419,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.57,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.719,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975.869,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.02,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.17,29.6,,30,,,,30.46,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.318,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.47,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.62,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.773,29.6,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3976.921,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.071,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.221,29.7,,30,,,,30.39,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.371,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.521,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.67,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.82,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3977.969,29.7,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.12,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.269,29.8,,30,,,,30.39,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.42,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.571,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.721,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3978.87,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.021,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.169,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.32,29.9,,30,,,,30.39,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.47,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.621,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.771,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3979.92,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.071,29.8,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.221,29.8,,30,,,,30.39,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.369,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.521,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.671,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.821,29.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980.97,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.12,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.271,29.9,,30,,,,30.34,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.421,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.571,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.721,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3981.871,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.021,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.171,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.321,30,,30,,,,30.32,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.471,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.62,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.77,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3982.921,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.071,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.219,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.371,30,,30,,,,30.35,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.521,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.671,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.821,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983.971,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.121,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.271,30,,30,,,,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.421,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.571,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.721,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3984.87,30.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.021,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.171,30.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.321,30.1,,30,,,,30.28,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.469,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.619,30.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3985.771,30.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
