timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
9159.348,25.92,24,40,95,22.12
9159.348,25.92,24,40,95,22.12
9159.348,25.92,24,40,95,22.12
9159.348,25.92,24,40,95,22.12
9159.496,25.93,24,40,95,22.12
9159.496,25.93,24,40,95,22.12
9159.496,25.93,24,40,95,22.12
9159.496,25.93,24,40,95,22.12
9159.599,,,,,22.12
9159.645,25.95,24,40,95,
9159.645,25.95,24,40,95,
9159.645,25.95,24,40,95,
9159.645,25.95,24,40,95,
9159.795,26.14,24,40,95,
9159.795,26.14,24,40,95,
9159.795,26.14,24,40,95,
9159.795,26.14,24,40,95,
9159.945,26.58,24,40,95,
9159.945,26.58,24,40,95,
9159.945,26.58,24,40,95,
9159.945,26.58,24,40,95,
9160.095,27.55,24,40,95,22.41
9160.095,27.55,24,40,95,22.41
9160.095,27.55,24,40,95,22.41
9160.095,27.55,24,40,95,22.41
9160.095,27.55,24,40,95,22.41
9160.245,28.48,24,40,95,
9160.245,28.48,24,40,95,
9160.245,28.48,24,40,95,
9160.245,28.48,24,40,95,
9160.395,29.53,24,40,95,
9160.395,29.53,24,40,95,
9160.395,29.53,24,40,95,
9160.395,29.53,24,40,95,
9160.545,31.06,24,40,95,
9160.545,31.06,24,40,95,
9160.545,31.06,24,40,95,
9160.545,31.06,24,40,95,
9160.695,32.26,24,40,95,
9160.695,32.26,24,40,95,
9160.695,32.26,24,40,95,
9160.695,32.26,24,40,95,
9160.73,,,,,22.05
9160.845,33.47,24,40,95,
9160.845,33.47,24,40,95,
9160.845,33.47,24,40,95,
9160.845,33.47,24,40,95,
9160.995,35.12,24,40,95,
9160.995,35.12,24,40,95,
9160.995,35.12,24,40,95,
9160.995,35.12,24,40,95,
9161.145,36.35,24,40,95,
9161.145,36.35,24,40,95,
9161.145,36.35,24,40,95,
9161.145,36.35,24,40,95,
9161.295,37.6,24,40,95,22.09
9161.295,37.6,24,40,95,22.09
9161.295,37.6,24,40,95,22.09
9161.295,37.6,24,40,95,22.09
9161.295,37.6,24,40,95,22.09
9161.445,39.22,24,40,95,
9161.445,39.22,24,40,95,
9161.445,39.22,24,40,95,
9161.445,39.22,24,40,95,
9161.595,40.43,24,40,95,
9161.595,40.43,24,40,95,
9161.595,40.43,24,40,95,
9161.595,40.43,24,40,95,
9161.745,41.62,24,40,95,
9161.745,41.62,24,40,95,
9161.745,41.62,24,40,95,
9161.745,41.62,24,40,95,
9161.895,43.19,24,40,95,22.47
9161.895,43.19,24,40,95,22.47
9161.895,43.19,24,40,95,22.47
9161.895,43.19,24,40,95,22.47
9161.895,43.19,24,40,95,22.47
9162.045,44.35,24,40,95,
9162.045,44.35,24,40,95,
9162.045,44.35,24,40,95,
9162.045,44.35,24,40,95,
9162.195,45.5,24,40,95,
9162.195,45.5,24,40,95,
9162.195,45.5,24,40,95,
9162.195,45.5,24,40,95,
9162.345,47.01,24,40,95,
9162.345,47.01,24,40,95,
9162.345,47.01,24,40,95,
9162.345,47.01,24,40,95,
9162.495,48.13,24,40,95,22.1
9162.495,48.13,24,40,95,22.1
9162.495,48.13,24,40,95,22.1
9162.495,48.13,24,40,95,22.1
9162.495,48.13,24,40,95,22.1
9162.645,49.22,24,40,95,
9162.645,49.22,24,40,95,
9162.645,49.22,24,40,95,
9162.645,49.22,24,40,95,
9162.795,50.66,24,40,95,
9162.795,50.66,24,40,95,
9162.795,50.66,24,40,95,
9162.795,50.66,24,40,95,
9162.945,51.71,24,40,95,
9162.945,51.71,24,40,95,
9162.945,51.71,24,40,95,
9162.945,51.71,24,40,95,
9163.095,52.74,24,40,95,22.11
9163.095,52.74,24,40,95,22.11
9163.095,52.74,24,40,95,22.11
9163.095,52.74,24,40,95,22.11
9163.095,52.74,24,40,95,22.11
9163.246,54.12,24,40,95,
9163.246,54.12,24,40,95,
9163.246,54.12,24,40,95,
9163.246,54.12,24,40,95,
9163.396,55.12,24,40,95,
9163.396,55.12,24,40,95,
9163.396,55.12,24,40,95,
9163.396,55.12,24,40,95,
9163.546,56.11,24,40,95,
9163.546,56.11,24,40,95,
9163.546,56.11,24,40,95,
9163.546,56.11,24,40,95,
9163.696,57.42,24,40,95,22.8
9163.696,57.42,24,40,95,22.8
9163.696,57.42,24,40,95,22.8
9163.696,57.42,24,40,95,22.8
9163.696,57.42,24,40,95,22.8
9163.846,58.37,24,40,95,
9163.846,58.37,24,40,95,
9163.846,58.37,24,40,95,
9163.846,58.37,24,40,95,
9163.996,59.3,24,40,95,
9163.996,59.3,24,40,95,
9163.996,59.3,24,40,95,
9163.996,59.3,24,40,95,
9164.146,60.54,24,40,95,
9164.146,60.54,24,40,95,
9164.146,60.54,24,40,95,
9164.146,60.54,24,40,95,
9164.296,61.44,24,40,95,22.17
9164.296,61.44,24,40,95,22.17
9164.296,61.44,24,40,95,22.17
9164.296,61.44,24,40,95,22.17
9164.296,61.44,24,40,95,22.17
9164.446,62.33,24.06,40,95,
9164.446,62.33,24.06,40,95,
9164.446,62.33,24.06,40,95,
9164.446,62.33,24.06,40,95,
9164.596,63.48,24.16,40,95,
9164.596,63.48,24.16,40,95,
9164.596,63.48,24.16,40,95,
9164.596,63.48,24.16,40,95,
9164.746,64.32,24.26,40,95,
9164.746,64.32,24.26,40,95,
9164.746,64.32,24.26,40,95,
9164.746,64.32,24.26,40,95,
9164.896,65.17,24.37,40,95,22.32
9164.896,65.17,24.37,40,95,22.32
9164.896,65.17,24.37,40,95,22.32
9164.896,65.17,24.37,40,95,22.32
9164.896,65.17,24.37,40,95,22.32
9165.046,66.26,24.48,40,95,
9165.046,66.26,24.48,40,95,
9165.046,66.26,24.48,40,95,
9165.046,66.26,24.48,40,95,
9165.196,67.07,24.59,40,95,
9165.196,67.07,24.59,40,95,
9165.196,67.07,24.59,40,95,
9165.196,67.07,24.59,40,95,
9165.346,67.84,24.71,40,95,
9165.346,67.84,24.71,40,95,
