timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
59.202,,,,,,,30.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.702,,,,,,,30.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.202,,,,,,,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.086,,,,,,,30.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.702,,,,,,,30.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.203,,,,,,,31.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.702,,,,,,,31.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.202,,,,,,,31.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.703,,,,,,,31.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.631,,,,,,,31.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.34,,,,,,,31.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.637,,,,,,,31.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.535,,,,,,,31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.068,33.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.17,,,,,,,,,,,,,,,,,,,,,,,395.0,15542.0,4581.0,791.0,607.0,340.0,579.0,543.0,358.0,8845.0,0.5872193436960277,32.35,32.35
