timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2591.445,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2593.945,,,,,,,23.67,,,,,,,,,,,,,,,,,,,,,,,,,,
2596.445,,,,,,,23.68,,,,,,,,,,,,,,,,,,,,,,,,,,
2598.945,,,,,,,23.75,,,,,,,,,,,,,,,,,,,,,,,,,,
2601.445,,,,,,,23.78,,,,,,,,,,,,,,,,,,,,,,,,,,
2603.945,,,,,,,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2606.443,,,,,,,23.79,,,,,,,,,,,,,,,,,,,,,,,,,,
2609.298,,,,,,,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.243,,,,,,,23.96,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.437,31.2,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.477,,,,,,,,,,,,,,,,,,,,,1638.0,18000.0,18000.0,12937.0,5796.0,2699.0,2430.0,2000.0,1031.0,18000.0,1.1106995884773663,30.89,30.89
2610.536,31.2,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.643,31.3,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.735,31.7,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.836,32.2,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610.935,32.8,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.035,33.5,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.136,34.1,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.236,34.8,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.289,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.349,35.7,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.443,,,,,,,,,,,,,,,,,,,,,1632.0,18000.0,18000.0,12924.0,5779.0,2694.0,2420.0,1994.0,1027.0,18000.0,1.1132231404958677,30.89,30.89
2611.457,36.8,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.556,37.5,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.661,38.4,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.756,39.1,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.856,40.1,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2611.96,41.2,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.056,42.1,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.173,42.9,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.28,43.8,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.334,,,,,,,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.381,44.5,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.467,,,,,,,,,,,,,,,,,,,,,1628.0,18000.0,18000.0,12911.0,5775.0,2687.0,2419.0,1990.0,1025.0,18000.0,1.110789582472096,30.88,30.88
2612.481,45.3,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2612.581,46.3,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
