timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1133.818,,,,,,,34.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134.638,,,,,,,34.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135.607,,,,,,,34.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135.83,35.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135.889,,,,,,,,,,,,,,,,,,,,,,,170.0,8029.0,1017.0,64.0,119.0,145.0,156.0,198.0,45.0,6487.0,0.9294871794871795,28.31,28.31
1135.978,35.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.132,36.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.282,37.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.432,38.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.582,40.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.742,41.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.844,,,,,,,,,,,,,,,,,,,,,,,170.0,8022.0,1014.0,64.0,119.0,145.0,156.0,198.0,45.0,6481.0,0.9294871794871795,28.31,28.31
1136.88,,,,,,,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136.922,43.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.076,44.8,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.226,46.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.376,47.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.526,49.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.685,50.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.826,52.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.856,,,,,,,,,,,,,,,,,,,,,,,170.0,8026.0,1016.0,64.0,119.0,145.0,156.0,198.0,45.0,6483.0,0.9294871794871795,28.31,28.31
1137.872,,,,,,,36.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137.978,53.2,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.126,54.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.126,54.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.276,55.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.426,57.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.576,58.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.726,59.3,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138.824,,,,,,,,,,,,,,,,,,,,,,,170.0,8017.0,1017.0,64.0,119.0,145.0,155.0,198.0,45.0,6476.0,0.9354838709677419,28.31,28.31
1138.876,60.3,,90.0,,,,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.026,61.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.176,62.5,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.326,63.1,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.476,63.5,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.626,64.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.776,65.3,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139.823,,,,,,,47.29,,,,,,,,,,,,,,,,169.0,8016.0,1017.0,64.0,119.0,144.0,155.0,198.0,45.0,6473.0,0.9290322580645162,28.31,28.31
1139.926,66.1,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.076,67.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.226,68.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.376,69.1,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.526,69.9,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.676,70.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.824,,,,,,,,,,,,,,,,,,,,,,,169.0,8016.0,1017.0,64.0,119.0,144.0,155.0,198.0,45.0,6474.0,0.9290322580645162,28.31,28.31
