timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
231.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.191,109.7,109.83,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
