timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
538.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.756,29.25,29.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.77,,,,,,,,25.84,25.83,,,55,,,,1.15,13.48,0,,48.78,,,,,,,,,,,,,
554.856,29.28,29.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.868,,,,,,,,25.88,25.83,,,55,,,,2.63,13.62,0,,50.83,,,,,,,,,,,,,
554.899,,,,29.9,,,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,
554.957,29.25,29.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554.979,,,,,,,,26.06,25.84,,,55,,,,4.28,13.85,0,,53.16,,,,,,,,,,,,,
555.064,29.47,29.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.083,,,,,,,,26.38,25.87,,,55,,,,5.75,14.17,0,,55.39,,,,,,,,,,,,,
555.157,29.83,29.29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.168,,,,,,,,26.69,25.94,,,55,,,,6.86,14.56,0,,57.26,,,,,,,,,,,,,
555.257,30.38,29.37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.269,,,,,,,,27.2,26.07,,,55,,,,8.04,15.02,0,,59.32,,,,,,,,,,,,,
555.357,31.07,29.53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.369,,,,,,,,27.74,26.27,,,55,,,,9.04,15.54,0,,61.27,,,,,,,,,,,,,
555.457,31.8,29.8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.469,,,,,,,,28.35,26.55,,,55,,,,9.86,16.12,0,,63.09,,,,,,,,,,,,,
555.557,32.53,30.17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.569,,,,,,,,28.96,26.91,,,55,,,,10.45,16.74,0,,64.71,,,,,,,,,,,,,
555.657,33.34,30.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.668,,,,,,,,29.64,27.34,,,55,,,,10.85,17.38,0,,66.18,,,,,,,,,,,,,
555.757,34.15,31.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.767,,,,,,,,30.32,27.85,,,55,,,,11.07,18.04,0,,67.47,,,,,,,,,,,,,
555.857,34.98,31.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.868,,,,30.17,,,29.01,31.07,28.42,,,55,,,,11.16,18.71,0,,68.66,,,,,,,,,,,,,
555.957,35.81,32.64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.968,,,,,,,,31.83,29.04,,,55,,,,11.1,19.37,0,,69.67,,,,,,,,,,,,,
556.057,36.58,33.41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.068,,,,,,,,32.6,29.72,,,55,,,,10.92,20.03,0,,70.57,,,,,,,,,,,,,
556.157,37.36,34.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.169,,,,,,,,33.37,30.43,,,55,,,,10.64,20.67,0,,71.35,,,,,,,,,,,,,
556.258,38.08,35.04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.269,,,,,,,,34.15,31.17,,,55,,,,10.29,21.29,0,,72.05,,,,,,,,,,,,,
556.357,38.8,35.86,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.369,,,,,,,,34.98,31.93,,,55,,,,9.9,21.89,0,,72.67,,,,,,,,,,,,,
556.457,39.46,36.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.469,,,,,,,,35.81,32.71,,,55,,,,9.43,22.46,0,,73.19,,,,,,,,,,,,,
556.557,40.05,37.44,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.568,,,,,,,,36.62,33.51,,,55,,,,8.93,23,0,,73.65,,,,,,,,,,,,,
556.657,40.65,38.18,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.668,,,,,,,,37.47,34.32,,,55,,,,8.41,23.51,0,,74.06,,,,,,,,,,,,,
556.757,41.14,38.89,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.768,,,,,,,,38.3,35.14,,,55,,,,7.86,23.98,0,,74.41,,,,,,,,,,,,,
556.857,41.64,39.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556.868,,,,,,,,39.13,35.97,,,55,,,,7.29,24.43,0,,74.7,,,,,,,,,,,,,
556.957,42.02,40.17,30,31.04,,,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,
556.968,,,,,,,,39.98,36.8,,,55,,,,6.71,24.84,0,,74.95,,,,,,,,,,,,,
557.057,42.33,40.74,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.069,,,,,,,,40.8,37.63,,,55,,,,6.13,25.21,0,,75.16,,,,,,,,,,,,,
557.157,42.63,41.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.169,,,,,,,,41.6,38.47,,,55,,,,5.53,25.55,0,,75.32,,,,,,,,,,,,,
557.257,42.95,41.69,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.269,,,,,,,,42.44,39.31,,,55,,,,4.96,25.85,0,,75.47,,,,,,,,,,,,,
557.357,43.1,42.09,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.369,,,,,,,,43.22,40.14,,,55,,,,4.36,26.12,0,,75.57,,,,,,,,,,,,,
557.457,43.26,42.43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.468,,,,,,,,44.05,40.96,,,55,,,,3.8,26.35,0,,75.66,,,,,,,,,,,,,
557.557,43.34,42.72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.568,,,,,,,,44.85,41.78,,,55,,,,3.25,26.55,0,,75.73,,,,,,,,,,,,,
557.657,43.38,42.96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.668,,,,,,,,45.66,42.6,,,55,,,,2.7,26.72,0,,75.77,,,,,,,,,,,,,
557.757,43.38,43.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.768,,,,,,,,46.44,43.42,,,55,,,,2.16,26.86,0,,75.78,,,,,,,,,,,,,
557.857,43.34,43.28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.868,,,,,,,,47.24,44.23,,,55,,,,1.64,26.96,0,,75.78,,,,,,,,,,,,,
557.936,,,,32.62,,,29.89,,,,,,,,,,,,,,,,,,,,,,,,,,
557.958,43.34,43.37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557.979,,,,,,,,48,45.03,,,55,,,,1.15,27.03,0,,75.79,,,,,,,,,,,,,
558.081,43.26,43.41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558.1,,,,,,,,49.04,45.84,,,55,,,,1.07,27.09,0,,76.24,,,,,,,,,,,,,
558.169,43.18,43.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558.184,,,,,,,,49.7,46.66,,,55,,,,0.31,27.12,0,,75.91,,,,,,,,,,,,,
558.268,43.06,43.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558.28,,,,,,,,50.41,47.47,,,55,,,,-0.28,27.1,0,,75.73,,,,,,,,,,,,,
