timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2711.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2723.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2725.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.64,33.95,33.95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.689,,,,,,,,30.91,30.9,,,55,,,,0.51,6.23,0,,44.37,,,,,,,,,,,,,
2727.735,33.95,33.95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.79,,,,,,,,30.91,30.9,,,55,,,,2.04,6.33,0,,46.44,,,,,,,,,,,,,
2727.836,33.98,33.95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.87,,,,32.71,,,30.67,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.891,,,,,,,,31.01,30.9,,,55,,,,3.55,6.53,0,,48.52,,,,,,,,,,,,,
2727.936,34.09,33.96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727.99,,,,,,,,31.2,30.91,,,55,,,,5,6.81,0,,50.72,,,,,,,,,,,,,
2728.051,34.12,33.97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.09,,,,,,,,31.53,30.96,,,55,,,,6.38,7.19,0,,52.96,,,,,,,,,,,,,
2728.135,34.15,34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.19,,,,,,,,31.93,31.06,,,55,,,,7.64,7.63,0,,54.97,,,,,,,,,,,,,
2728.235,34.19,34.03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.289,,,,,,,,32.4,31.21,,,55,,,,8.74,8.15,0,,57,,,,,,,,,,,,,
2728.335,34.22,34.07,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.39,,,,,,,,32.9,31.44,,,55,,,,9.69,8.72,0,,58.94,,,,,,,,,,,,,
2728.435,34.22,34.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.49,,,,,,,,33.47,31.73,,,55,,,,10.45,9.34,0,,60.74,,,,,,,,,,,,,
2728.535,34.22,34.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.59,,,,,,,,34.09,32.1,,,55,,,,11.02,9.99,0,,62.4,,,,,,,,,,,,,
2728.636,34.22,34.17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.69,,,,,,,,34.77,32.55,,,55,,,,11.42,10.68,0,,63.9,,,,,,,,,,,,,
2728.736,34.19,34.19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.793,,,,,,,,35.46,33.05,,,55,,,,11.7,11.38,0,,65.3,,,,,,,,,,,,,
2728.836,34.15,34.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.89,,,,32.74,,,30.73,36.09,33.61,,,55,,,,11.75,12.08,0,,66.47,,,,,,,,,,,,,
2728.936,34.15,34.21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2728.99,,,,,,,,36.86,34.22,,,55,,,,11.73,12.79,0,,67.57,,,,,,,,,,,,,
2729.035,34.09,34.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.09,,,,,,,,37.58,34.87,,,55,,,,11.6,13.49,0,,68.57,,,,,,,,,,,,,
2729.135,34.05,34.19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.19,,,,,,,,38.37,35.56,,,55,,,,11.39,14.18,0,,69.47,,,,,,,,,,,,,
2729.235,34.02,34.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.29,,,,,,,,39.13,36.27,,,55,,,,11.11,14.86,0,,70.28,,,,,,,,,,,,,
2729.335,33.95,34.13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.39,,,,,,,,39.91,37.01,,,55,,,,10.76,15.51,0,,71.01,,,,,,,,,,,,,
2729.435,33.92,34.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.49,,,,,,,,40.73,37.77,,,55,,,,10.37,16.14,0,,71.67,,,,,,,,,,,,,
2729.535,33.88,34.06,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.59,,,,,,,,41.52,38.54,,,55,,,,9.94,16.75,0,,72.26,,,,,,,,,,,,,
2729.636,33.81,34.01,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.69,,,,,,,,42.36,39.33,,,55,,,,9.47,17.33,0,,72.79,,,,,,,,,,,,,
2729.736,33.71,33.96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.79,,,,,,,,43.14,40.13,,,55,,,,8.97,17.87,0,,73.26,,,,,,,,,,,,,
2729.836,33.68,33.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.89,,,,32.82,,,30.64,43.97,40.93,,,55,,,,8.45,18.39,0,,73.67,,,,,,,,,,,,,
2729.935,33.61,33.85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2729.99,,,,,,,,44.81,41.75,,,55,,,,7.92,18.88,0,,74.05,,,,,,,,,,,,,
2730.035,33.54,33.79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.09,,,,,,,,45.62,42.56,,,55,,,,7.37,19.33,0,,74.38,,,,,,,,,,,,,
2730.135,33.47,33.72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.19,,,,,,,,46.44,43.38,,,55,,,,6.83,19.75,0,,74.67,,,,,,,,,,,,,
2730.235,33.41,33.65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.29,,,,,,,,47.28,44.21,,,55,,,,6.27,20.14,0,,74.92,,,,,,,,,,,,,
2730.335,33.31,33.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.39,,,,,,,,48.09,45.03,,,55,,,,5.71,20.49,0,,75.14,,,,,,,,,,,,,
2730.435,33.27,33.51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.49,,,,,,,,48.87,45.85,,,55,,,,5.16,20.81,0,,75.33,,,,,,,,,,,,,
2730.536,33.14,33.44,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.59,,,,,,,,49.7,46.67,,,55,,,,4.61,21.1,0,,75.49,,,,,,,,,,,,,
2730.636,33.07,33.37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.69,,,,,,,,50.46,47.48,,,55,,,,4.07,21.36,0,,75.62,,,,,,,,,,,,,
2730.736,33,33.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.79,,,,,,,,51.27,48.3,,,55,,,,3.54,21.58,0,,75.74,,,,,,,,,,,,,
2730.835,32.9,33.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.89,,,,32.75,,,30.74,52.1,49.1,,,55,,,,3.03,21.77,0,,75.83,,,,,,,,,,,,,
2730.935,32.8,33.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730.99,,,,,,,,52.85,49.91,,,55,,,,2.51,21.93,0,,75.9,,,,,,,,,,,,,
2731.035,32.73,33.06,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.09,,,,,,,,53.61,50.71,,,55,,,,2.01,22.06,0,,75.94,,,,,,,,,,,,,
2731.135,32.63,32.97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.19,,,,,,,,54.39,51.51,,,55,,,,1.51,22.16,0,,75.97,,,,,,,,,,,,,
2731.235,32.53,32.88,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.29,,,,,,,,55.17,52.3,,,55,,,,1.04,22.24,0,,75.99,,,,,,,,,,,,,
2731.335,32.47,32.79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.391,,,,,,,,56.02,53.09,,,55,,,,0.59,22.28,0,,76,,,,,,,,,,,,,
2731.603,32.2,32.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.653,,,,,,,,57.88,53.92,,,55,,,,2.44,22.44,0,,79.16,,,,,,,,,,,,,
2731.697,32.1,32.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.752,,,,,,,,58.68,54.84,,,55,,,,0.4,22.5,0,,46.96,,,,,,,,,,,,,
2731.797,32,32.48,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.852,,,,,,,,59.33,55.81,,,55,,,,-2.02,22.42,0,,44.46,,,,,,,,,,,,,
2731.897,31.9,32.36,30,32.58,,,30.74,,,,,,,,,,,,,,,,,,,,,,,,,,
2731.953,,,,,,,,59.98,56.76,,,55,,,,-4.41,22.19,0,,41.84,,,,,,,,,,,,,
2731.998,31.8,32.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.053,,,,,,,,60.43,57.68,,,55,,,,-6.7,21.82,0,,39.18,,,,,,,,,,,,,
2732.098,31.67,32.11,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.152,,,,,,,,60.76,58.52,,,55,,,,-8.8,21.32,0,,36.58,,,,,,,,,,,,,
2732.197,31.53,31.99,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.252,,,,,,,,60.99,59.26,,,55,,,,-10.64,20.71,0,,34.12,,,,,,,,,,,,,
2732.297,31.47,31.87,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.351,,,,,,,,61.1,59.88,,,55,,,,-12.2,20,0,,31.86,,,,,,,,,,,,,
2732.397,31.34,31.76,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.452,,,,,,,,61.21,60.38,,,55,,,,-13.46,19.21,0,,29.81,,,,,,,,,,,,,
2732.497,31.24,31.64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.552,,,,,,,,61.21,60.77,,,55,,,,-14.42,18.36,0,,28,,,,,,,,,,,,,
2732.597,31.14,31.53,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.652,,,,,,,,61.16,61.04,,,55,,,,-15.11,17.46,0,,26.41,,,,,,,,,,,,,
2732.697,31.01,31.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.752,,,,,,,,61.1,61.22,,,55,,,,-15.54,16.53,0,,25.05,,,,,,,,,,,,,
2732.797,30.94,31.31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.852,,,,,,,,60.99,61.3,,,55,,,,-15.75,15.59,0,,23.9,,,,,,,,,,,,,
2732.898,30.81,31.21,30,32.42,,,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,
2732.953,,,,,,,,60.76,61.31,,,55,,,,-15.78,14.64,0,,22.92,,,,,,,,,,,,,
2732.998,30.74,31.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733.052,,,,,,,,60.65,61.26,,,55,,,,-15.65,13.7,0,,22.11,,,,,,,,,,,,,
2733.097,30.61,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2733.152,,,,,,,,60.43,61.16,,,55,,,,-15.4,12.77,0,,21.43,,,,,,,,,,,,,
2733.197,30.55,30.9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
