timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
2101.131,48.13,45.54,30,60,40.05
2101.131,48.13,45.54,30,60,40.05
2101.131,48.13,45.54,30,60,40.05
2101.131,48.13,45.54,30,60,40.05
2101.199,,,,,40.05
2101.28,48.15,45.54,30,60,
2101.28,48.15,45.54,30,60,
2101.28,48.15,45.54,30,60,
2101.28,48.15,45.54,30,60,
2101.43,48.55,45.54,30,60,
2101.43,48.55,45.54,30,60,
2101.43,48.55,45.54,30,60,
2101.43,48.55,45.54,30,60,
2101.588,49.5,45.55,30,60,
2101.588,49.5,45.55,30,60,
2101.588,49.5,45.55,30,60,
2101.588,49.5,45.55,30,60,
2101.738,51.07,45.58,30,60,
2101.738,51.07,45.58,30,60,
2101.738,51.07,45.58,30,60,
2101.738,51.07,45.58,30,60,
2101.888,52.51,45.6,30,60,
2101.888,52.51,45.6,30,60,
2101.888,52.51,45.6,30,60,
2101.888,52.51,45.6,30,60,
2102.038,54.35,45.65,30,60,
2102.038,54.35,45.65,30,60,
2102.038,54.35,45.65,30,60,
2102.038,54.35,45.65,30,60,
2102.188,55.92,45.7,30,60,
2102.188,55.92,45.7,30,60,
2102.188,55.92,45.7,30,60,
2102.188,55.92,45.7,30,60,
2102.232,,,,,40.34
2102.338,57.63,45.75,30,60,
2102.338,57.63,45.75,30,60,
2102.338,57.63,45.75,30,60,
2102.338,57.63,45.75,30,60,
2102.488,59.46,45.82,30,60,
2102.488,59.46,45.82,30,60,
2102.488,59.46,45.82,30,60,
2102.488,59.46,45.82,30,60,
2102.639,61.14,45.9,30,60,
2102.639,61.14,45.9,30,60,
2102.639,61.14,45.9,30,60,
2102.639,61.14,45.9,30,60,
2102.788,63.02,45.99,30,60,
2102.788,63.02,45.99,30,60,
2102.788,63.02,45.99,30,60,
2102.788,63.02,45.99,30,60,
2102.938,64.46,46.08,30,60,
2102.938,64.46,46.08,30,60,
2102.938,64.46,46.08,30,60,
2102.938,64.46,46.08,30,60,
2103.089,66.25,46.18,30,60,
2103.089,66.25,46.18,30,60,
2103.089,66.25,46.18,30,60,
2103.089,66.25,46.18,30,60,
2103.239,67.89,46.29,30,60,40.19
2103.239,67.89,46.29,30,60,40.19
