timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
3059.911,32.14,36.16,50,60,26.59
3059.911,32.14,36.16,50,60,26.59
3059.911,32.14,36.16,50,60,26.59
3059.911,32.14,36.16,50,60,26.59
3060.062,32.17,36.15,50,60,26.59
3060.062,32.17,36.15,50,60,26.59
3060.062,32.17,36.15,50,60,26.59
3060.062,32.17,36.15,50,60,26.59
3060.211,32.62,36.13,50,60,26.59
3060.211,32.62,36.13,50,60,26.59
3060.211,32.62,36.13,50,60,26.59
3060.211,32.62,36.13,50,60,26.59
3060.223,,,,,26.59
3060.361,33.62,36.13,50,60,
3060.361,33.62,36.13,50,60,
3060.361,33.62,36.13,50,60,
3060.361,33.62,36.13,50,60,
3060.512,35.01,36.13,50,60,
3060.512,35.01,36.13,50,60,
3060.512,35.01,36.13,50,60,
3060.512,35.01,36.13,50,60,
3060.67,36.59,36.15,50,60,
3060.67,36.59,36.15,50,60,
3060.67,36.59,36.15,50,60,
3060.67,36.59,36.15,50,60,
3060.831,38.26,36.17,50,60,
3060.831,38.26,36.17,50,60,
3060.831,38.26,36.17,50,60,
3060.831,38.26,36.17,50,60,
3060.97,40.12,36.21,50,60,
3060.97,40.12,36.21,50,60,
3060.97,40.12,36.21,50,60,
3060.97,40.12,36.21,50,60,
3061.12,41.72,36.25,50,60,
3061.12,41.72,36.25,50,60,
3061.12,41.72,36.25,50,60,
3061.12,41.72,36.25,50,60,
3061.228,,,,,26.53
3061.27,43.36,36.3,50,60,
3061.27,43.36,36.3,50,60,
3061.27,43.36,36.3,50,60,
3061.27,43.36,36.3,50,60,
3061.42,45.21,36.36,50,60,
3061.42,45.21,36.36,50,60,
3061.42,45.21,36.36,50,60,
3061.42,45.21,36.36,50,60,
3061.574,46.88,36.43,50,60,
3061.574,46.88,36.43,50,60,
3061.574,46.88,36.43,50,60,
3061.574,46.88,36.43,50,60,
3061.72,48.48,36.51,50,60,
3061.72,48.48,36.51,50,60,
3061.72,48.48,36.51,50,60,
3061.72,48.48,36.51,50,60,
3061.878,50.25,36.6,50,60,
3061.878,50.25,36.6,50,60,
3061.878,50.25,36.6,50,60,
3061.878,50.25,36.6,50,60,
3062.028,51.89,36.69,50,60,
3062.028,51.89,36.69,50,60,
3062.028,51.89,36.69,50,60,
3062.028,51.89,36.69,50,60,
3062.186,53.59,36.8,50,60,26.47
