timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,dataQLiquidStg1
384.565,29.93,29.93,70,29.72
384.565,29.93,29.93,70,29.72
384.565,29.93,29.93,70,29.72
384.715,29.96,29.96,70,29.72
384.715,29.96,29.96,70,29.72
384.715,29.96,29.96,70,29.72
384.865,30.37,30.37,70,29.72
384.865,30.37,30.37,70,29.72
384.865,30.37,30.37,70,29.72
385.015,31.3,31.3,70,29.72
385.015,31.3,31.3,70,29.72
385.015,31.3,31.3,70,29.72
385.165,32.72,32.72,70,29.72
385.165,32.72,32.72,70,29.72
385.165,32.72,32.72,70,29.72
385.165,32.72,32.72,70,29.72
385.315,34.21,34.21,70,
385.315,34.21,34.21,70,
385.315,34.21,34.21,70,
385.465,35.78,35.78,70,
385.465,35.78,35.78,70,
385.465,35.78,35.78,70,
385.615,37.47,37.47,70,
385.615,37.47,37.47,70,
385.615,37.47,37.47,70,
385.765,39.33,39.33,70,
385.765,39.33,39.33,70,
385.765,39.33,39.33,70,
385.915,40.95,40.95,70,
385.915,40.95,40.95,70,
385.915,40.95,40.95,70,
386.065,42.57,42.57,70,
386.065,42.57,42.57,70,
386.065,42.57,42.57,70,
386.216,44.39,44.39,70,29.67
386.216,44.39,44.39,70,29.67
386.216,44.39,44.39,70,29.67
386.216,44.39,44.39,70,29.67
386.366,45.98,45.98,70,
386.366,45.98,45.98,70,
386.366,45.98,45.98,70,
386.516,47.52,47.52,70,
386.516,47.52,47.52,70,
386.516,47.52,47.52,70,
386.666,49.23,49.23,70,
386.666,49.23,49.23,70,
386.666,49.23,49.23,70,
386.816,50.77,50.77,70,
386.816,50.77,50.77,70,
386.816,50.77,50.77,70,
386.967,52.22,52.22,70,
386.967,52.22,52.22,70,
386.967,52.22,52.22,70,
387.117,53.66,53.66,70,
387.117,53.66,53.66,70,
387.117,53.66,53.66,70,
387.267,55.09,55.09,70,29.63
387.267,55.09,55.09,70,29.63
387.267,55.09,55.09,70,29.63
387.267,55.09,55.09,70,29.63
387.417,56.65,56.65,70,
387.417,56.65,56.65,70,
387.417,56.65,56.65,70,
387.568,57.99,57.99,70,
387.568,57.99,57.99,70,
387.568,57.99,57.99,70,
387.718,59.34,59.34,70,
387.718,59.34,59.34,70,
387.718,59.34,59.34,70,
387.868,60.66,60.66,70,
387.868,60.66,60.66,70,
387.868,60.66,60.66,70,
388.019,62.07,62.07,70,
388.019,62.07,62.07,70,
388.019,62.07,62.07,70,
388.169,63.32,63.32,70,29.71
388.169,63.32,63.32,70,29.71
388.169,63.32,63.32,70,29.71
388.169,63.32,63.32,70,29.71
388.319,64.53,64.53,70,
388.319,64.53,64.53,70,
388.319,64.53,64.53,70,
388.469,65.91,65.91,70,
388.469,65.91,65.91,70,
388.469,65.91,65.91,70,
388.619,67.09,67.09,70,
388.619,67.09,67.09,70,
388.619,67.09,67.09,70,
388.771,68.23,68.23,70,
388.771,68.23,68.23,70,
388.771,68.23,68.23,70,
388.921,69.49,69.49,70,
388.921,69.49,69.49,70,
388.921,69.49,69.49,70,
389.07,70.31,70.31,70,
389.07,70.31,70.31,70,
389.07,70.31,70.31,70,
389.22,70.28,70.28,70,29.65
389.22,70.28,70.28,70,29.65
389.22,70.28,70.28,70,29.65
389.22,70.28,70.28,70,29.65
389.37,69.76,69.76,70,
389.37,69.76,69.76,70,
389.37,69.76,69.76,70,
389.521,69.26,69.26,70,
389.521,69.26,69.26,70,
389.521,69.26,69.26,70,
389.671,68.89,68.89,70,
389.671,68.89,68.89,70,
389.671,68.89,68.89,70,
389.822,68.57,68.57,70,
389.822,68.57,68.57,70,
389.822,68.57,68.57,70,
389.971,68.24,68.24,70,
389.971,68.24,68.24,70,
389.971,68.24,68.24,70,
390.123,67.93,67.93,70,
390.123,67.93,67.93,70,
390.123,67.93,67.93,70,
390.273,67.62,67.62,70,29.58
390.273,67.62,67.62,70,29.58
390.273,67.62,67.62,70,29.58
390.273,67.62,67.62,70,29.58
390.423,67.32,67.32,70,
390.423,67.32,67.32,70,
390.423,67.32,67.32,70,
390.573,66.96,66.96,70,
390.573,66.96,66.96,70,
390.573,66.96,66.96,70,
390.723,66.65,66.65,70,
390.723,66.65,66.65,70,
390.723,66.65,66.65,70,
390.873,66.33,66.33,70,
390.873,66.33,66.33,70,
390.873,66.33,66.33,70,
391.023,66,66,70,
391.023,66,66,70,
391.023,66,66,70,
391.175,65.68,65.68,70,
391.175,65.68,65.68,70,
391.175,65.68,65.68,70,
391.229,,,,29.59
391.324,65.36,65.36,70,
391.324,65.36,65.36,70,
391.324,65.36,65.36,70,
391.474,65.07,65.07,70,
391.474,65.07,65.07,70,
391.474,65.07,65.07,70,
391.625,64.72,64.72,70,
391.625,64.72,64.72,70,
391.625,64.72,64.72,70,
391.775,64.44,64.44,70,
391.775,64.44,64.44,70,
391.775,64.44,64.44,70,
391.925,64.15,64.15,70,
391.925,64.15,64.15,70,
391.925,64.15,64.15,70,
392.075,63.83,63.83,70,
392.075,63.83,63.83,70,
392.075,63.83,63.83,70,
392.225,63.58,63.58,70,29.76
392.225,63.58,63.58,70,29.76
392.225,63.58,63.58,70,29.76
392.225,63.58,63.58,70,29.76
392.376,63.28,63.28,70,
392.376,63.28,63.28,70,
392.376,63.28,63.28,70,
392.525,63,63,70,
392.525,63,63,70,
392.525,63,63,70,
392.677,62.73,62.73,70,
392.677,62.73,62.73,70,
392.677,62.73,62.73,70,
392.828,62.45,62.45,70,
392.828,62.45,62.45,70,
392.828,62.45,62.45,70,
392.978,62.2,62.2,70,
392.978,62.2,62.2,70,
392.978,62.2,62.2,70,
393.128,61.94,61.94,70,
393.128,61.94,61.94,70,
393.128,61.94,61.94,70,
393.286,61.75,61.75,70,34.48
393.286,61.75,61.75,70,34.48
393.286,61.75,61.75,70,34.48
393.286,61.75,61.75,70,34.48
393.436,61.41,61.41,70,
393.436,61.41,61.41,70,
393.436,61.41,61.41,70,
393.586,61.16,61.16,70,
393.586,61.16,61.16,70,
393.586,61.16,61.16,70,
393.736,60.91,60.91,70,
393.736,60.91,60.91,70,
393.736,60.91,60.91,70,
393.886,60.69,60.69,70,
393.886,60.69,60.69,70,
393.886,60.69,60.69,70,
394.036,60.43,60.43,70,
394.036,60.43,60.43,70,
394.036,60.43,60.43,70,
394.187,60.18,60.18,70,32.97
394.187,60.18,60.18,70,32.97
394.187,60.18,60.18,70,32.97
394.187,60.18,60.18,70,32.97
394.337,59.97,59.97,70,
394.337,59.97,59.97,70,
394.337,59.97,59.97,70,
394.488,59.73,59.73,70,
394.488,59.73,59.73,70,
394.488,59.73,59.73,70,
394.637,59.48,59.48,70,
394.637,59.48,59.48,70,
394.637,59.48,59.48,70,
394.787,59.28,59.28,70,
394.787,59.28,59.28,70,
394.787,59.28,59.28,70,
394.937,59.08,59.08,70,
394.937,59.08,59.08,70,
394.937,59.08,59.08,70,
395.087,58.81,58.81,70,
395.087,58.81,58.81,70,
395.087,58.81,58.81,70,
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.237,58.62,58.62,70,33.36
395.387,58.43,58.43,70,
395.387,58.43,58.43,70,
395.387,58.43,58.43,70,
395.537,58.2,58.2,70,
395.537,58.2,58.2,70,
395.537,58.2,58.2,70,
395.69,57.99,57.99,70,
395.69,57.99,57.99,70,
395.69,57.99,57.99,70,
395.839,57.81,57.81,70,
395.839,57.81,57.81,70,
395.839,57.81,57.81,70,
395.989,57.62,57.62,70,
395.989,57.62,57.62,70,
395.989,57.62,57.62,70,
396.139,57.4,57.4,70,
396.139,57.4,57.4,70,
396.139,57.4,57.4,70,
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.29,57.22,57.22,70,37.03
396.439,57.03,57.03,70,
