timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,dataQLiquidStg1
3784.235,26.59,27.74,50,60,26.16
3784.235,26.59,27.74,50,60,26.16
3784.235,26.59,27.74,50,60,26.16
3784.235,26.59,27.74,50,60,26.16
3784.388,26.6,27.74,50,60,26.16
3784.388,26.6,27.74,50,60,26.16
3784.388,26.6,27.74,50,60,26.16
3784.388,26.6,27.74,50,60,26.16
3784.535,26.87,27.73,50,60,26.16
3784.535,26.87,27.73,50,60,26.16
3784.535,26.87,27.73,50,60,26.16
3784.535,26.87,27.73,50,60,26.16
3784.685,27.63,27.73,50,60,26.16
3784.685,27.63,27.73,50,60,26.16
3784.685,27.63,27.73,50,60,26.16
3784.685,27.63,27.73,50,60,26.16
3784.835,28.93,27.74,50,60,26.16
3784.835,28.93,27.74,50,60,26.16
3784.835,28.93,27.74,50,60,26.16
3784.835,28.93,27.74,50,60,26.16
3784.891,,,,,26.16
3784.986,30.43,27.76,50,60,
3784.986,30.43,27.76,50,60,
3784.986,30.43,27.76,50,60,
3784.986,30.43,27.76,50,60,
3785.135,31.95,27.79,50,60,
3785.135,31.95,27.79,50,60,
3785.135,31.95,27.79,50,60,
3785.135,31.95,27.79,50,60,
3785.285,33.71,27.83,50,60,
3785.285,33.71,27.83,50,60,
3785.285,33.71,27.83,50,60,
3785.285,33.71,27.83,50,60,
3785.435,35.37,27.88,50,60,
3785.435,35.37,27.88,50,60,
3785.435,35.37,27.88,50,60,
3785.435,35.37,27.88,50,60,
3785.585,37.21,27.94,50,60,
3785.585,37.21,27.94,50,60,
3785.585,37.21,27.94,50,60,
3785.585,37.21,27.94,50,60,
3785.735,38.93,28,50,60,
3785.735,38.93,28,50,60,
3785.735,38.93,28,50,60,
3785.735,38.93,28,50,60,
3785.885,40.43,28.07,50,60,26.17
3785.885,40.43,28.07,50,60,26.17
3785.885,40.43,28.07,50,60,26.17
3785.885,40.43,28.07,50,60,26.17
3785.885,40.43,28.07,50,60,26.17
3786.035,42.18,28.16,50,60,
3786.035,42.18,28.16,50,60,
3786.035,42.18,28.16,50,60,
3786.035,42.18,28.16,50,60,
3786.186,43.87,28.25,50,60,
3786.186,43.87,28.25,50,60,
3786.186,43.87,28.25,50,60,
3786.186,43.87,28.25,50,60,
3786.335,45.34,28.35,50,60,
3786.335,45.34,28.35,50,60,
3786.335,45.34,28.35,50,60,
3786.335,45.34,28.35,50,60,
3786.485,46.89,28.45,50,60,
3786.485,46.89,28.45,50,60,
3786.485,46.89,28.45,50,60,
3786.485,46.89,28.45,50,60,
3786.636,48.44,28.56,50,60,
3786.636,48.44,28.56,50,60,
3786.636,48.44,28.56,50,60,
3786.636,48.44,28.56,50,60,
3786.785,50.06,28.69,50,60,
3786.785,50.06,28.69,50,60,
3786.785,50.06,28.69,50,60,
3786.785,50.06,28.69,50,60,
3786.88,,,,,26.25
3786.947,51.54,28.81,50,60,
3786.947,51.54,28.81,50,60,
3786.947,51.54,28.81,50,60,
3786.947,51.54,28.81,50,60,
3787.093,53.06,28.95,50,60,
3787.093,53.06,28.95,50,60,
3787.093,53.06,28.95,50,60,
3787.093,53.06,28.95,50,60,
3787.244,54.37,29.08,50,60,
3787.244,54.37,29.08,50,60,
3787.244,54.37,29.08,50,60,
3787.244,54.37,29.08,50,60,
3787.393,55.79,29.22,50,60,
3787.393,55.79,29.22,50,60,
3787.393,55.79,29.22,50,60,
3787.393,55.79,29.22,50,60,
3787.544,57.17,29.37,50,60,
3787.544,57.17,29.37,50,60,
3787.544,57.17,29.37,50,60,
3787.544,57.17,29.37,50,60,
3787.694,58.51,29.52,50,60,
3787.694,58.51,29.52,50,60,
3787.694,58.51,29.52,50,60,
3787.694,58.51,29.52,50,60,
3787.844,59.81,29.67,50,60,
3787.844,59.81,29.67,50,60,
3787.844,59.81,29.67,50,60,
3787.844,59.81,29.67,50,60,
3787.905,,,,,26.45
3788.005,61.11,29.84,50,60,
3788.005,61.11,29.84,50,60,
3788.005,61.11,29.84,50,60,
3788.005,61.11,29.84,50,60,
3788.154,62.44,30.01,50,60,
3788.154,62.44,30.01,50,60,
3788.154,62.44,30.01,50,60,
3788.154,62.44,30.01,50,60,
3788.304,63.42,30.16,50,60,
3788.304,63.42,30.16,50,60,
3788.304,63.42,30.16,50,60,
3788.304,63.42,30.16,50,60,
3788.454,64.97,30.35,50,60,
3788.454,64.97,30.35,50,60,
3788.454,64.97,30.35,50,60,
3788.454,64.97,30.35,50,60,
3788.605,66.14,30.53,50,60,
3788.605,66.14,30.53,50,60,
3788.605,66.14,30.53,50,60,
3788.605,66.14,30.53,50,60,
3788.754,67.24,30.7,50,60,
3788.754,67.24,30.7,50,60,
3788.754,67.24,30.7,50,60,
3788.754,67.24,30.7,50,60,
3788.904,68.39,30.88,50,60,
3788.904,68.39,30.88,50,60,
3788.904,68.39,30.88,50,60,
3788.904,68.39,30.88,50,60,
3788.908,,,,,26.37
3789.065,69.52,31.08,50,60,
3789.065,69.52,31.08,50,60,
3789.065,69.52,31.08,50,60,
3789.065,69.52,31.08,50,60,
3789.211,70.58,31.26,50,60,
3789.211,70.58,31.26,50,60,
3789.211,70.58,31.26,50,60,
3789.211,70.58,31.26,50,60,
3789.361,71.59,31.45,50,60,
3789.361,71.59,31.45,50,60,
3789.361,71.59,31.45,50,60,
3789.361,71.59,31.45,50,60,
3789.511,72.79,31.66,50,60,
3789.511,72.79,31.66,50,60,
3789.511,72.79,31.66,50,60,
3789.511,72.79,31.66,50,60,
3789.661,73.7,31.84,50,60,
3789.661,73.7,31.84,50,60,
3789.661,73.7,31.84,50,60,
3789.661,73.7,31.84,50,60,
3789.811,74.79,32.05,50,60,26.36
3789.811,74.79,32.05,50,60,26.36
3789.811,74.79,32.05,50,60,26.36
3789.811,74.79,32.05,50,60,26.36
3789.811,74.79,32.05,50,60,26.36
3789.961,75.73,32.25,50,60,
3789.961,75.73,32.25,50,60,
3789.961,75.73,32.25,50,60,
3789.961,75.73,32.25,50,60,
3790.111,76.69,32.45,50,60,
3790.111,76.69,32.45,50,60,
3790.111,76.69,32.45,50,60,
3790.111,76.69,32.45,50,60,
3790.261,77.6,32.65,50,60,
3790.261,77.6,32.65,50,60,
3790.261,77.6,32.65,50,60,
3790.261,77.6,32.65,50,60,
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.411,78.52,32.86,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.561,79.4,33.06,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.711,80.29,33.28,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.862,81.14,33.49,50,60,
3790.923,,,,,26.48
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.011,81.97,33.7,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.161,82.77,33.91,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.311,83.56,34.12,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.461,84.35,34.34,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.611,85.09,34.55,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.761,85.84,34.77,50,60,
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3791.911,86.55,34.99,50,60,28.18
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.061,87.29,35.21,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.211,88.05,35.44,50,60,
3792.361,88.73,35.66,50,60,
