timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Thermocouple TempC 2
1800.441,25.89,24.0,0.0,65.0,,
1800.441,25.89,24.0,0.0,65.0,,
1800.441,25.89,24.0,0.0,65.0,,
1800.441,25.89,24.0,0.0,65.0,,
1800.591,25.9,24.0,0.0,65.0,,
1800.591,25.9,24.0,0.0,65.0,,
1800.591,25.9,24.0,0.0,65.0,,
1800.591,25.9,24.0,0.0,65.0,,
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.741,26.0,24.0,0.0,65.0,21.08,20.72
1800.891,26.5,24.0,0.0,65.0,,
1800.891,26.5,24.0,0.0,65.0,,
1800.891,26.5,24.0,0.0,65.0,,
1800.891,26.5,24.0,0.0,65.0,,
1801.041,27.17,24.0,0.0,65.0,,
1801.041,27.17,24.0,0.0,65.0,,
1801.041,27.17,24.0,0.0,65.0,,
1801.041,27.17,24.0,0.0,65.0,,
1801.191,28.03,24.0,0.0,65.0,,
1801.191,28.03,24.0,0.0,65.0,,
1801.191,28.03,24.0,0.0,65.0,,
1801.191,28.03,24.0,0.0,65.0,,
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.342,29.4,24.0,0.0,65.0,21.07,20.68
1801.492,30.53,24.0,0.0,65.0,,
1801.492,30.53,24.0,0.0,65.0,,
1801.492,30.53,24.0,0.0,65.0,,
1801.492,30.53,24.0,0.0,65.0,,
1801.642,31.71,24.0,0.0,65.0,,
1801.642,31.71,24.0,0.0,65.0,,
1801.642,31.71,24.0,0.0,65.0,,
1801.642,31.71,24.0,0.0,65.0,,
1801.792,33.31,24.0,0.0,65.0,,
1801.792,33.31,24.0,0.0,65.0,,
1801.792,33.31,24.0,0.0,65.0,,
1801.792,33.31,24.0,0.0,65.0,,
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1801.942,34.55,24.0,0.0,65.0,21.14,20.67
1802.092,35.78,24.0,0.0,65.0,,
1802.092,35.78,24.0,0.0,65.0,,
1802.092,35.78,24.0,0.0,65.0,,
1802.092,35.78,24.0,0.0,65.0,,
1802.242,37.43,24.0,0.0,65.0,,
1802.242,37.43,24.0,0.0,65.0,,
1802.242,37.43,24.0,0.0,65.0,,
1802.242,37.43,24.0,0.0,65.0,,
1802.392,38.66,24.0,0.0,65.0,,
1802.392,38.66,24.0,0.0,65.0,,
1802.392,38.66,24.0,0.0,65.0,,
1802.392,38.66,24.0,0.0,65.0,,
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.542,39.88,24.0,0.0,65.0,21.1,20.75
1802.692,41.48,24.0,0.0,65.0,,
1802.692,41.48,24.0,0.0,65.0,,
1802.692,41.48,24.0,0.0,65.0,,
1802.692,41.48,24.0,0.0,65.0,,
1802.842,42.67,24.0,0.0,65.0,,
1802.842,42.67,24.0,0.0,65.0,,
1802.842,42.67,24.0,0.0,65.0,,
1802.842,42.67,24.0,0.0,65.0,,
1802.992,43.83,24.0,0.0,65.0,,
1802.992,43.83,24.0,0.0,65.0,,
1802.992,43.83,24.0,0.0,65.0,,
1802.992,43.83,24.0,0.0,65.0,,
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.142,45.37,24.0,0.0,65.0,21.06,20.89
1803.292,46.51,24.0,0.0,65.0,,
1803.292,46.51,24.0,0.0,65.0,,
1803.292,46.51,24.0,0.0,65.0,,
1803.292,46.51,24.0,0.0,65.0,,
1803.442,47.62,24.0,0.0,65.0,,
1803.442,47.62,24.0,0.0,65.0,,
1803.442,47.62,24.0,0.0,65.0,,
1803.442,47.62,24.0,0.0,65.0,,
1803.592,49.08,24.0,0.0,65.0,,
1803.592,49.08,24.0,0.0,65.0,,
1803.592,49.08,24.0,0.0,65.0,,
1803.592,49.08,24.0,0.0,65.0,,
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.742,50.16,24.0,0.0,65.0,20.99,20.92
1803.892,51.23,24.0,0.0,65.0,,
1803.892,51.23,24.0,0.0,65.0,,
1803.892,51.23,24.0,0.0,65.0,,
1803.892,51.23,24.0,0.0,65.0,,
1804.042,52.61,24.0,0.0,65.0,,
1804.042,52.61,24.0,0.0,65.0,,
1804.042,52.61,24.0,0.0,65.0,,
1804.042,52.61,24.0,0.0,65.0,,
1804.192,53.63,24.0,0.0,65.0,,
1804.192,53.63,24.0,0.0,65.0,,
1804.192,53.63,24.0,0.0,65.0,,
1804.192,53.63,24.0,0.0,65.0,,
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.342,54.65,24.0,0.0,65.0,21.01,20.93
1804.492,55.97,24.0,0.0,65.0,,
1804.492,55.97,24.0,0.0,65.0,,
1804.492,55.97,24.0,0.0,65.0,,
1804.492,55.97,24.0,0.0,65.0,,
1804.642,56.95,24.0,0.0,65.0,,
1804.642,56.95,24.0,0.0,65.0,,
1804.642,56.95,24.0,0.0,65.0,,
1804.642,56.95,24.0,0.0,65.0,,
1804.792,57.9,24.0,0.0,65.0,,
1804.792,57.9,24.0,0.0,65.0,,
1804.792,57.9,24.0,0.0,65.0,,
1804.792,57.9,24.0,0.0,65.0,,
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1804.942,59.17,24.0,0.0,65.0,21.02,20.94
1805.092,60.09,24.0,0.0,65.0,,
1805.092,60.09,24.0,0.0,65.0,,
1805.092,60.09,24.0,0.0,65.0,,
1805.092,60.09,24.0,0.0,65.0,,
1805.242,60.99,24.0,0.0,65.0,,
1805.242,60.99,24.0,0.0,65.0,,
1805.242,60.99,24.0,0.0,65.0,,
1805.242,60.99,24.0,0.0,65.0,,
1805.392,62.18,24.03,0.0,65.0,,
1805.392,62.18,24.03,0.0,65.0,,
1805.392,62.18,24.03,0.0,65.0,,
1805.392,62.18,24.03,0.0,65.0,,
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.542,63.04,24.13,0.0,65.0,21.04,20.98
1805.692,63.9,24.23,0.0,65.0,,
1805.692,63.9,24.23,0.0,65.0,,
1805.692,63.9,24.23,0.0,65.0,,
1805.692,63.9,24.23,0.0,65.0,,
1805.842,65.03,24.33,0.0,65.0,,
1805.842,65.03,24.33,0.0,65.0,,
1805.842,65.03,24.33,0.0,65.0,,
1805.842,65.03,24.33,0.0,65.0,,
1805.992,65.86,24.44,0.0,65.0,,
1805.992,65.86,24.44,0.0,65.0,,
1805.992,65.86,24.44,0.0,65.0,,
1805.992,65.86,24.44,0.0,65.0,,
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.142,66.67,24.55,0.0,65.0,21.08,20.86
1806.292,67.72,24.67,0.0,65.0,,
1806.292,67.72,24.67,0.0,65.0,,
1806.292,67.72,24.67,0.0,65.0,,
1806.292,67.72,24.67,0.0,65.0,,
1806.442,68.49,24.8,0.0,65.0,,
1806.442,68.49,24.8,0.0,65.0,,
1806.442,68.49,24.8,0.0,65.0,,
1806.442,68.49,24.8,0.0,65.0,,
1806.592,69.27,24.92,0.0,65.0,,
1806.592,69.27,24.92,0.0,65.0,,
1806.592,69.27,24.92,0.0,65.0,,
1806.592,69.27,24.92,0.0,65.0,,
1806.742,70.27,25.05,0.0,65.0,,
1806.742,70.27,25.05,0.0,65.0,,
1806.742,70.27,25.05,0.0,65.0,,
1806.742,70.27,25.05,0.0,65.0,,
1806.796,,,,,21.17,20.8
1806.796,,,,,21.17,20.8
1806.892,71.01,25.18,0.0,65.0,,
1806.892,71.01,25.18,0.0,65.0,,
1806.892,71.01,25.18,0.0,65.0,,
1806.892,71.01,25.18,0.0,65.0,,
1807.042,71.75,25.32,0.0,65.0,,
1807.042,71.75,25.32,0.0,65.0,,
1807.042,71.75,25.32,0.0,65.0,,
1807.042,71.75,25.32,0.0,65.0,,
1807.192,72.7,25.47,0.0,65.0,,
1807.192,72.7,25.47,0.0,65.0,,
1807.192,72.7,25.47,0.0,65.0,,
1807.192,72.7,25.47,0.0,65.0,,
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.342,73.4,25.61,0.0,65.0,21.12,20.7
1807.492,74.09,25.75,0.0,65.0,,
1807.492,74.09,25.75,0.0,65.0,,
1807.492,74.09,25.75,0.0,65.0,,
1807.492,74.09,25.75,0.0,65.0,,
1807.642,74.99,25.91,0.0,65.0,,
1807.642,74.99,25.91,0.0,65.0,,
1807.642,74.99,25.91,0.0,65.0,,
1807.642,74.99,25.91,0.0,65.0,,
1807.792,75.64,26.06,0.0,65.0,,
1807.792,75.64,26.06,0.0,65.0,,
1807.792,75.64,26.06,0.0,65.0,,
1807.792,75.64,26.06,0.0,65.0,,
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1807.942,76.28,26.21,0.0,65.0,21.22,20.77
1808.093,77.12,26.38,0.0,65.0,,
1808.093,77.12,26.38,0.0,65.0,,
1808.093,77.12,26.38,0.0,65.0,,
1808.093,77.12,26.38,0.0,65.0,,
1808.243,77.73,26.54,0.0,65.0,,
