timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8569.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8575.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8576.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.506,31.17,31.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.524,,,,,,,,29.99,30,30.13,30.13,55,,,,0.01,0,-0.12,,80.14,,,,,,,,,,,,,
8577.607,31.14,31.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.631,,,,,,,,30.03,29.99,30.13,30.15,55,,,,0.11,0,-0.7,,80.81,,,,,,,,,,,,,
8577.725,31.01,31.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.744,,,,,,,,30.25,30,30.14,30.19,55,,,,0.27,0,-1.08,,81.35,,,,,,,,,,,,,
8577.825,30.74,31.13,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.84,,,,,,,,30.71,30.03,30.16,30.23,55,,,,0.39,0.01,-0.96,,81.36,,,,,,,,,,,,,
8577.925,30.38,31.07,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8577.939,,,,,,,,31.44,30.13,30.21,30.29,55,,,,0.48,0.01,-0.72,,81.21,,,,,,,,,,,,,
8578.025,29.99,30.96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.039,,,,,,,,32.23,30.33,30.28,30.37,55,,,,0.52,0.02,-0.45,,80.98,,,,,,,,,,,,,
8578.125,29.57,30.79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.139,,,,,,,,33.14,30.66,30.37,30.46,55,,,,0.49,0.02,-0.16,,80.66,,,,,,,,,,,,,
8578.225,29.15,30.55,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.239,,,,,,,,34.12,31.12,30.5,30.57,55,,,,0.38,0.03,0.24,,80.17,,,,,,,,,,,,,
8578.325,28.7,30.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.339,,,,,,,,35.12,31.72,30.65,30.69,55,,,,0.21,0.03,0.44,,79.81,,,,,,,,,,,,,
8578.425,28.32,29.91,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.439,,,,,,,,36.09,32.44,30.83,30.83,55,,,,-0.02,0.03,0.66,,79.36,,,,,,,,,,,,,
8578.525,27.93,29.54,30,,,,31.72,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.539,,,,,,,,37.04,33.27,31.03,30.98,55,,,,-0.28,0.03,0.74,,79,,,,,,,,,,,,,
8578.625,27.68,29.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.639,,,,,,,,38.01,34.16,31.26,31.15,55,,,,-0.6,0.02,0.95,,78.47,,,,,,,,,,,,,
8578.725,27.36,28.74,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578.739,,,,,,,,39.06,35.11,31.51,31.33,55,,,,-0.96,0.01,1.16,,77.89,,,,,,,,,,,,,
8578.825,27.01,28.36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
