timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
41.579,,,,,,,27.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.079,,,,,,,27.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.252,,,,,,,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.579,,,,,,,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.077,,,,,,,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.465,,,,,,,27.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.465,,,,,,,27.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.544,,,,,,,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.579,,,,,,,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.504,,,,,,,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54.38,,,,,,,27.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.123,,,,,,,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.598,,,,,,,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.096,,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.597,,,,,,,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.438,,,,,,,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.096,,,,,,,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.598,,,,,,,27.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.096,,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.795,,,,,,,27.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.598,,,,,,,27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.783,,,,,,,27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.844,,,,,,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.6,,,,,,,27.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.807,35.3,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.908,35.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.002,,,,,,,,,,,,,,,,,,,,,,,384.0,16298.0,6013.0,185.0,611.0,268.0,626.0,478.0,248.0,7699.0,0.4281150159744409,31.39,31.39
75.006,35.6,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.104,36.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.205,36.7,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.304,37.4,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.406,38.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.504,39.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
