timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8570.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8580.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8585.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8585.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8587.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588.795,29.54,29.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588.818,,,,,,,,28.35,28.37,,,55,,,,1.76,8.01,0,,45.84,,,,,,,,,,,,,
8588.92,29.57,29.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8588.934,,,,,,,,28.44,28.37,,,55,,,,3.52,8.19,0,,48.23,,,,,,,,,,,,,
8589.023,29.64,29.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589.035,,,,,,,,28.67,28.38,,,55,,,,5.02,8.46,0,,50.5,,,,,,,,,,,,,
8589.12,29.64,29.57,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589.132,,,,,,,,28.93,28.41,,,55,,,,6.38,8.82,0,,52.64,,,,,,,,,,,,,
8589.22,29.64,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589.231,,,,,,,,29.31,28.49,,,55,,,,7.65,9.26,0,,54.77,,,,,,,,,,,,,
8589.32,29.64,29.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589.332,,,,,,,,29.77,28.63,,,55,,,,8.82,9.77,0,,56.87,,,,,,,,,,,,,
8589.42,29.64,29.61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589.43,,,,,,,,30.29,28.84,,,55,,,,9.79,10.34,0,,58.83,,,,,,,,,,,,,
8589.52,29.67,29.62,30,29.75,,,28.99,,,,,,,,,,,,,,,,,,,,,,,,,,
