timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
3142.218,28.77,24,45,45,25.94
3142.218,28.77,24,45,45,25.94
3142.218,28.77,24,45,45,25.94
3142.218,28.77,24,45,45,25.94
3142.368,28.78,24,45,45,25.94
3142.368,28.78,24,45,45,25.94
3142.368,28.78,24,45,45,25.94
3142.368,28.78,24,45,45,25.94
3142.518,29,24,45,45,25.94
3142.518,29,24,45,45,25.94
3142.518,29,24,45,45,25.94
3142.518,29,24,45,45,25.94
3142.668,29.5,24,45,45,25.94
3142.668,29.5,24,45,45,25.94
3142.668,29.5,24,45,45,25.94
3142.668,29.5,24,45,45,25.94
3142.668,29.5,24,45,45,25.94
3142.818,30.27,24,45,45,
3142.818,30.27,24,45,45,
3142.818,30.27,24,45,45,
3142.818,30.27,24,45,45,
3142.968,31.59,24,45,45,
3142.968,31.59,24,45,45,
3142.968,31.59,24,45,45,
3142.968,31.59,24,45,45,
3143.118,32.71,24,45,45,
3143.118,32.71,24,45,45,
3143.118,32.71,24,45,45,
3143.118,32.71,24,45,45,
3143.268,33.91,24,45,45,
3143.268,33.91,24,45,45,
3143.268,33.91,24,45,45,
3143.268,33.91,24,45,45,
3143.321,,,,,25.9
3143.419,35.57,24,45,45,
3143.419,35.57,24,45,45,
3143.419,35.57,24,45,45,
3143.419,35.57,24,45,45,
3143.569,36.84,24,45,45,
3143.569,36.84,24,45,45,
3143.569,36.84,24,45,45,
3143.569,36.84,24,45,45,
3143.719,38.12,24,45,45,
3143.719,38.12,24,45,45,
3143.719,38.12,24,45,45,
3143.719,38.12,24,45,45,
3143.869,39.84,24,45,45,25.9
3143.869,39.84,24,45,45,25.9
3143.869,39.84,24,45,45,25.9
3143.869,39.84,24,45,45,25.9
3143.869,39.84,24,45,45,25.9
3144.019,41.13,24,45,45,
3144.019,41.13,24,45,45,
3144.019,41.13,24,45,45,
3144.019,41.13,24,45,45,
3144.169,42.4,24,45,45,
3144.169,42.4,24,45,45,
3144.169,42.4,24,45,45,
3144.169,42.4,24,45,45,
3144.319,44.07,24,45,45,
3144.319,44.07,24,45,45,
3144.319,44.07,24,45,45,
3144.319,44.07,24,45,45,
3144.469,45.31,24,45,45,25.92
3144.469,45.31,24,45,45,25.92
3144.469,45.31,24,45,45,25.92
