timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1828.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.589,26.82,26.83,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.644,,,,,,,,29.31,29.34,29.26,29.27,55,,,,0.05,0,-0.29,,80.35,,,,,,,,,,,,,
1842.689,26.82,26.83,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.744,,,,,,,,29.31,29.34,29.26,29.29,55,,,,0.18,0,-0.71,,80.9,,,,,,,,,,,,,
1842.797,26.98,26.83,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.849,,,,,,,,29.54,29.34,29.26,29.33,55,,,,0.37,0.01,-0.67,,81.05,,,,,,,,,,,,,
1842.895,27.33,26.85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842.951,,,,,,,,30.06,29.37,29.29,29.38,55,,,,0.53,0.01,-0.51,,81.06,,,,,,,,,,,,,
1842.995,27.87,26.91,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.049,,,,,,,,30.74,29.47,29.33,29.45,55,,,,0.65,0.02,-0.24,,80.9,,,,,,,,,,,,,
1843.094,28.54,27.06,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.148,,,,,,,,31.57,29.68,29.4,29.53,55,,,,0.7,0.03,0.2,,80.53,,,,,,,,,,,,,
1843.194,29.28,27.31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.248,,,,,,,,32.5,30.02,29.5,29.63,55,,,,0.69,0.03,0.73,,79.99,,,,,,,,,,,,,
1843.294,30.09,27.68,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.348,,,,,,,,33.51,30.5,29.63,29.74,55,,,,0.59,0.04,1.2,,79.43,,,,,,,,,,,,,
1843.394,30.91,28.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.448,,,,,,,,34.57,31.12,29.79,29.87,55,,,,0.42,0.05,1.79,,78.68,,,,,,,,,,,,,
1843.494,31.7,28.75,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.549,,,,29.83,,,28.97,35.64,31.87,29.98,30.01,55,,,,0.17,0.05,2.29,,77.93,,,,,,,,,,,,,
1843.595,32.5,29.42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.648,,,,,,,,36.65,32.73,30.19,30.17,55,,,,-0.13,0.05,2.64,,77.28,,,,,,,,,,,,,
1843.695,33.27,30.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.749,,,,,,,,37.72,33.68,30.43,30.34,55,,,,-0.48,0.05,2.96,,76.61,,,,,,,,,,,,,
1843.795,33.95,30.92,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.848,,,,,,,,38.66,34.68,30.69,30.53,55,,,,-0.87,0.04,3.26,,75.91,,,,,,,,,,,,,
1843.895,34.57,31.71,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843.948,,,,,,,,39.65,35.72,30.97,30.73,55,,,,-1.28,0.03,3.51,,75.23,,,,,,,,,,,,,
1843.994,35.22,32.49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.048,,,,,,,,40.58,36.77,31.26,30.95,55,,,,-1.71,0.01,3.65,,74.65,,,,,,,,,,,,,
1844.094,35.81,33.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.148,,,,,,,,41.56,37.81,31.57,31.18,55,,,,-2.15,-0.01,3.86,,73.97,,,,,,,,,,,,,
1844.194,36.34,33.97,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.248,,,,,,,,42.52,38.84,31.9,31.43,55,,,,-2.6,-0.04,4,,73.36,,,,,,,,,,,,,
1844.294,36.79,34.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.348,,,,,,,,43.42,39.85,32.25,31.69,55,,,,-3.03,-0.07,4.05,,72.84,,,,,,,,,,,,,
1844.394,37.29,35.3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.448,,,,,,,,44.33,40.85,32.6,31.97,55,,,,-3.47,-0.11,4.08,,72.35,,,,,,,,,,,,,
1844.494,37.72,35.89,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.549,,,,,,,,45.21,41.82,32.97,32.27,55,,,,-3.86,-0.15,3.72,,72.27,,,,,,,,,,,,,
1844.595,38.12,36.44,30,30.87,,,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.649,,,,,,,,46.07,42.77,33.35,32.58,55,,,,-4.24,-0.19,3.85,,71.72,,,,,,,,,,,,,
1844.695,38.44,36.95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.748,,,,,,,,46.9,43.69,33.73,32.9,55,,,,-4.61,-0.24,3.9,,71.24,,,,,,,,,,,,,
1844.795,38.84,37.41,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.849,,,,,,,,47.75,44.6,34.13,33.24,55,,,,-4.91,-0.3,3.63,,71.16,,,,,,,,,,,,,
1844.894,39.24,37.84,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.952,,,,,,,,48.56,45.48,34.53,33.6,55,,,,-5.15,-0.35,3.04,,71.46,,,,,,,,,,,,,
1844.994,39.61,38.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.048,,,,,,,,49.3,46.34,34.94,33.93,55,,,,-5.54,-0.41,4,,70.05,,,,,,,,,,,,,
1845.095,39.98,38.64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.148,,,,,,,,50.06,47.18,35.35,34.28,55,,,,-5.88,-0.47,4.12,,69.52,,,,,,,,,,,,,
1845.193,40.32,39.02,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.248,,,,,,,,50.86,47.99,35.77,34.63,55,,,,-6.26,-0.54,4.15,,69.05,,,,,,,,,,,,,
1845.294,40.65,39.38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.348,,,,,,,,51.59,48.79,36.19,34.98,55,,,,-6.65,-0.61,4.24,,68.5,,,,,,,,,,,,,
1845.395,40.8,39.73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.448,,,,,,,,52.29,49.57,36.61,35.33,55,,,,-7.06,-0.69,4.49,,67.76,,,,,,,,,,,,,
1845.493,40.92,40.05,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.549,,,,,,,,52.99,50.33,37.04,35.69,55,,,,-7.46,-0.77,4.17,,67.6,,,,,,,,,,,,,
1845.594,40.88,40.33,30,32.8,,,32.06,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.648,,,,,,,,53.61,51.07,37.47,36.03,55,,,,-7.9,-0.85,4.5,,66.74,,,,,,,,,,,,,
1845.694,40.8,40.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845.749,,,,,,,,54.39,51.8,37.9,36.39,55,,,,-8.33,-0.94,4.28,,66.45,,,,,,,,,,,,,
1845.794,40.73,40.72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
