timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1521.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.13,33.24,33.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.146,,,,,,,,30.94,30.95,30.99,31,55,,,,0.02,0,-0.33,,80.35,,,,,,,,,,,,,
1549.234,33.2,33.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.256,,,,,,,,30.94,30.95,30.99,31.02,55,,,,0.12,0,-0.86,,80.98,,,,,,,,,,,,,
1549.34,33.1,33.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.385,,,,,,,,31.2,30.95,31,31.06,55,,,,0.33,0,-1.62,,81.96,,,,,,,,,,,,,
1549.409,,,,33.22,,,32.38,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.453,32.8,33.21,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.469,,,,,,,,31.6,30.97,31.02,31.1,55,,,,0.46,0.01,-0.88,,81.34,,,,,,,,,,,,,
1549.551,32.43,33.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.567,,,,,,,,32.2,31.06,31.06,31.17,55,,,,0.58,0.01,-1.02,,81.62,,,,,,,,,,,,,
1549.651,32,33.03,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.667,,,,,,,,33.04,31.24,31.13,31.25,55,,,,0.66,0.02,-0.64,,81.32,,,,,,,,,,,,,
1549.751,31.53,32.85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.767,,,,,,,,33.98,31.54,31.22,31.34,55,,,,0.66,0.03,-0.27,,80.96,,,,,,,,,,,,,
1549.851,31.11,32.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549.866,,,,,,,,34.87,31.98,31.34,31.45,55,,,,0.6,0.04,0.01,,80.62,,,,,,,,,,,,,
1549.951,30.65,32.28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
