timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
7122.541,30.97,24,40,65,23.74
7122.541,30.97,24,40,65,23.74
7122.541,30.97,24,40,65,23.74
7122.541,30.97,24,40,65,23.74
7122.684,30.96,24,40,65,23.74
7122.684,30.96,24,40,65,23.74
7122.684,30.96,24,40,65,23.74
7122.684,30.96,24,40,65,23.74
7122.684,30.96,24,40,65,23.74
7122.834,30.97,24,40,65,
7122.834,30.97,24,40,65,
7122.834,30.97,24,40,65,
7122.834,30.97,24,40,65,
7122.984,31.03,24,40,65,
7122.984,31.03,24,40,65,
7122.984,31.03,24,40,65,
7122.984,31.03,24,40,65,
7123.134,31.36,24,40,65,
7123.134,31.36,24,40,65,
7123.134,31.36,24,40,65,
7123.134,31.36,24,40,65,
7123.284,31.84,24,40,65,22.83
7123.284,31.84,24,40,65,22.83
7123.284,31.84,24,40,65,22.83
7123.284,31.84,24,40,65,22.83
7123.284,31.84,24,40,65,22.83
7123.434,32.5,24,40,65,
7123.434,32.5,24,40,65,
7123.434,32.5,24,40,65,
7123.434,32.5,24,40,65,
7123.585,33.63,24,40,65,
7123.585,33.63,24,40,65,
7123.585,33.63,24,40,65,
7123.585,33.63,24,40,65,
7123.735,34.61,24,40,65,
7123.735,34.61,24,40,65,
7123.735,34.61,24,40,65,
7123.735,34.61,24,40,65,
7123.885,35.68,24,40,65,23.78
7123.885,35.68,24,40,65,23.78
7123.885,35.68,24,40,65,23.78
7123.885,35.68,24,40,65,23.78
7123.885,35.68,24,40,65,23.78
7124.035,37.17,24,40,65,
7124.035,37.17,24,40,65,
7124.035,37.17,24,40,65,
7124.035,37.17,24,40,65,
7124.185,38.34,24,40,65,
7124.185,38.34,24,40,65,
7124.185,38.34,24,40,65,
7124.185,38.34,24,40,65,
7124.335,39.52,24,40,65,
7124.335,39.52,24,40,65,
7124.335,39.52,24,40,65,
7124.335,39.52,24,40,65,
7124.486,41.11,24,40,65,22.91
7124.486,41.11,24,40,65,22.91
7124.486,41.11,24,40,65,22.91
7124.486,41.11,24,40,65,22.91
7124.486,41.11,24,40,65,22.91
7124.636,42.31,24,40,65,
7124.636,42.31,24,40,65,
7124.636,42.31,24,40,65,
7124.636,42.31,24,40,65,
7124.786,43.5,24,40,65,
7124.786,43.5,24,40,65,
7124.786,43.5,24,40,65,
7124.786,43.5,24,40,65,
7124.937,45.07,24,40,65,
7124.937,45.07,24,40,65,
7124.937,45.07,24,40,65,
7124.937,45.07,24,40,65,
7125.087,46.24,24,40,65,22.93
7125.087,46.24,24,40,65,22.93
7125.087,46.24,24,40,65,22.93
7125.087,46.24,24,40,65,22.93
7125.087,46.24,24,40,65,22.93
7125.237,47.41,24,40,65,
7125.237,47.41,24,40,65,
7125.237,47.41,24,40,65,
7125.237,47.41,24,40,65,
7125.387,48.95,24,40,65,
7125.387,48.95,24,40,65,
7125.387,48.95,24,40,65,
7125.387,48.95,24,40,65,
7125.537,50.1,24,40,65,
7125.537,50.1,24,40,65,
7125.537,50.1,24,40,65,
7125.537,50.1,24,40,65,
7125.687,51.24,24,40,65,22.96
7125.687,51.24,24,40,65,22.96
7125.687,51.24,24,40,65,22.96
7125.687,51.24,24,40,65,22.96
7125.687,51.24,24,40,65,22.96
7125.838,52.73,24,40,65,
7125.838,52.73,24,40,65,
7125.838,52.73,24,40,65,
7125.838,52.73,24,40,65,
7125.988,53.85,24,40,65,
7125.988,53.85,24,40,65,
7125.988,53.85,24,40,65,
7125.988,53.85,24,40,65,
7126.138,54.95,24,40,65,
7126.138,54.95,24,40,65,
7126.138,54.95,24,40,65,
7126.138,54.95,24,40,65,
7126.317,56.38,24,40,65,23.01
7126.317,56.38,24,40,65,23.01
7126.317,56.38,24,40,65,23.01
7126.317,56.38,24,40,65,23.01
7126.317,56.38,24,40,65,23.01
7126.466,57.69,24,40,65,
7126.466,57.69,24,40,65,
7126.466,57.69,24,40,65,
7126.466,57.69,24,40,65,
7126.616,58.79,24,40,65,
7126.616,58.79,24,40,65,
7126.616,58.79,24,40,65,
7126.616,58.79,24,40,65,
7126.766,59.81,24,40,65,
7126.766,59.81,24,40,65,
7126.766,59.81,24,40,65,
7126.766,59.81,24,40,65,
7126.917,61.15,24,40,65,
