timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
9594.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9594.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9604.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9614.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9616.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9617.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9620.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9621.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9622.893,28.86,28.86,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9622.954,,,,,,,,30.65,30.7,30.67,30.68,55,,,,0.08,0,-0.56,,80.64,,,,,,,,,,,,,
9623.001,28.86,28.85,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.069,,,,,,,,30.74,30.7,30.66,30.71,55,,,,0.25,0,-0.93,,81.18,,,,,,,,,,,,,
9623.114,29.02,28.86,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.173,,,,,,,,31.11,30.71,30.67,30.75,55,,,,0.43,0.01,-0.79,,81.22,,,,,,,,,,,,,
9623.217,29.47,28.88,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.27,,,,,,,,31.63,30.76,30.7,30.8,55,,,,0.58,0.01,-0.51,,81.11,,,,,,,,,,,,,
9623.316,30.09,28.96,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.37,,,,,,,,32.4,30.89,30.75,30.87,55,,,,0.68,0.02,-0.11,,80.81,,,,,,,,,,,,,
9623.416,30.81,29.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.47,,,,,,,,33.31,31.15,30.83,30.96,55,,,,0.71,0.03,0.4,,80.33,,,,,,,,,,,,,
9623.516,31.57,29.43,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.57,,,,,,,,34.26,31.54,30.94,31.06,55,,,,0.66,0.04,0.92,,79.77,,,,,,,,,,,,,
9623.616,32.4,29.83,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.67,,,,,,,,35.32,32.08,31.08,31.18,55,,,,0.53,0.04,1.52,,79.05,,,,,,,,,,,,,
9623.716,33.24,30.36,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.77,,,,,,,,36.37,32.76,31.25,31.31,55,,,,0.32,0.05,2.01,,78.36,,,,,,,,,,,,,
9623.816,34.05,30.98,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.871,,,,,,,,37.43,33.56,31.44,31.45,55,,,,0.05,0.05,2.36,,77.74,,,,,,,,,,,,,
9623.916,34.81,31.68,30,28.22,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,
9623.971,,,,,,,,38.51,34.47,31.66,31.61,55,,,,-0.28,0.05,2.71,,77.05,,,,,,,,,,,,,
9624.016,35.57,32.44,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.07,,,,,,,,39.57,35.45,31.91,31.79,55,,,,-0.68,0.04,3.16,,76.2,,,,,,,,,,,,,
9624.116,36.16,33.23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.17,,,,,,,,40.61,36.48,32.18,31.98,55,,,,-1.1,0.03,3.36,,75.58,,,,,,,,,,,,,
9624.216,36.72,34.02,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.27,,,,,,,,41.56,37.55,32.47,32.18,55,,,,-1.56,0.02,3.59,,74.86,,,,,,,,,,,,,
9624.316,37.26,34.78,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.37,,,,,,,,42.6,38.63,32.77,32.4,55,,,,-2.05,0,3.97,,73.98,,,,,,,,,,,,,
9624.416,37.72,35.49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.47,,,,,,,,43.57,39.71,33.1,32.64,55,,,,-2.54,-0.03,4.27,,73.15,,,,,,,,,,,,,
9624.516,38.15,36.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.57,,,,,,,,44.53,40.77,33.44,32.89,55,,,,-3.04,-0.06,4.22,,72.68,,,,,,,,,,,,,
9624.616,38.48,36.76,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.67,,,,,,,,45.46,41.82,33.79,33.15,55,,,,-3.53,-0.1,4.31,,72.07,,,,,,,,,,,,,
9624.717,38.66,37.31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.773,,,,,,,,46.36,42.84,34.16,33.44,55,,,,-3.95,-0.14,4.12,,71.78,,,,,,,,,,,,,
9624.833,38.77,37.77,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.887,,,,,,,,47.37,43.84,34.54,33.78,55,,,,-4.2,-0.18,4.84,,70.77,,,,,,,,,,,,,
9624.932,38.77,38.16,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.942,,,,28.32,,,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,
9624.985,,,,,,,,48.22,44.83,34.93,34.09,55,,,,-4.67,-0.23,5.77,,69.33,,,,,,,,,,,,,
9625.031,38.73,38.45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625.085,,,,,,,,49.04,45.78,35.33,34.42,55,,,,-5.05,-0.29,4.16,,70.51,,,,,,,,,,,,,
9625.131,38.69,38.65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625.186,,,,,,,,49.88,46.71,35.74,34.76,55,,,,-5.37,-0.34,3.65,,70.63,,,,,,,,,,,,,
9625.231,38.62,38.78,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9625.285,,,,,,,,50.59,47.6,36.15,35.11,55,,,,-5.72,-0.41,3.82,,70.05,,,,,,,,,,,,,
