DATAQ:  | liquid = 26.81 | stg1htsnk = 26.59 |
DATAQ:  | liquid = 26.74 | stg1htsnk = 26.68 |
DATAQ:  | liquid = 27.22 | stg1htsnk = 26.55 |
DATAQ:  | liquid = 27.11 | stg1htsnk = 26.54 |
DATAQ:  | liquid = 27.46 | stg1htsnk = 26.48 |
DATAQ:  | liquid = 27.14 | stg1htsnk = 26.49 |
DATAQ:  | liquid = 25.8 | stg1htsnk = 26.49 |
DATAQ:  | liquid = 26.42 | stg1htsnk = 26.52 |
DATAQ:  | liquid = 25.19 | stg1htsnk = 26.47 |
DATAQ:  | liquid = 24.17 | stg1htsnk = 26.42 |
DATAQ:  | liquid = 24.06 | stg1htsnk = 26.48 |
DATAQ:  | liquid = 28.42 | stg1htsnk = 26.49 |
DATAQ:  | liquid = 32.09 | stg1htsnk = 26.6 |
DATAQ:  | liquid = 32.41 | stg1htsnk = 26.63 |
DATAQ:  | liquid = 28.85 | stg1htsnk = 26.62 |
DATAQ:  | liquid = 26.76 | stg1htsnk = 26.61 |
DATAQ:  | liquid = 23.84 | stg1htsnk = 26.59 |
DATAQ:  | liquid = 23.57 | stg1htsnk = 26.56 |
DATAQ:  | liquid = 23.26 | stg1htsnk = 26.61 |
