timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
6246.415,,,,30.37,,,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,
6276.396,,,,29.99,,,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,
6286.487,,,,30.0,,,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,
6289.069,,,,30.07,,,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,
6289.951,,,,30.15,,,29.51,,,,,,,,,,,,,,,,,,,,,,,,,,
6289.951,,,,30.15,,,29.51,,,,,,,,,,,,,,,,,,,,,,,,,,
6297.231,,,,30.08,,,29.56,,,,,,,,,,,,,,,,,,,,,,,,,,
6298.166,,,,30.2,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.173,30.61,30.63,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.202,,,,,,,,29.83,29.85,29.33,29.34,55.0,,,,0.04,0.0,-0.37,,80.4,,,,,,,,,,,,,
6299.224,,,,30.17,,,29.65,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.269,30.61,30.63,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.295,,,,,,,,29.9,29.85,29.34,29.36,55.0,,,,0.13,0.0,-0.74,,80.87,,,,,,,,,,,,,
6299.387,30.52,30.62,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.402,,,,,,,,30.25,29.86,29.35,29.4,55.0,,,,0.28,0.0,-0.88,,81.16,,,,,,,,,,,,,
6299.487,30.29,30.6,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.501,,,,,,,,30.81,29.91,29.38,29.45,55.0,,,,0.38,0.01,-0.58,,80.97,,,,,,,,,,,,,
6299.587,30.16,30.56,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.601,,,,,,,,31.57,30.04,29.43,29.51,55.0,,,,0.44,0.01,-0.52,,80.97,,,,,,,,,,,,,
6299.687,30.16,30.49,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.701,,,,,,,,32.47,30.29,29.52,29.59,55.0,,,,0.43,0.02,-0.15,,80.59,,,,,,,,,,,,,
6299.787,30.19,30.42,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.801,,,,,,,,33.44,30.67,29.63,29.69,55.0,,,,0.34,0.02,0.21,,80.15,,,,,,,,,,,,,
6299.887,30.29,30.35,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299.901,,,,,,,,34.46,31.2,29.77,29.8,55.0,,,,0.18,0.02,0.51,,79.69,,,,,,,,,,,,,
6299.987,30.38,30.3,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.001,,,,,,,,35.53,31.86,29.94,29.93,55.0,,,,-0.07,0.02,0.77,,79.19,,,,,,,,,,,,,
6300.087,30.52,30.29,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.101,,,,,,,,36.58,32.66,30.13,30.07,55.0,,,,-0.37,0.02,1.12,,78.53,,,,,,,,,,,,,
6300.187,30.65,30.31,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.201,,,,30.16,,,29.7,37.72,33.55,30.36,30.22,55.0,,,,-0.75,0.01,1.24,,78.02,,,,,,,,,,,,,
6300.287,30.78,30.35,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.301,,,,,,,,38.77,34.53,30.61,30.39,55.0,,,,-1.18,-0.0,1.6,,77.22,,,,,,,,,,,,,
6300.387,30.91,30.43,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.401,,,,,,,,39.8,35.57,30.88,30.58,55.0,,,,-1.65,-0.02,1.72,,76.61,,,,,,,,,,,,,
6300.487,31.01,30.53,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.501,,,,,,,,40.84,36.64,31.17,30.78,55.0,,,,-2.17,-0.04,1.82,,75.97,,,,,,,,,,,,,
6300.587,31.14,30.64,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.601,,,,,,,,41.83,37.72,31.48,30.99,55.0,,,,-2.7,-0.07,1.82,,75.42,,,,,,,,,,,,,
6300.687,31.2,30.76,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.701,,,,,,,,42.79,38.81,31.81,31.22,55.0,,,,-3.23,-0.11,1.76,,74.9,,,,,,,,,,,,,
6300.787,31.3,30.88,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.801,,,,,,,,43.73,39.88,32.15,31.47,55.0,,,,-3.77,-0.15,1.68,,74.4,,,,,,,,,,,,,
6300.887,31.44,31.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300.901,,,,,,,,44.65,40.93,32.51,31.73,55.0,,,,-4.28,-0.19,1.24,,74.29,,,,,,,,,,,,,
6300.987,31.47,31.11,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6301.001,,,,,,,,45.54,41.95,32.88,32.01,55.0,,,,-4.79,-0.25,1.02,,73.94,,,,,,,,,,,,,
6301.087,31.57,31.22,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6301.101,,,,,,,,46.36,42.94,33.26,32.3,55.0,,,,-5.27,-0.3,0.9,,73.53,,,,,,,,,,,,,
