timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2283.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.17,26.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.312,26.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.46,26.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.613,27.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.77,28.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.77,28.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.794,,,,,,,24.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2284.92,30,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.077,31.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.227,32.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.381,34.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.531,35.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.681,36.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.737,,,,,,,23.97,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.831,38,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2285.981,39.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286.132,40.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2286.281,41.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
