timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
1809.44,28.78,24,40,65,23.84
1809.44,28.78,24,40,65,23.84
1809.44,28.78,24,40,65,23.84
1809.44,28.78,24,40,65,23.84
1809.59,28.81,24,40,65,23.84
1809.59,28.81,24,40,65,23.84
1809.59,28.81,24,40,65,23.84
1809.59,28.81,24,40,65,23.84
1809.74,29.25,24,40,65,23.84
1809.74,29.25,24,40,65,23.84
1809.74,29.25,24,40,65,23.84
1809.74,29.25,24,40,65,23.84
1809.89,30.03,24,40,65,23.84
1809.89,30.03,24,40,65,23.84
1809.89,30.03,24,40,65,23.84
1809.89,30.03,24,40,65,23.84
1809.89,30.03,24,40,65,23.84
1810.04,31.02,24,40,65,
1810.04,31.02,24,40,65,
1810.04,31.02,24,40,65,
1810.04,31.02,24,40,65,
1810.19,32.51,24,40,65,
1810.19,32.51,24,40,65,
1810.19,32.51,24,40,65,
1810.19,32.51,24,40,65,
1810.34,33.71,24,40,65,
1810.34,33.71,24,40,65,
1810.34,33.71,24,40,65,
1810.34,33.71,24,40,65,
1810.491,34.94,24,40,65,23.86
1810.491,34.94,24,40,65,23.86
1810.491,34.94,24,40,65,23.86
1810.491,34.94,24,40,65,23.86
1810.491,34.94,24,40,65,23.86
1810.641,36.62,24,40,65,
1810.641,36.62,24,40,65,
1810.641,36.62,24,40,65,
1810.641,36.62,24,40,65,
1810.791,37.9,24,40,65,
1810.791,37.9,24,40,65,
1810.791,37.9,24,40,65,
1810.791,37.9,24,40,65,
1810.941,39.17,24,40,65,
1810.941,39.17,24,40,65,
1810.941,39.17,24,40,65,
1810.941,39.17,24,40,65,
1811.091,40.89,24,40,65,23.94
1811.091,40.89,24,40,65,23.94
1811.091,40.89,24,40,65,23.94
1811.091,40.89,24,40,65,23.94
1811.091,40.89,24,40,65,23.94
1811.241,42.18,24,40,65,
1811.241,42.18,24,40,65,
1811.241,42.18,24,40,65,
1811.241,42.18,24,40,65,
1811.391,43.45,24,40,65,
1811.391,43.45,24,40,65,
1811.391,43.45,24,40,65,
1811.391,43.45,24,40,65,
1811.541,45.15,24,40,65,
1811.541,45.15,24,40,65,
1811.541,45.15,24,40,65,
1811.541,45.15,24,40,65,
1811.691,46.42,24,40,65,23.89
1811.691,46.42,24,40,65,23.89
1811.691,46.42,24,40,65,23.89
1811.691,46.42,24,40,65,23.89
1811.691,46.42,24,40,65,23.89
1811.841,47.66,24,40,65,
1811.841,47.66,24,40,65,
1811.841,47.66,24,40,65,
1811.841,47.66,24,40,65,
1811.991,49.32,24,40,65,
1811.991,49.32,24,40,65,
1811.991,49.32,24,40,65,
1811.991,49.32,24,40,65,
1812.141,50.55,24,40,65,
1812.141,50.55,24,40,65,
1812.141,50.55,24,40,65,
1812.141,50.55,24,40,65,
1812.291,51.74,24,40,65,23.91
1812.291,51.74,24,40,65,23.91
1812.291,51.74,24,40,65,23.91
1812.291,51.74,24,40,65,23.91
1812.291,51.74,24,40,65,23.91
1812.441,53.33,24,40,65,
1812.441,53.33,24,40,65,
1812.441,53.33,24,40,65,
1812.441,53.33,24,40,65,
1812.592,54.52,24,40,65,
1812.592,54.52,24,40,65,
1812.592,54.52,24,40,65,
1812.592,54.52,24,40,65,
1812.743,55.67,24,40,65,
1812.743,55.67,24,40,65,
1812.743,55.67,24,40,65,
1812.743,55.67,24,40,65,
1812.892,57.19,24,40,65,23.89
1812.892,57.19,24,40,65,23.89
1812.892,57.19,24,40,65,23.89
1812.892,57.19,24,40,65,23.89
1812.892,57.19,24,40,65,23.89
1813.042,58.32,24,40,65,
1813.042,58.32,24,40,65,
1813.042,58.32,24,40,65,
1813.042,58.32,24,40,65,
1813.192,59.44,24,40,65,
1813.192,59.44,24,40,65,
1813.192,59.44,24,40,65,
1813.192,59.44,24,40,65,
1813.342,60.88,24,40,65,
1813.342,60.88,24,40,65,
1813.342,60.88,24,40,65,
1813.342,60.88,24,40,65,
1813.492,61.95,24,40,65,
1813.492,61.95,24,40,65,
1813.492,61.95,24,40,65,
1813.492,61.95,24,40,65,
1813.642,63,24,40,65,23.92
1813.642,63,24,40,65,23.92
1813.642,63,24,40,65,23.92
1813.642,63,24,40,65,23.92
1813.642,63,24,40,65,23.92
1813.793,64.38,24,40,65,
1813.793,64.38,24,40,65,
1813.793,64.38,24,40,65,
1813.793,64.38,24,40,65,
1813.943,65.41,24,40,65,
1813.943,65.41,24,40,65,
1813.943,65.41,24,40,65,
1813.943,65.41,24,40,65,
1814.093,66.42,24,40,65,
1814.093,66.42,24,40,65,
1814.093,66.42,24,40,65,
1814.093,66.42,24,40,65,
1814.243,67.74,24,40,65,23.94
1814.243,67.74,24,40,65,23.94
1814.243,67.74,24,40,65,23.94
1814.243,67.74,24,40,65,23.94
1814.243,67.74,24,40,65,23.94
1814.393,68.7,24.04,40,65,
1814.393,68.7,24.04,40,65,
1814.393,68.7,24.04,40,65,
1814.393,68.7,24.04,40,65,
1814.543,69.63,24.15,40,65,
1814.543,69.63,24.15,40,65,
1814.543,69.63,24.15,40,65,
1814.543,69.63,24.15,40,65,
1814.693,70.9,24.27,40,65,
1814.693,70.9,24.27,40,65,
1814.693,70.9,24.27,40,65,
1814.693,70.9,24.27,40,65,
1814.843,71.81,24.39,40,65,23.98
1814.843,71.81,24.39,40,65,23.98
1814.843,71.81,24.39,40,65,23.98
1814.843,71.81,24.39,40,65,23.98
1814.843,71.81,24.39,40,65,23.98
1814.993,72.72,24.52,40,65,
1814.993,72.72,24.52,40,65,
1814.993,72.72,24.52,40,65,
1814.993,72.72,24.52,40,65,
1815.143,73.9,24.66,40,65,
1815.143,73.9,24.66,40,65,
1815.143,73.9,24.66,40,65,
1815.143,73.9,24.66,40,65,
1815.293,74.78,24.8,40,65,
1815.293,74.78,24.8,40,65,
1815.293,74.78,24.8,40,65,
1815.293,74.78,24.8,40,65,
1815.443,75.62,24.94,40,65,24.11
1815.443,75.62,24.94,40,65,24.11
1815.443,75.62,24.94,40,65,24.11
1815.443,75.62,24.94,40,65,24.11
1815.443,75.62,24.94,40,65,24.11
1815.593,76.74,25.09,40,65,
1815.593,76.74,25.09,40,65,
1815.593,76.74,25.09,40,65,
1815.593,76.74,25.09,40,65,
1815.743,77.57,25.24,40,65,
1815.743,77.57,25.24,40,65,
1815.743,77.57,25.24,40,65,
1815.743,77.57,25.24,40,65,
1815.893,78.38,25.39,40,65,
1815.893,78.38,25.39,40,65,
1815.893,78.38,25.39,40,65,
1815.893,78.38,25.39,40,65,
1816.037,,,,,24.13
1816.045,79.44,25.56,40,65,
1816.045,79.44,25.56,40,65,
1816.045,79.44,25.56,40,65,
1816.045,79.44,25.56,40,65,
1816.194,80.25,25.72,40,65,
1816.194,80.25,25.72,40,65,
1816.194,80.25,25.72,40,65,
1816.194,80.25,25.72,40,65,
1816.344,81.04,25.89,40,65,
1816.344,81.04,25.89,40,65,
