timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2396.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.076,29.5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.171,,,,,,,,27.9,,28,0,45,,,,76,0.4,-100,100,100,,,,,,,,,,,,,
2449.287,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.34,,,,,,,,28.1,,28,0,45,,,,73.7,1.7,4.3,100,100,,,,,,,,,,,,,
2449.43,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.496,,,,,,,,29.1,,28,0,45,,,,60.7,2.7,25.9,100,100,,,,,,,,,,,,,
2449.586,29.4,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.67,,,,,,,,30.9,,28.1,0,45,,,,39.6,3.5,83.2,100,59.9,,,,,,,,,,,,,
2449.771,29.3,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.813,29.3,,,,,,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2449.843,29.3,,,,,,,32.9,,28.2,0,45,,,,17.2,3.9,13.7,100,72.2,,,,,,,,,,,,,
2449.935,29.2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450.025,,,,,,,,34.7,,28.3,0,45,,,,7.7,4.1,-2.9,100,97.6,,,,,,,,,,,,,
2450.115,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450.183,,,,,,,,36.2,,28.5,0,45,,,,10.5,4.2,-36.4,100,100,,,,,,,,,,,,,
2450.279,29.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450.372,,,,,,,,38.2,,28.7,0,45,,,,10.1,4.4,20.6,100,93.8,,,,,,,,,,,,,
2450.463,29,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450.526,,,,,,,,40.1,,28.9,0,45,,,,9.7,4.5,6.8,100,100,,,,,,,,,,,,,
