timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2705.356,,,,,,,34.82,,,,,,,,,,,,,,,,,,,,,,,,,,
2705.58,34.1,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705.683,34.1,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705.816,34.2,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705.915,35,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.014,35.7,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.114,36.4,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.22,37.1,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.314,38,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.416,38.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.444,,,,,,,35.24,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.514,39.8,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.614,40.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.714,41.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.814,42.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2706.914,43.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.014,44.7,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.12,45.7,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.214,46.7,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.315,47.4,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.414,48.4,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.482,,,,,,,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.515,49.2,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.614,49.9,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.714,50.6,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.814,51.5,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2707.914,52.4,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708.014,53,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708.114,53.7,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2708.214,54.5,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
