timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
68018.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68019.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.131,34.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.258,,,,,,,,28.9,,28.5,0,45,,,,75.7,0.8,4.3,100,100,,,,,,,,,,,,,
68020.344,34.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.463,,,,,,,,29.4,,28.5,0,45,,,,68.9,2,47.5,100,100,,,,,,,,,,,,,
68020.514,35.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.631,,,,,,,,30.8,,28.6,0,45,,,,51.8,3,74.4,100,80.4,,,,,,,,,,,,,
68020.704,37.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68020.824,,,,,,,,33,,28.7,0,45,,,,25.4,3.5,89.8,100,39.1,,,,,,,,,,,,,
68020.875,38.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.001,,,,,,,,34.8,,28.8,0,45,,,,10,3.7,16.7,100,97,,,,,,,,,,,,,
68021.079,40.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.139,,,,,,,29.67,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.201,,,,,,,,36.8,,28.9,0,45,,,,2.4,3.8,10.4,100,95.8,,,,,,,,,,,,,
68021.252,42,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.35,,,,,,,,38.3,,29.1,0,45,,,,10.4,3.9,-21.8,100,100,,,,,,,,,,,,,
68021.401,43.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.552,,,,,,,,40.6,,29.4,0,45,,,,4.6,4,20.5,100,88,,,,,,,,,,,,,
68021.608,45.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.751,,,,,,,,43,,29.6,0,45,,,,-2.3,4,30.6,100,71.1,,,,,,,,,,,,,
68021.825,47.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68021.946,,,,,,,,45.3,,29.9,0,45,,,,-13.1,3.8,21.9,100,68.8,,,,,,,,,,,,,
68021.999,48.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.106,,,,,,,,46.8,,30.3,0,45,,,,-5.2,3.7,-32.5,100,100,,,,,,,,,,,,,
68022.148,50.1,,90,,,,29.69,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.257,,,,,,,,48.2,,30.6,0,45,,,,6.6,3.8,-49,100,100,,,,,,,,,,,,,
68022.298,51.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.407,,,,,,,,49.6,,31,0,45,,,,15.3,4,-18.7,100,100,,,,,,,,,,,,,
68022.448,52.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.556,,,,,,,,51.1,,31.4,0,45,,,,14.1,4.3,19.4,100,99,,,,,,,,,,,,,
68022.598,54.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.706,,,,,,,,52.8,,31.9,0,45,,,,9.6,4.5,8.7,100,100,,,,,,,,,,,,,
68022.748,55.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68022.857,,,,,,,,54.5,,32.3,0,45,,,,5.4,4.5,-2.4,100,100,,,,,,,,,,,,,
68022.898,57.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68023.006,,,,,,,,56.2,,32.8,0,45,,,,2.1,4.6,9.8,100,96.9,,,,,,,,,,,,,
