timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
88107.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88107.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88111.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88111.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88117.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88118.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88120.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88121.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88122.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88122.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88234.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88235.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88239.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88240.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.249,32.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.391,,,,,,,,30.1,,29.7,0,45,,,,75.7,0.4,-100,100,100,,,,,,,,,,,,,
88241.44,32.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.569,,,,,,,,30.4,,29.7,0,45,,,,72.1,1.6,30.5,100,100,,,,,,,,,,,,,
88241.612,33.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.747,,,,,,,,31.4,,29.7,0,45,,,,59.6,2.7,44.1,100,100,,,,,,,,,,,,,
88241.786,34.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88241.909,,,,,,,,33.3,,29.7,0,45,,,,35.9,3.4,72.3,100,66.9,,,,,,,,,,,,,
88241.951,36.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.057,,,,,,,,35.1,,29.8,0,45,,,,17.3,3.7,47.3,100,73.8,,,,,,,,,,,,,
88242.112,37.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.134,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.234,,,,,,,,37.1,,30,0,45,,,,6.2,3.9,46,100,64,,,,,,,,,,,,,
88242.306,39.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.42,,,,,,,,38.9,,30.2,0,45,,,,7,4,-12.9,100,100,,,,,,,,,,,,,
88242.473,41.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.591,,,,,,,,40.5,,30.4,0,45,,,,9.2,4.1,5.7,100,100,,,,,,,,,,,,,
88242.648,43,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.766,,,,,,,,42.6,,30.6,0,45,,,,6.2,4.3,14.9,100,95.5,,,,,,,,,,,,,
88242.817,44.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88242.93,,,,,,,,44.6,,30.9,0,45,,,,3.9,4.4,24.9,100,83.3,,,,,,,,,,,,,
88243.004,46.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.123,,,,,,,,47,,31.2,0,45,,,,-8.1,4.3,33.8,100,62.4,,,,,,,,,,,,,
88243.175,48,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.213,,,,,,,32.18,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.282,,,,,,,,48.6,,31.6,0,45,,,,-4.3,4.2,-37.2,100,100,,,,,,,,,,,,,
88243.325,49.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.433,,,,,,,,50,,31.9,0,45,,,,1.6,4.2,-28.8,100,100,,,,,,,,,,,,,
88243.475,50.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.583,,,,,,,,51.5,,32.3,0,45,,,,11.9,4.3,-36.9,100,100,,,,,,,,,,,,,
88243.624,52.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.732,,,,,,,,53.1,,32.7,0,45,,,,11.8,4.5,8.3,100,100,,,,,,,,,,,,,
88243.774,53.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88243.882,,,,,,,,54.7,,33.2,0,45,,,,7.1,4.7,15.3,100,96.5,,,,,,,,,,,,,
88243.925,55.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88244.033,,,,,,,,56.5,,33.6,0,45,,,,2.6,4.7,4.3,100,100,,,,,,,,,,,,,
88244.074,56.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88244.182,,,,,,,,58,,34.1,0,45,,,,1.9,4.8,-2.9,100,100,,,,,,,,,,,,,
88244.225,58,,90,,,,32.45,,,,,,,,,,,,,,,,,,,,,,,,,,
