timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
64179.561,95.6,,40,,,,89.22,,,,,,,,,,,,,,,,,,,,,,,,,,
64179.661,95.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64179.761,94,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64179.861,93.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64179.961,92.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.061,91.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.161,90.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.261,89.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.361,88.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.462,88.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.561,87.3,,40,,,,89.19,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.661,86.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.761,85.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.861,84.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64180.961,84,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.061,83.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.161,82.4,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.261,81.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.361,80.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.461,80,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.561,79.1,,40,,,,89.16,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.661,78.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.761,78.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.861,77.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64181.961,76.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.062,76.4,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.162,76.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.261,75.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.361,74.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.461,74.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.561,73.5,,40,,,,88.99,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.661,73.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.761,72.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.861,72.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64182.961,71.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.061,71.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.161,70.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.261,70.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.361,70,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.462,69.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.561,69.2,,40,,,,88.84,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.661,68.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.761,68.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.861,68.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64183.961,67.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.061,67.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.161,66.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.261,66.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.361,65.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.461,65.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.561,64.8,,40,,,,88.69,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.661,64.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.761,63.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.861,63.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64184.961,62.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.062,62.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.161,61.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.261,61.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.361,60.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.461,60.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.561,60.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.661,59.7,,40,,,,88.51,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.761,59.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.861,58.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64185.961,58.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.061,57.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.161,57.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.261,56.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.361,56.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.462,56.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.561,55.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.661,55.3,,40,,,,88.27,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.761,55,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.861,54.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64186.961,54.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.061,53.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.161,53.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.261,52.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.361,52.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.461,52.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.561,51.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.661,51.6,,40,,,,87.92,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.761,51.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.861,50.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64187.961,50.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.062,50.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.161,49.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.261,49.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.361,49.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.461,48.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.561,48.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.661,48.3,,40,,,,87.57,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.761,47.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.861,47.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64188.961,47.4,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.061,47.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.161,46.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.261,46.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.361,46.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.462,46.2,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.561,45.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.661,45.7,,40,,,,87.17,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.761,45.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.861,45.3,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64189.961,45.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.062,45,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.161,44.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.261,44.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.361,44.4,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.461,44.1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.561,44,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.661,43.8,,40,,,,86.87,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.761,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.861,43.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64190.961,43.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.062,43.5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.162,43.6,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.261,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.361,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.461,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.561,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.661,43.8,,40,,,,86.48,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.761,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.861,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64191.961,43.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.062,43.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.161,44,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.261,44,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.362,43.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.462,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.563,43.9,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.663,43.9,,40,,,,86.18,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.761,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.861,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64192.962,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64193.062,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64193.161,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64193.262,43.8,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64193.362,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64193.461,43.7,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
