timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
209.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.009,25.09,25.14,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.02,,,,,,,,25.75,25.75,,,55,,,,1.31,0.05,0,,35.52,,,,,,,,,,,,,
223.109,25.16,25.14,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.121,,,,,,,,25.81,25.75,,,55,,,,2.81,0.2,0,,37.59,,,,,,,,,,,,,
223.214,25.22,25.14,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.231,,,,21.8,,,21.68,25.84,25.76,,,55,,,,4.46,0.43,0,,39.9,,,,,,,,,,,,,
223.309,25.34,25.15,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.32,,,,,,,,26,25.77,,,55,,,,5.77,0.76,0,,41.94,,,,,,,,,,,,,
223.409,25.59,25.18,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.421,,,,,,,,26.13,25.8,,,55,,,,7.19,1.17,0,,44.22,,,,,,,,,,,,,
223.51,25.81,25.24,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.521,,,,,,,,26.41,25.86,,,55,,,,8.56,1.66,0,,46.47,,,,,,,,,,,,,
223.609,26.1,25.34,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.62,,,,,,,,26.73,25.95,,,55,,,,9.81,2.22,0,,48.71,,,,,,,,,,,,,
223.709,26.44,25.49,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.721,,,,,,,,27.01,26.09,,,55,,,,10.96,2.86,0,,50.92,,,,,,,,,,,,,
223.81,26.82,25.68,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.82,,,,,,,,27.39,26.28,,,55,,,,12,3.56,0,,53.08,,,,,,,,,,,,,
223.91,27.23,25.92,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.926,,,,,,,,27.77,26.51,,,55,,,,13.02,4.33,0,,55.28,,,,,,,,,,,,,
224.009,27.65,26.2,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.021,,,,,,,,28.16,26.78,,,55,,,,13.75,5.14,0,,57.25,,,,,,,,,,,,,
224.11,28.16,26.53,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.12,,,,,,,,28.64,27.09,,,55,,,,14.46,5.99,0,,59.24,,,,,,,,,,,,,
224.209,28.64,26.9,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.22,,,,21.92,,,21.72,29.12,27.45,,,55,,,,15.07,6.89,0,,61.16,,,,,,,,,,,,,
224.309,29.15,27.31,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.339,,,,,,,,29.73,27.84,,,55,,,,15.87,7.82,0,,63.31,,,,,,,,,,,,,
224.409,29.7,27.76,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.42,,,,,,,,30.16,28.27,,,55,,,,16.01,8.77,0,,64.82,,,,,,,,,,,,,
224.509,30.25,28.23,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.52,,,,,,,,30.74,28.74,,,55,,,,16.35,9.74,0,,66.55,,,,,,,,,,,,,
224.609,30.88,28.74,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
