timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3451.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3451.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3455.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.276,27.2,27.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.329,,,,,,,,27.58,27.59,,,55,,,,0.96,8.59,0,,44.98,,,,,,,,,,,,,
3456.371,27.2,27.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.426,,,,,,,,27.61,27.59,,,55,,,,2.42,8.72,0,,47,,,,,,,,,,,,,
3456.471,27.26,27.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.5,,,,23.96,,,24.37,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.526,,,,,,,,27.77,27.59,,,55,,,,3.91,8.94,0,,49.07,,,,,,,,,,,,,
3456.571,27.39,27.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.635,,,,,,,,28,27.62,,,55,,,,5.48,9.25,0,,51.38,,,,,,,,,,,,,
3456.671,27.58,27.23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.726,,,,,,,,28.35,27.68,,,55,,,,6.7,9.64,0,,53.49,,,,,,,,,,,,,
3456.772,27.84,27.29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.826,,,,,,,,28.73,27.79,,,55,,,,7.92,10.1,0,,55.5,,,,,,,,,,,,,
3456.871,28.09,27.38,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3456.926,,,,,,,,29.25,27.96,,,55,,,,8.98,10.63,0,,57.51,,,,,,,,,,,,,
3456.971,28.28,27.52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.026,,,,,,,,29.77,28.21,,,55,,,,9.87,11.21,0,,59.41,,,,,,,,,,,,,
3457.071,28.44,27.68,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.125,,,,,,,,30.35,28.53,,,55,,,,10.56,11.84,0,,61.14,,,,,,,,,,,,,
3457.17,28.54,27.86,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.226,,,,,,,,31.01,28.92,,,55,,,,11.1,12.5,0,,62.75,,,,,,,,,,,,,
3457.271,28.6,28.04,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.326,,,,,,,,31.67,29.38,,,55,,,,11.44,13.18,0,,64.21,,,,,,,,,,,,,
3457.371,28.6,28.2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.426,,,,,,,,32.33,29.9,,,55,,,,11.63,13.88,0,,65.52,,,,,,,,,,,,,
3457.471,28.6,28.34,30,23.97,,,24.16,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.526,,,,,,,,33.07,30.48,,,55,,,,11.68,14.58,0,,66.69,,,,,,,,,,,,,
3457.571,28.6,28.45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.626,,,,,,,,33.78,31.11,,,55,,,,11.61,15.29,0,,67.74,,,,,,,,,,,,,
3457.672,28.67,28.54,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.726,,,,,,,,34.53,31.78,,,55,,,,11.45,15.98,0,,68.69,,,,,,,,,,,,,
3457.771,28.64,28.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.826,,,,,,,,35.32,32.48,,,55,,,,11.19,16.66,0,,69.52,,,,,,,,,,,,,
3457.871,28.64,28.64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3457.926,,,,,,,,36.09,33.2,,,55,,,,10.87,17.32,0,,70.29,,,,,,,,,,,,,
3457.971,28.64,28.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.025,,,,,,,,36.86,33.95,,,55,,,,10.49,17.95,0,,70.96,,,,,,,,,,,,,
3458.071,28.6,28.67,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.126,,,,,,,,37.65,34.71,,,55,,,,10.09,18.57,0,,71.6,,,,,,,,,,,,,
3458.171,28.6,28.67,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.226,,,,,,,,38.44,35.49,,,55,,,,9.66,19.16,0,,72.18,,,,,,,,,,,,,
3458.271,28.6,28.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.326,,,,,,,,39.28,36.27,,,55,,,,9.2,19.72,0,,72.7,,,,,,,,,,,,,
3458.371,28.6,28.65,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.426,,,,,,,,40.09,37.06,,,55,,,,8.71,20.25,0,,73.17,,,,,,,,,,,,,
3458.471,28.6,28.64,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.526,,,,24.09,,,24.32,40.88,37.87,,,55,,,,8.2,20.76,0,,73.58,,,,,,,,,,,,,
3458.571,28.6,28.63,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.626,,,,,,,,41.71,38.68,,,55,,,,7.68,21.23,0,,73.95,,,,,,,,,,,,,
3458.671,28.6,28.62,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.726,,,,,,,,42.56,39.49,,,55,,,,7.15,21.67,0,,74.28,,,,,,,,,,,,,
3458.771,28.54,28.61,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.826,,,,,,,,43.38,40.31,,,55,,,,6.61,22.07,0,,74.56,,,,,,,,,,,,,
3458.871,28.57,28.6,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3458.926,,,,,,,,44.21,41.13,,,55,,,,6.06,22.45,0,,74.8,,,,,,,,,,,,,
3458.971,28.6,28.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459.026,,,,,,,,44.97,41.95,,,55,,,,5.5,22.79,0,,75.01,,,,,,,,,,,,,
3459.071,28.6,28.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459.125,,,,,,,,45.78,42.77,,,55,,,,4.94,23.1,0,,75.18,,,,,,,,,,,,,
3459.171,28.6,28.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3459.226,,,,,,,,46.57,43.58,,,55,,,,4.42,23.37,0,,75.35,,,,,,,,,,,,,
3459.271,28.64,28.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
