timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
8473.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8474.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8483.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8486.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8487.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8488.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8488.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8488.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8494.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8494.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8495.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8505.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8515.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8518.524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8519.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8519.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8525.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8534.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8535.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.244,,,,,,,,29.18,29.19,,,55,,,,0.52,5.63,0,,42.59,,,,,,,,,,,,,
8536.284,29.12,29.12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.339,,,,,,,,29.22,29.19,,,55,,,,1.95,5.73,0,,44.48,,,,,,,,,,,,,
8536.384,29.12,29.12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.438,,,,,,,,29.28,29.2,,,55,,,,3.43,5.91,0,,46.55,,,,,,,,,,,,,
8536.483,29.25,29.12,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.539,,,,,,,,29.47,29.21,,,55,,,,4.9,6.2,0,,48.83,,,,,,,,,,,,,
8536.583,29.34,29.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.589,,,,27.46,,,27.68,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.638,,,,,,,,29.77,29.25,,,55,,,,6.28,6.56,0,,50.92,,,,,,,,,,,,,
8536.683,29.44,29.17,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.739,,,,,,,,30.16,29.34,,,55,,,,7.58,7,0,,53.05,,,,,,,,,,,,,
8536.783,29.51,29.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.838,,,,,,,,30.55,29.48,,,55,,,,8.71,7.51,0,,55.11,,,,,,,,,,,,,
8536.883,29.51,29.28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8536.938,,,,,,,,31.07,29.68,,,55,,,,9.7,8.08,0,,57.09,,,,,,,,,,,,,
8536.984,29.54,29.34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.04,,,,,,,,31.6,29.96,,,55,,,,10.55,8.7,0,,58.98,,,,,,,,,,,,,
8537.084,29.57,29.39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.139,,,,,,,,32.17,30.3,,,55,,,,11.16,9.37,0,,60.68,,,,,,,,,,,,,
8537.184,29.57,29.45,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.238,,,,,,,,32.8,30.72,,,55,,,,11.63,10.06,0,,62.26,,,,,,,,,,,,,
8537.283,29.57,29.49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.338,,,,,,,,33.47,31.19,,,55,,,,11.94,10.77,0,,63.71,,,,,,,,,,,,,
8537.383,29.57,29.52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.438,,,,,,,,34.15,31.72,,,55,,,,12.11,11.5,0,,65.02,,,,,,,,,,,,,
8537.483,29.57,29.55,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.542,,,,,,,,34.84,32.3,,,55,,,,12.22,12.24,0,,66.29,,,,,,,,,,,,,
8537.583,29.57,29.57,30,27.66,,,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.638,,,,,,,,35.53,32.92,,,55,,,,12.1,12.97,0,,67.32,,,,,,,,,,,,,
8537.683,29.57,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.738,,,,,,,,36.3,33.58,,,55,,,,11.96,13.69,0,,68.32,,,,,,,,,,,,,
8537.783,29.57,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.838,,,,,,,,37.01,34.27,,,55,,,,11.75,14.4,0,,69.24,,,,,,,,,,,,,
8537.884,29.57,29.59,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8537.939,,,,,,,,37.79,34.98,,,55,,,,11.47,15.09,0,,70.08,,,,,,,,,,,,,
8537.984,29.57,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8538.038,,,,,,,,38.55,35.71,,,55,,,,11.15,15.77,0,,70.85,,,,,,,,,,,,,
8538.084,29.57,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8538.138,,,,,,,,39.35,36.45,,,55,,,,10.79,16.43,0,,71.56,,,,,,,,,,,,,
8538.183,29.54,29.58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
