timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
217.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.088,25.69,25.67,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.1,,,,,,,,27.26,27.27,,,55,,,,1.16,0.04,0,,36.38,,,,,,,,,,,,,
277.197,25.69,25.67,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.21,,,,,,,,27.3,27.27,,,55,,,,2.82,0.19,0,,38.63,,,,,,,,,,,,,
277.294,25.75,25.67,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.305,,,,,,,,27.39,27.27,,,55,,,,4.24,0.42,0,,40.7,,,,,,,,,,,,,
277.394,25.94,25.68,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.412,,,,,,,,27.58,27.29,,,55,,,,5.8,0.74,0,,43.01,,,,,,,,,,,,,
277.498,26.19,25.72,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.509,,,,,,,,27.77,27.33,,,55,,,,7.16,1.14,0,,45.2,,,,,,,,,,,,,
277.598,26.44,25.79,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.611,,,,,,,,28.09,27.4,,,55,,,,8.5,1.63,0,,47.46,,,,,,,,,,,,,
277.698,26.76,25.91,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.709,,,,22.25,,,21.93,28.48,27.52,,,55,,,,9.67,2.19,0,,49.6,,,,,,,,,,,,,
277.798,27.14,26.07,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.808,,,,,,,,28.86,27.69,,,55,,,,10.73,2.82,0,,51.71,,,,,,,,,,,,,
277.898,27.45,26.29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.908,,,,,,,,29.28,27.92,,,55,,,,11.66,3.5,0,,53.74,,,,,,,,,,,,,
277.998,27.77,26.54,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.008,,,,,,,,29.77,28.21,,,55,,,,12.44,4.23,0,,55.68,,,,,,,,,,,,,
