timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
6240.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6241.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6243.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6247.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6260.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6264.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6265.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6279.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6279.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6282.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.591,26.25,26.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.645,,,,,,,,28.22,28.21,,,55,,,,1.49,8.97,0,,46.45,,,,,,,,,,,,,
100.698,26.25,26.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.745,,,,,,,,28.22,28.21,,,55,,,,2.99,9.13,0,,48.57,,,,,,,,,,,,,
100.796,26.38,26.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.86,,,,,,,,28.41,28.21,,,55,,,,4.71,9.4,0,,51.01,,,,,,,,,,,,,
100.909,26.57,26.27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.966,,,,,,,,28.67,28.24,,,55,,,,6.23,9.76,0,,53.32,,,,,,,,,,,,,
101.008,26.82,26.31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.063,,,,,,,,29.05,28.31,,,55,,,,7.52,10.19,0,,55.45,,,,,,,,,,,,,
101.109,27.14,26.39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.163,,,,,,,,29.51,28.43,,,55,,,,8.7,10.7,0,,57.56,,,,,,,,,,,,,
101.208,27.52,26.52,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.263,,,,23.12,,,23.1,30.03,28.63,,,55,,,,9.71,11.27,0,,59.55,,,,,,,,,,,,,
101.308,27.93,26.71,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.363,,,,,,,,30.61,28.9,,,55,,,,10.53,11.89,0,,61.41,,,,,,,,,,,,,
101.409,28.32,26.95,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.463,,,,,,,,31.2,29.26,,,55,,,,11.15,12.55,0,,63.12,,,,,,,,,,,,,
101.508,28.6,27.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.563,,,,,,,,31.87,29.68,,,55,,,,11.58,13.25,0,,64.66,,,,,,,,,,,,,
101.608,28.8,27.56,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.663,,,,,,,,32.57,30.18,,,55,,,,11.84,13.96,0,,66.05,,,,,,,,,,,,,
101.709,28.96,27.88,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.763,,,,,,,,33.27,30.73,,,55,,,,11.95,14.67,0,,67.3,,,,,,,,,,,,,
101.808,29.05,28.19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.863,,,,,,,,33.98,31.34,,,55,,,,11.93,15.39,0,,68.41,,,,,,,,,,,,,
101.908,29.18,28.46,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
