timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3724.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3726.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.338,32.67,32.67,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.385,,,,,,,,31.2,31.2,,,55,,,,0.9,0.54,0,,39.42,,,,,,,,,,,,,
3727.431,32.67,32.67,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.49,,,,,,,,31.2,31.2,,,55,,,,2.47,0.66,0,,41.47,,,,,,,,,,,,,
3727.531,32.73,32.67,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.586,,,,,,,,31.3,31.2,,,55,,,,3.91,0.88,0,,43.54,,,,,,,,,,,,,
3727.632,32.9,32.68,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.686,,,,32.35,,,33.12,31.47,31.22,,,55,,,,5.38,1.18,0,,45.73,,,,,,,,,,,,,
3727.731,33.07,32.71,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.788,,,,,,,,31.67,31.25,,,55,,,,6.81,1.57,0,,47.98,,,,,,,,,,,,,
3727.831,33.27,32.77,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.886,,,,,,,,31.97,31.32,,,55,,,,8.11,2.05,0,,50.23,,,,,,,,,,,,,
3727.932,33.47,32.86,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3727.986,,,,,,,,32.27,31.44,,,55,,,,9.32,2.59,0,,52.34,,,,,,,,,,,,,
3728.038,33.68,32.98,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.086,,,,,,,,32.63,31.6,,,55,,,,10.41,3.21,0,,54.57,,,,,,,,,,,,,
3728.131,33.92,33.12,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.186,,,,,,,,33.07,31.82,,,55,,,,11.37,3.89,0,,56.54,,,,,,,,,,,,,
3728.232,34.15,33.3,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.286,,,,,,,,33.47,32.08,,,55,,,,12.21,4.61,0,,58.52,,,,,,,,,,,,,
3728.331,34.46,33.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.386,,,,,,,,33.95,32.39,,,55,,,,12.93,5.38,0,,60.42,,,,,,,,,,,,,
3728.431,34.77,33.72,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.486,,,,,,,,34.43,32.75,,,55,,,,13.54,6.18,0,,62.26,,,,,,,,,,,,,
3728.531,35.08,33.97,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.586,,,,,,,,34.98,33.15,,,55,,,,14.05,7.02,0,,64.02,,,,,,,,,,,,,
3728.632,35.46,34.24,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.686,,,,,,,,35.53,33.59,,,55,,,,14.45,7.89,0,,65.71,,,,,,,,,,,,,
3728.73,35.81,34.53,90,32.45,,,32.99,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.786,,,,,,,,36.09,34.06,,,55,,,,14.76,8.77,0,,67.32,,,,,,,,,,,,,
3728.831,36.23,34.85,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.886,,,,,,,,36.69,34.57,,,55,,,,15,9.67,0,,68.88,,,,,,,,,,,,,
3728.931,36.58,35.18,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3728.986,,,,,,,,37.29,35.1,,,55,,,,15.17,10.58,0,,70.38,,,,,,,,,,,,,
