timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Thermocouple TempC 2
13369.489,28.6,24.0,45.0,45.0,,
13369.489,28.6,24.0,45.0,45.0,,
13369.489,28.6,24.0,45.0,45.0,,
13369.489,28.6,24.0,45.0,45.0,,
13369.627,28.6,24.0,45.0,45.0,,
13369.627,28.6,24.0,45.0,45.0,,
13369.627,28.6,24.0,45.0,45.0,,
13369.627,28.6,24.0,45.0,45.0,,
13369.64,,,,,22.78,22.28
13369.64,,,,,22.78,22.28
13369.777,28.64,24.0,45.0,45.0,,
13369.777,28.64,24.0,45.0,45.0,,
13369.777,28.64,24.0,45.0,45.0,,
13369.777,28.64,24.0,45.0,45.0,,
13369.927,28.82,24.0,45.0,45.0,,
13369.927,28.82,24.0,45.0,45.0,,
13369.927,28.82,24.0,45.0,45.0,,
13369.927,28.82,24.0,45.0,45.0,,
13370.077,29.26,24.0,45.0,45.0,,
13370.077,29.26,24.0,45.0,45.0,,
13370.077,29.26,24.0,45.0,45.0,,
13370.077,29.26,24.0,45.0,45.0,,
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.24,29.93,24.0,45.0,45.0,22.79,22.23
13370.378,30.87,24.0,45.0,45.0,,
13370.378,30.87,24.0,45.0,45.0,,
13370.378,30.87,24.0,45.0,45.0,,
13370.378,30.87,24.0,45.0,45.0,,
13370.528,31.96,24.0,45.0,45.0,,
13370.528,31.96,24.0,45.0,45.0,,
13370.528,31.96,24.0,45.0,45.0,,
13370.528,31.96,24.0,45.0,45.0,,
13370.678,33.18,24.0,45.0,45.0,,
13370.678,33.18,24.0,45.0,45.0,,
13370.678,33.18,24.0,45.0,45.0,,
13370.678,33.18,24.0,45.0,45.0,,
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.828,34.51,24.0,45.0,45.0,22.81,22.25
13370.978,35.79,24.0,45.0,45.0,,
13370.978,35.79,24.0,45.0,45.0,,
13370.978,35.79,24.0,45.0,45.0,,
13370.978,35.79,24.0,45.0,45.0,,
13371.129,37.2,24.0,45.0,45.0,,
13371.129,37.2,24.0,45.0,45.0,,
13371.129,37.2,24.0,45.0,45.0,,
13371.129,37.2,24.0,45.0,45.0,,
13371.278,38.73,24.0,45.0,45.0,,
13371.278,38.73,24.0,45.0,45.0,,
13371.278,38.73,24.0,45.0,45.0,,
13371.278,38.73,24.0,45.0,45.0,,
13371.429,40.11,24.0,45.0,45.0,,
13371.429,40.11,24.0,45.0,45.0,,
13371.429,40.11,24.0,45.0,45.0,,
13371.429,40.11,24.0,45.0,45.0,,
13371.457,,,,,22.81,22.25
13371.457,,,,,22.81,22.25
13371.579,41.54,24.0,45.0,45.0,,
13371.579,41.54,24.0,45.0,45.0,,
13371.579,41.54,24.0,45.0,45.0,,
13371.579,41.54,24.0,45.0,45.0,,
13371.728,42.94,24.0,45.0,45.0,,
13371.728,42.94,24.0,45.0,45.0,,
13371.728,42.94,24.0,45.0,45.0,,
13371.728,42.94,24.0,45.0,45.0,,
13371.879,44.36,24.0,45.0,45.0,,
13371.879,44.36,24.0,45.0,45.0,,
13371.879,44.36,24.0,45.0,45.0,,
13371.879,44.36,24.0,45.0,45.0,,
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.028,45.83,24.0,45.0,45.0,22.92,22.29
13372.178,47.1,24.0,45.0,45.0,,
13372.178,47.1,24.0,45.0,45.0,,
13372.178,47.1,24.0,45.0,45.0,,
13372.178,47.1,24.0,45.0,45.0,,
13372.328,48.74,24.0,45.0,45.0,,
13372.328,48.74,24.0,45.0,45.0,,
