timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
8850.584,30.31,30.31,30,60,,,,,25.63,25.26,
8850.584,30.31,30.31,30,60,,,,,25.63,25.26,
8850.584,30.31,30.31,30,60,,,,,25.63,25.26,
8850.584,30.31,30.31,30,60,,,,,25.63,25.26,
8850.734,30.31,30.31,30,60,,,,,25.63,25.26,
8850.734,30.31,30.31,30,60,,,,,25.63,25.26,
8850.734,30.31,30.31,30,60,,,,,25.63,25.26,
8850.734,30.31,30.31,30,60,,,,,25.63,25.26,
8850.884,30.56,30.56,30,60,,,,,25.63,25.26,
8850.884,30.56,30.56,30,60,,,,,25.63,25.26,
8850.884,30.56,30.56,30,60,,,,,25.63,25.26,
8850.884,30.56,30.56,30,60,,,,,25.63,25.26,
8851.034,31.42,31.42,30,60,,,,,25.63,25.26,
8851.034,31.42,31.42,30,60,,,,,25.63,25.26,
8851.034,31.42,31.42,30,60,,,,,25.63,25.26,
8851.034,31.42,31.42,30,60,,,,,25.63,25.26,
8851.145,,,,,,,,,25.63,25.26,
8851.145,,,,,,,,,25.63,25.26,
8851.195,32.63,32.63,30,60,,,,,,,
8851.195,32.63,32.63,30,60,,,,,,,
8851.195,32.63,32.63,30,60,,,,,,,
8851.195,32.63,32.63,30,60,,,,,,,
8851.36,34.57,34.57,30,60,,,,,,,
8851.36,34.57,34.57,30,60,,,,,,,
8851.36,34.57,34.57,30,60,,,,,,,
8851.36,34.57,34.57,30,60,,,,,,,
8851.51,36.21,36.21,30,60,,,,,,,
8851.51,36.21,36.21,30,60,,,,,,,
8851.51,36.21,36.21,30,60,,,,,,,
8851.51,36.21,36.21,30,60,,,,,,,
8851.66,37.86,37.86,30,60,,,,,,,
8851.66,37.86,37.86,30,60,,,,,,,
8851.66,37.86,37.86,30,60,,,,,,,
8851.66,37.86,37.86,30,60,,,,,,,
8851.817,39.56,39.56,30,60,,,,,,,
8851.817,39.56,39.56,30,60,,,,,,,
8851.817,39.56,39.56,30,60,,,,,,,
8851.817,39.56,39.56,30,60,,,,,,,
8851.975,41.32,41.32,30,60,,,,,,,
8851.975,41.32,41.32,30,60,,,,,,,
8851.975,41.32,41.32,30,60,,,,,,,
8851.975,41.32,41.32,30,60,,,,,,,
8852.117,42.98,42.98,30,60,,,,,,,
8852.117,42.98,42.98,30,60,,,,,,,
8852.117,42.98,42.98,30,60,,,,,,,
8852.117,42.98,42.98,30,60,,,,,,,
8852.21,,,,,,,,,25.6,25.49,
8852.21,,,,,,,,,25.6,25.49,
8852.275,44.62,44.62,30,60,,,,,,,
8852.275,44.62,44.62,30,60,,,,,,,
8852.275,44.62,44.62,30,60,,,,,,,
8852.275,44.62,44.62,30,60,,,,,,,
8852.434,46.55,46.55,30,60,,,,,,,
8852.434,46.55,46.55,30,60,,,,,,,
8852.434,46.55,46.55,30,60,,,,,,,
8852.434,46.55,46.55,30,60,,,,,,,
8852.575,48.22,48.22,30,60,,,,,,,
8852.575,48.22,48.22,30,60,,,,,,,
8852.575,48.22,48.22,30,60,,,,,,,
8852.575,48.22,48.22,30,60,,,,,,,
8852.725,49.7,49.7,30,60,,,,,,,
8852.725,49.7,49.7,30,60,,,,,,,
8852.725,49.7,49.7,30,60,,,,,,,
8852.725,49.7,49.7,30,60,,,,,,,
8852.875,51.3,51.3,30,60,,,,,,,
8852.875,51.3,51.3,30,60,,,,,,,
8852.875,51.3,51.3,30,60,,,,,,,
8852.875,51.3,51.3,30,60,,,,,,,
8853.025,52.84,52.84,30,60,,,,,,,
8853.025,52.84,52.84,30,60,,,,,,,
8853.025,52.84,52.84,30,60,,,,,,,
8853.025,52.84,52.84,30,60,,,,,,,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.175,54.37,54.37,30,60,,,,,25.65,25.45,
8853.325,55.84,55.84,30,60,,,,,,,
8853.325,55.84,55.84,30,60,,,,,,,
8853.325,55.84,55.84,30,60,,,,,,,
8853.325,55.84,55.84,30,60,,,,,,,
8853.475,57.28,57.28,30,60,,,,,,,
8853.475,57.28,57.28,30,60,,,,,,,
8853.475,57.28,57.28,30,60,,,,,,,
8853.475,57.28,57.28,30,60,,,,,,,
8853.627,58.85,58.85,30,60,,,,,,,
8853.627,58.85,58.85,30,60,,,,,,,
8853.627,58.85,58.85,30,60,,,,,,,
8853.627,58.85,58.85,30,60,,,,,,,
8853.778,59.96,59.96,30,60,,,,,,,
8853.778,59.96,59.96,30,60,,,,,,,
8853.778,59.96,59.96,30,60,,,,,,,
8853.778,59.96,59.96,30,60,,,,,,,
8853.926,60.5,60.5,30,60,,,,,,,
8853.926,60.5,60.5,30,60,,,,,,,
8853.926,60.5,60.5,30,60,,,,,,,
8853.926,60.5,60.5,30,60,,,,,,,
8854.075,60.2,60.2,30,60,,,,,,,
8854.075,60.2,60.2,30,60,,,,,,,
8854.075,60.2,60.2,30,60,,,,,,,
8854.075,60.2,60.2,30,60,,,,,,,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.225,59.76,59.76,30,60,,,,,25.68,25.41,
8854.375,59.42,59.42,30,60,,,,,,,
8854.375,59.42,59.42,30,60,,,,,,,
8854.375,59.42,59.42,30,60,,,,,,,
8854.375,59.42,59.42,30,60,,,,,,,
8854.525,59.18,59.18,30,60,,,,,,,
8854.525,59.18,59.18,30,60,,,,,,,
8854.525,59.18,59.18,30,60,,,,,,,
8854.525,59.18,59.18,30,60,,,,,,,
8854.675,58.93,58.93,30,60,,,,,,,
8854.675,58.93,58.93,30,60,,,,,,,
8854.675,58.93,58.93,30,60,,,,,,,
8854.675,58.93,58.93,30,60,,,,,,,
8854.826,58.7,58.7,30,60,,,,,,,
8854.826,58.7,58.7,30,60,,,,,,,
8854.826,58.7,58.7,30,60,,,,,,,
8854.826,58.7,58.7,30,60,,,,,,,
8854.975,58.48,58.48,30,60,,,,,,,
8854.975,58.48,58.48,30,60,,,,,,,
8854.975,58.48,58.48,30,60,,,,,,,
8854.975,58.48,58.48,30,60,,,,,,,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.125,58.26,58.26,30,60,,,,,25.71,25.41,
8855.275,58.02,58.02,30,60,,,,,,,
8855.275,58.02,58.02,30,60,,,,,,,
8855.275,58.02,58.02,30,60,,,,,,,
8855.275,58.02,58.02,30,60,,,,,,,
8855.425,57.81,57.81,30,60,,,,,,,
8855.425,57.81,57.81,30,60,,,,,,,
8855.425,57.81,57.81,30,60,,,,,,,
8855.425,57.81,57.81,30,60,,,,,,,
8855.575,57.57,57.57,30,60,,,,,,,
8855.575,57.57,57.57,30,60,,,,,,,
8855.575,57.57,57.57,30,60,,,,,,,
8855.575,57.57,57.57,30,60,,,,,,,
8855.725,57.33,57.33,30,60,,,,,,,
8855.725,57.33,57.33,30,60,,,,,,,
8855.725,57.33,57.33,30,60,,,,,,,
8855.725,57.33,57.33,30,60,,,,,,,
8855.875,57.12,57.12,30,60,,,,,,,
8855.875,57.12,57.12,30,60,,,,,,,
8855.875,57.12,57.12,30,60,,,,,,,
8855.875,57.12,57.12,30,60,,,,,,,
8856.025,56.89,56.89,30,60,,,,,,,
8856.025,56.89,56.89,30,60,,,,,,,
8856.025,56.89,56.89,30,60,,,,,,,
8856.025,56.89,56.89,30,60,,,,,,,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.175,56.65,56.65,30,60,,,,,25.77,25.39,
8856.325,56.46,56.46,30,60,,,,,,,
8856.325,56.46,56.46,30,60,,,,,,,
8856.325,56.46,56.46,30,60,,,,,,,
8856.325,56.46,56.46,30,60,,,,,,,
8856.475,56.21,56.21,30,60,,,,,,,
8856.475,56.21,56.21,30,60,,,,,,,
8856.475,56.21,56.21,30,60,,,,,,,
8856.475,56.21,56.21,30,60,,,,,,,
8856.625,56,56,30,60,,,,,,,
8856.625,56,56,30,60,,,,,,,
8856.625,56,56,30,60,,,,,,,
8856.625,56,56,30,60,,,,,,,
8856.775,55.82,55.82,30,60,,,,,,,
8856.775,55.82,55.82,30,60,,,,,,,
8856.775,55.82,55.82,30,60,,,,,,,
8856.775,55.82,55.82,30,60,,,,,,,
