timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3565.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3575.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3575.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3585.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3595.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3597.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3601.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602.678,30.22,30.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602.732,,,,,,,,29.31,29.31,,,55,,,,1.22,6.75,0,,44.68,,,,,,,,,,,,,
3602.778,30.22,30.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602.833,,,,,,,,29.31,29.31,,,55,,,,2.73,6.9,0,,46.72,,,,,,,,,,,,,
3602.877,30.25,30.22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3602.95,,,,,,,,29.51,29.32,,,55,,,,4.48,7.14,0,,49.15,,,,,,,,,,,,,
3602.977,30.29,30.23,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.036,,,,,,,,29.7,29.34,,,55,,,,5.71,7.46,0,,51.1,,,,,,,,,,,,,
3603.077,30.29,30.24,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.132,,,,,,,,30.03,29.4,,,55,,,,7.01,7.86,0,,53.23,,,,,,,,,,,,,
3603.177,30.29,30.25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.232,,,,,,,,30.48,29.51,,,55,,,,8.24,8.34,0,,55.35,,,,,,,,,,,,,
3603.278,30.29,30.26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.332,,,,,,,,30.91,29.68,,,55,,,,9.3,8.89,0,,57.39,,,,,,,,,,,,,
3603.378,30.29,30.27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.432,,,,,,,,31.47,29.92,,,55,,,,10.2,9.49,0,,59.3,,,,,,,,,,,,,
3603.477,30.29,30.28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.532,,,,,,,,32.07,30.24,,,55,,,,10.9,10.14,0,,61.07,,,,,,,,,,,,,
3603.578,30.29,30.28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.632,,,,30.31,,,29.33,32.67,30.63,,,55,,,,11.42,10.82,0,,62.7,,,,,,,,,,,,,
3603.677,30.29,30.29,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603.732,,,,,,,,33.34,31.09,,,55,,,,11.78,11.52,0,,64.17,,,,,,,,,,,,,
