timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrSlug,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
3530.958,,,,,,,30.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531.697,32.32,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3531.723,,,,,,,,,,,,,,,,,,,,,,,2701,18000,476,254,851,1376,1181,869,69,18000,1.16511431,28.92,28.92
3531.849,32.32,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.01,32.55,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.16,33.06,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.243,,,,,,,30.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.311,34.15,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.468,35.54,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.621,37.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.783,38.74,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3532.937,40.3,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.087,42.17,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.237,43.82,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.269,,,,,,,32.6,,,,,,,,,,,,,,,,2650,18000,476,253,851,1391,1217,861,69,18000,1.142974528,28.92,28.92
3533.387,45.49,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.537,47.13,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.687,48.71,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.837,50.29,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3533.987,51.83,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.137,53.35,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.288,54.86,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.31,,,,,,,35.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.437,56.32,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.587,57.76,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.689,,,,,,,,,,,,,,,,,,,,,,,2673,18000,479,256,861,1399,1196,861,69,18000,1.169732441,28.92,28.92
3534.737,59.2,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3534.887,60.59,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.037,61.94,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.187,63.25,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.337,64.57,,60,,,,40.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.487,65.87,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.637,67.11,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.787,68.32,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3535.938,69.51,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.087,70.62,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.121,,,,,,,,,,,,,,,,,,,,,,,2689,18000,480,256,866,1404,1186,857,69,18000,1.18381113,28.92,28.92
3536.237,71.77,,60,,,,46.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.387,72.92,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.537,74.02,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.687,75.1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.837,76.15,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3536.987,77.17,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537.137,78.18,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537.287,79.18,,60,,,,48.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537.438,80.03,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537.555,,,,,,,,,,,,,,,,,,,,,,,2698,18000,481,256,874,1382,1181,862,69,18000,1.17019475,28.92,28.92
3537.603,81.24,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3537.752,82.19,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
