,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,2422.334,,,,24.76,
1,2422.793,,,,24.87,
2,2423.498,,,,24.92,
3,2423.986,,,,25.03,
4,2424.668,,,,25.19,
5,2425.351,,,,25.2,
6,2425.889,,,,25.25,
7,2426.57,,,,25.39,
8,2427.161,,,,25.35,
9,2427.801,,,,25.55,
10,2428.324,,,,25.8,
11,2429.007,,,,26.12,
12,2429.543,,,,26.56,
13,2426.477,33.79,33.77,90.0,,33.71
14,2426.626,33.79,33.77,90.0,,33.71
15,2426.776,33.81,33.77,90.0,,33.71
16,2426.926,34.03,33.79,90.0,,33.69
17,2427.076,34.93,33.9,90.0,,33.63
18,2427.226,35.62,34.08,90.0,,33.6
19,2427.377,37.27,34.38,90.0,,33.52
20,2427.526,39.08,34.83,90.0,,33.43
21,2427.676,40.84,35.4,90.0,,33.36
22,2427.826,42.34,36.02,90.0,,33.3
23,2427.976,44.54,36.79,90.0,,33.2
24,2436.846,,,,27.13,
25,2428.126,47.03,37.68,90.0,,33.11
26,2428.276,48.54,38.59,90.0,,33.04
27,2428.426,50.72,39.61,90.0,,32.96
28,2428.576,52.5,40.66,90.0,,32.9
29,2428.726,54.34,41.72,90.0,,32.82
30,2428.876,56.39,42.84,90.0,,32.75
31,2429.026,58.13,43.97,90.0,,32.7
32,2429.176,59.26,45.06,90.0,,32.66
33,2429.326,61.21,46.16,90.0,,32.59
34,2429.476,63.46,47.32,90.0,,32.52
35,2429.626,65.04,48.48,90.0,,32.47
36,2429.776,66.17,49.57,90.0,,32.43
37,2444.641,,,,28.21,
38,2429.926,68.04,50.69,90.0,,32.37
39,2430.076,69.58,51.82,90.0,29.92,32.33
40,2430.226,71.48,52.99,90.0,,32.28
41,2430.376,72.86,54.12,90.0,,32.24
42,2430.526,74.19,55.23,90.0,,32.2
43,2430.676,75.92,56.35,90.0,,32.16
44,2430.826,77.19,57.45,90.0,33.95,32.13
45,2430.976,78.45,58.52,90.0,,32.1
46,2431.126,80.09,59.61,90.0,,32.06
47,2431.276,81.31,60.68,90.0,,32.04
48,2431.426,82.49,61.72,90.0,52.49,32.02
49,2431.576,84.02,62.78,90.0,,31.99
50,2431.726,85.11,63.81,90.0,,31.97
51,2431.876,86.2,64.81,90.0,,31.95
52,2432.026,87.61,65.82,90.0,63.36,31.93
53,2432.176,88.63,66.81,90.0,,31.91
54,2432.326,89.6,67.78,90.0,,31.89
55,2432.476,90.85,68.74,90.0,,31.89
56,2432.626,91.72,69.67,90.0,70.37,31.87
57,2456.886,,,,75.98,
58,2432.776,92.53,70.57,90.0,,31.87
59,2457.991,,,,80.02,
60,2432.926,93.56,71.46,90.0,,31.85
61,2433.076,94.32,72.32,90.0,,31.84
62,2433.226,95.09,73.16,90.0,84.59,31.83
63,2433.376,96.08,73.99,90.0,,31.83
64,2433.527,96.84,74.81,90.0,,31.81
65,2433.676,97.59,75.61,90.0,,31.81
66,2433.826,98.57,76.41,90.0,88.87,31.81
67,2433.976,99.3,77.2,90.0,,31.8
68,2434.126,100.03,77.97,90.0,,31.8
69,2434.276,100.99,78.76,90.0,,31.79
70,2434.426,101.71,79.53,90.0,89.1,31.8
71,2434.578,102.42,80.29,90.0,,31.79
72,2465.854,,,,90.16,
73,2434.727,103.33,81.05,90.0,,31.79
74,2434.877,104.03,81.81,90.0,,31.79
75,2435.027,104.7,82.55,90.0,92.36,31.79
76,2435.177,105.61,83.3,90.0,,31.79
77,2435.327,106.32,84.04,90.0,,31.8
78,2435.477,106.99,84.77,90.0,,31.8
79,2435.627,107.82,85.51,90.0,93.55,31.8
80,2435.782,108.46,86.23,90.0,,31.81
81,2435.932,109.08,86.94,90.0,,31.81
82,2436.082,109.79,87.65,90.0,,31.83
83,2436.232,109.96,88.31,90.0,94.16,31.88
84,2436.382,109.65,88.86,90.0,,31.98
85,2436.534,108.56,89.26,90.0,,32.19
86,2436.679,107.35,89.49,90.0,,32.4
87,2436.827,105.89,89.56,90.0,,32.64
88,2436.98,103.88,89.45,90.0,,32.95
89,2437.13,102.6,89.24,90.0,,33.14
90,2437.28,101.72,89.0,90.0,,33.3
91,2437.43,101.12,88.78,90.0,94.35,33.44
92,2437.58,101.02,88.62,90.0,,33.5
93,2437.73,101.08,88.53,90.0,,33.55
94,2479.172,,,,94.42,
95,2437.88,101.34,88.52,90.0,,33.6
96,2438.031,101.6,88.58,90.0,94.09,33.61
97,2438.18,101.83,88.69,90.0,,33.64
98,2438.33,102.08,88.84,90.0,,33.65
99,2438.48,102.21,89.02,90.0,,33.66
100,2438.63,102.31,89.2,90.0,93.84,33.67
101,2438.78,102.36,89.39,90.0,,33.68
102,2438.93,102.36,89.58,90.0,,33.68
103,2484.658,,,,93.44,
104,2439.08,102.31,89.76,90.0,,33.69
105,2439.23,102.19,89.93,90.0,93.01,33.7
106,2439.38,102.08,90.08,90.0,,33.7
107,2439.53,101.93,90.22,90.0,,33.71
108,2439.68,101.71,90.34,90.0,,33.72
109,2439.83,101.51,90.44,90.0,92.75,33.72
110,2439.98,101.3,90.52,90.0,,33.73
111,2440.13,101.03,90.59,90.0,,33.75
112,2440.28,100.8,90.65,90.0,,33.76
113,2440.43,100.57,90.69,90.0,92.35,33.77
114,2440.58,100.24,90.72,90.0,,33.79
115,2440.73,100.01,90.74,90.0,,33.8
116,2492.508,,,,92.27,
117,2440.875,99.76,90.75,90.0,,33.81
118,2441.025,99.43,90.75,90.0,91.73,33.83
119,2441.175,99.15,90.74,90.0,,33.84
120,2441.325,98.91,90.72,90.0,,33.85
121,2441.475,98.61,90.7,90.0,,33.87
122,2441.625,98.37,90.67,90.0,89.84,33.88
123,2441.775,98.14,90.65,90.0,,33.89
124,2441.925,97.86,90.61,90.0,,33.91
125,2442.075,97.64,90.58,90.0,,33.92
126,2442.225,97.42,90.54,90.0,86.49,33.93
127,2499.163,,,,83.05,
128,2442.375,97.15,90.5,90.0,,33.95
129,2442.525,96.95,90.46,90.0,,33.96
130,2442.675,96.75,90.43,90.0,,33.97
131,2442.825,96.51,90.38,90.0,80.86,33.98
132,2442.975,96.34,90.35,90.0,,33.99
133,2443.125,96.16,90.31,90.0,,34.0
134,2443.275,95.94,90.27,90.0,,34.02
135,2443.425,95.78,90.24,90.0,80.44,34.02
136,2443.575,95.63,90.2,90.0,,34.03
137,2443.725,95.46,90.17,90.0,,34.05
138,2443.875,95.32,90.14,90.0,,34.05
139,2444.025,95.19,90.11,90.0,80.56,34.06
140,2444.175,95.04,90.09,90.0,,34.06
141,2444.325,94.92,90.06,90.0,,34.07
142,2444.475,94.81,90.04,90.0,,34.08
143,2444.625,94.68,90.02,90.0,,34.08
144,2444.775,94.59,90.0,90.0,,34.1
145,2444.925,94.51,89.99,90.0,,34.1
146,2445.071,94.4,89.98,80.0,,34.11
147,2445.221,94.32,89.97,80.0,80.42,34.12
148,2445.371,94.18,89.96,80.0,,34.12
149,2445.521,93.71,89.91,80.0,,34.19
150,2445.672,93.01,89.81,80.0,,34.28
151,2445.821,92.06,89.63,80.0,80.09,34.42
152,2445.971,90.47,89.32,80.0,,34.66
153,2446.121,89.19,88.92,80.0,,34.85
154,2446.271,87.85,88.45,80.0,,35.07
155,2446.421,86.03,87.88,80.0,79.63,35.38
156,2446.571,84.67,87.25,80.0,,35.6
157,2446.721,83.31,86.59,80.0,,35.84
158,2518.023,,,,79.56,
159,2446.871,81.51,85.86,80.0,,36.18
160,2447.031,80.16,85.1,80.0,79.16,36.41
161,2447.181,78.85,84.33,80.0,,36.65
162,2447.332,77.26,83.52,80.0,,36.95
163,2447.482,76.38,82.74,80.0,,37.14
164,2447.631,75.84,82.04,80.0,78.9,37.25
