,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,4951.588,,,,29.26,
1,4952.159,,,,29.41,
2,4952.781,,,,29.37,
3,4953.111,,,,29.34,
4,4957.105,,,,29.41,
5,4957.407,,,,29.38,
6,4958.304,,,,29.38,
7,4958.634,,,,29.38,
8,4959.471,,,,29.37,
9,4960.073,,,,29.33,
10,4960.676,,,,29.35,
11,4961.136,,,,29.45,
12,4961.873,,,,29.47,
13,4962.48,,,,30.03,
14,4963.103,,,,31.76,
15,4963.641,,,,32.67,
16,4964.244,,,,34.35,
17,4961.191,30.6,30.59,55.0,,30.43
18,4961.341,30.6,30.59,55.0,,30.43
19,4961.491,30.63,30.59,55.0,,30.43
20,4966.717,,,,36.67,
21,4961.641,30.83,30.61,55.0,,30.39
22,4961.791,31.14,30.67,55.0,,30.36
23,4961.941,32.01,30.79,55.0,,30.31
24,4962.091,33.1,31.02,55.0,,30.23
25,4962.241,34.4,31.34,55.0,,30.15
26,4962.392,36.1,31.8,55.0,,30.07
27,4962.541,37.25,32.31,55.0,,30.03
28,4962.691,39.19,32.94,55.0,,29.94
29,4962.842,40.9,33.65,55.0,,29.86
30,4962.991,42.1,34.38,55.0,,29.8
31,4963.141,44.68,35.28,55.0,,29.71
32,4963.291,45.77,36.16,55.0,,29.67
33,4963.445,47.69,37.07,55.0,,29.59
34,4963.591,49.45,38.03,55.0,,29.52
35,4963.741,51.32,39.04,55.0,,29.48
36,4963.891,52.96,40.06,55.0,,29.43
37,4964.041,53.96,41.05,55.0,,29.39
38,4964.191,55.65,42.03,55.0,,29.32
39,4964.341,57.75,43.11,55.0,,29.25
40,4964.491,58.79,44.1,55.0,,29.22
41,4964.641,60.5,45.13,55.0,,29.17
42,4964.791,61.98,46.16,55.0,40.29,29.12
43,4964.941,63.58,47.21,55.0,,29.09
44,4965.091,64.91,48.24,55.0,,29.05
45,4965.246,66.18,49.25,55.0,,29.01
46,4965.396,67.82,50.3,55.0,44.74,28.98
47,4982.997,,,,49.37,
48,4965.546,68.95,51.31,55.0,,28.95
49,4965.696,69.84,52.27,55.0,,28.96
50,4965.846,70.4,53.15,55.0,,29.08
51,4965.996,70.3,53.9,55.0,52.85,29.22
52,4966.148,69.9,54.5,55.0,,29.39
53,4966.298,68.98,54.93,55.0,,29.65
54,4966.447,68.11,55.22,55.0,,29.87
55,4966.615,67.05,55.36,55.0,,30.1
56,4966.765,65.81,55.38,55.0,,30.36
57,4966.91,64.49,55.26,55.0,,30.61
58,4989.692,,,,57.29,
59,4967.06,63.76,55.1,55.0,,30.72
60,4990.805,,,,58.45,
61,4967.21,63.26,54.95,55.0,58.48,30.81
62,4967.36,62.87,54.8,55.0,,30.88
63,4967.511,62.7,54.69,55.0,,30.92
64,4967.66,62.59,54.61,55.0,,30.94
65,4967.81,62.49,54.56,55.0,59.73,30.95
66,4967.96,62.42,54.53,55.0,,30.96
67,4968.11,62.35,54.53,55.0,,30.98
68,4968.261,62.26,54.54,55.0,,30.98
69,4968.41,62.19,54.56,55.0,57.6,30.99
70,4968.561,62.11,54.59,55.0,,30.99
71,4968.711,61.99,54.62,55.0,,31.0
72,4968.86,61.87,54.66,55.0,,31.0
73,4969.01,61.76,54.69,55.0,57.86,31.0
74,4969.161,61.61,54.72,55.0,,31.0
75,4969.31,61.5,54.75,55.0,,31.0
76,4969.464,61.39,54.79,55.0,,30.99
77,4969.611,61.22,54.81,55.0,,31.0
78,4969.76,61.09,54.84,55.0,56.8,30.98
79,4969.91,60.97,54.86,55.0,,30.99
80,4970.06,60.82,54.88,55.0,,30.99
81,4970.211,60.69,54.89,55.0,,30.99
82,4970.36,60.57,54.91,55.0,56.76,30.98
83,4970.51,60.42,54.92,55.0,,30.98
84,4970.661,60.3,54.93,55.0,,30.98
85,4970.811,60.18,54.94,55.0,,30.98
86,4970.96,60.05,54.95,55.0,56.12,30.98
87,4971.11,59.95,54.96,55.0,,30.98
88,4971.26,59.85,54.97,55.0,,30.98
89,4971.41,59.72,54.98,55.0,,30.99
90,4971.56,59.63,54.98,55.0,56.0,30.98
91,4971.71,59.54,54.99,55.0,,30.98
92,4971.861,59.41,55.0,55.0,,30.98
93,5010.808,,,,55.65,
94,4972.01,59.32,55.0,55.0,,30.98
95,4972.161,59.24,55.01,55.0,55.48,30.98
96,4972.31,59.12,55.01,55.0,,30.98
97,4972.46,59.03,55.01,55.0,,30.98
98,4972.61,58.94,55.02,55.0,,30.98
99,4972.76,58.83,55.02,55.0,55.13,30.98
100,4972.91,58.75,55.02,55.0,,30.97
101,4973.061,58.66,55.02,55.0,,30.98
102,4973.21,58.58,55.02,55.0,,30.97
103,4973.361,58.52,55.02,55.0,55.04,30.99
104,4973.511,58.44,55.03,55.0,,30.98
