,timeSineBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,7926.768,,,,30.03,
1,7926.826,,,,30.09,
2,7927.44,,,,30.14,
3,7927.998,,,,30.23,
4,7928.691,,,,30.26,
5,7928.905,,,,30.32,
6,7929.937,,,,30.31,
7,7930.573,,,,30.39,
8,7931.139,,,,30.78,
9,7931.738,,,,31.72,
10,7932.35,,,,33.42,
11,7932.955,,,,35.53,
12,7930.1,33.2,33.23,90.0,,32.75
13,7930.3,33.2,33.23,90.0,,32.75
14,7930.446,33.25,33.23,90.0,,32.74
15,7930.596,33.44,33.27,90.0,,32.74
16,7930.751,34.1,33.42,90.0,,32.7
17,7936.531,,,,38.09,
18,7930.896,35.22,33.73,90.0,,32.65
19,7931.047,36.29,34.12,90.0,,32.6
20,7931.202,38.1,34.75,90.0,,32.53
21,7931.352,38.84,35.27,90.0,,32.5
22,7931.505,41.1,36.07,90.0,,32.42
23,7931.652,42.41,36.86,90.0,,32.37
24,7931.81,44.6,37.78,90.0,,32.3
25,7931.952,46.11,38.7,90.0,,32.24
26,7932.103,48.32,39.71,90.0,,32.17
27,7932.252,49.73,40.71,90.0,,32.12
28,7932.402,51.81,41.71,90.0,,32.06
29,7932.552,53.15,42.6,90.0,,32.02
30,7932.702,54.55,43.56,90.0,,31.98
31,7932.852,56.7,44.56,90.0,,31.92
32,7933.002,58.16,45.52,90.0,,31.88
33,7933.152,60.24,46.58,90.0,,31.82
34,7933.302,61.53,47.52,90.0,,31.78
35,7933.452,63.76,48.64,90.0,42.04,31.71
36,7933.602,65.17,49.68,90.0,,31.67
37,7933.752,66.54,50.66,90.0,,31.63
38,7933.902,68.34,51.68,90.0,,31.58
39,7949.809,,,,49.16,
40,7934.052,69.65,52.65,90.0,,31.54
41,7934.202,70.94,53.59,90.0,60.38,31.52
42,7934.352,72.65,54.57,90.0,,31.46
43,7934.502,73.9,55.52,90.0,,31.43
44,7934.652,75.13,56.43,90.0,79.31,31.41
45,7934.803,76.73,57.4,90.0,,31.37
46,7934.953,77.9,58.32,90.0,,31.35
47,7935.103,79.05,59.21,90.0,,31.32
48,7935.253,80.58,60.15,90.0,86.36,31.3
49,7935.403,81.68,61.05,90.0,,31.28
50,7956.442,,,,90.91,
51,7935.553,82.78,61.92,90.0,,31.26
52,7935.703,84.2,62.84,90.0,,31.24
53,7935.853,85.22,63.72,90.0,94.82,31.22
54,7936.003,86.24,64.56,90.0,,31.2
55,7936.153,87.6,65.45,90.0,,31.18
56,7936.303,88.58,66.31,90.0,,31.17
57,7936.453,89.55,67.14,90.0,,31.16
58,7936.603,90.85,68.01,90.0,,31.14
59,7936.753,91.8,68.86,90.0,,31.13
