timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
2291.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2293.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.398,28,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.547,28,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.697,28.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.847,28.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2294.997,28.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.158,28.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.298,28.2,,90,,,,26.95,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.448,28.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.598,28.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.748,28.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295.897,28.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.047,28.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.208,28.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.319,,,,,,,27.09,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.347,28.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.497,29.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.647,29.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.797,29.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296.947,30,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.097,30.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.247,30.8,,90,,,,27.05,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.397,31.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.547,31.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.697,32.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.847,32.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2297.997,33.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.147,33.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.297,34.2,,90,,,,27.01,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.447,34.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.597,35.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.747,35.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2298.897,36.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.047,36.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.197,37.4,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.347,38,,90,,,,26.99,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.497,38.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.647,39.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.797,39.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299.947,40.2,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.097,40.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.247,41.4,,90,,,,27.02,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.397,41.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.547,42.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.697,43.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.847,43.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300.997,44.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.147,44.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.297,45.4,,90,,,,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.447,45.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.597,46.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.747,47,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301.897,47.6,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.047,48.3,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.197,48.8,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.347,49.3,,90,,,,27.28,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.497,49.9,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.647,50.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.797,51,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2302.947,51.5,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303.097,52.1,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303.247,52.7,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
