timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
208.99,23.29,24,0,62,27.02,22.15,29.43
209.14,23.29,24,0,62,,22.15,
209.14,23.29,24,0,62,,22.15,
209.14,23.29,24,0,62,,22.15,
209.14,23.29,24,0,62,,22.15,
209.14,23.29,24,0,62,,22.15,
209.29,23.45,24,0,62,,22.14,
209.29,23.45,24,0,62,,22.14,
209.29,23.45,24,0,62,,22.14,
209.29,23.45,24,0,62,,22.14,
209.29,23.45,24,0,62,,22.14,
209.44,23.82,24,0,62,,22.13,
209.44,23.82,24,0,62,,22.13,
209.44,23.82,24,0,62,,22.13,
209.44,23.82,24,0,62,,22.13,
209.44,23.82,24,0,62,,22.13,
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.59,24.42,24,0,62,26.94,22.11,29.4
209.74,25.55,24,0,62,,22.07,
209.74,25.55,24,0,62,,22.07,
209.74,25.55,24,0,62,,22.07,
209.74,25.55,24,0,62,,22.07,
209.74,25.55,24,0,62,,22.07,
209.89,26.53,24,0,62,,22.02,
209.89,26.53,24,0,62,,22.02,
209.89,26.53,24,0,62,,22.02,
209.89,26.53,24,0,62,,22.02,
209.89,26.53,24,0,62,,22.02,
210.04,27.6,24,0,62,,21.98,
210.04,27.6,24,0,62,,21.98,
210.04,27.6,24,0,62,,21.98,
210.04,27.6,24,0,62,,21.98,
210.04,27.6,24,0,62,,21.98,
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.19,29.1,24,0,62,26.89,21.92,29.26
210.34,30.26,24,0,62,,21.87,
210.34,30.26,24,0,62,,21.87,
210.34,30.26,24,0,62,,21.87,
210.34,30.26,24,0,62,,21.87,
210.34,30.26,24,0,62,,21.87,
210.49,31.44,24,0,62,,21.81,
210.49,31.44,24,0,62,,21.81,
210.49,31.44,24,0,62,,21.81,
210.49,31.44,24,0,62,,21.81,
210.49,31.44,24,0,62,,21.81,
210.64,33,24,0,62,,21.74,
210.64,33,24,0,62,,21.74,
210.64,33,24,0,62,,21.74,
210.64,33,24,0,62,,21.74,
210.64,33,24,0,62,,21.74,
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.79,34.19,24,0,62,26.85,21.69,29.27
210.94,35.35,24,0,62,,21.63,
210.94,35.35,24,0,62,,21.63,
210.94,35.35,24,0,62,,21.63,
210.94,35.35,24,0,62,,21.63,
210.94,35.35,24,0,62,,21.63,
211.09,36.89,24,0,62,,21.56,
211.09,36.89,24,0,62,,21.56,
211.09,36.89,24,0,62,,21.56,
211.09,36.89,24,0,62,,21.56,
211.09,36.89,24,0,62,,21.56,
211.24,38.03,24,0,62,,21.5,
211.24,38.03,24,0,62,,21.5,
211.24,38.03,24,0,62,,21.5,
211.24,38.03,24,0,62,,21.5,
211.24,38.03,24,0,62,,21.5,
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.39,39.15,24,0,62,26.79,21.46,29.2
211.54,40.62,24,0,62,,21.39,
211.54,40.62,24,0,62,,21.39,
211.54,40.62,24,0,62,,21.39,
211.54,40.62,24,0,62,,21.39,
211.54,40.62,24,0,62,,21.39,
211.69,41.71,24,0,62,,21.34,
211.69,41.71,24,0,62,,21.34,
211.69,41.71,24,0,62,,21.34,
211.69,41.71,24,0,62,,21.34,
211.69,41.71,24,0,62,,21.34,
211.84,42.78,24,0,62,,21.29,
211.84,42.78,24,0,62,,21.29,
211.84,42.78,24,0,62,,21.29,
211.84,42.78,24,0,62,,21.29,
211.84,42.78,24,0,62,,21.29,
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
211.99,44.18,24,0,62,26.81,21.21,29.2
212.14,45.23,24,0,62,,21.17,
212.14,45.23,24,0,62,,21.17,
212.14,45.23,24,0,62,,21.17,
212.14,45.23,24,0,62,,21.17,
212.14,45.23,24,0,62,,21.17,
212.29,46.25,24,0,62,,21.12,
212.29,46.25,24,0,62,,21.12,
212.29,46.25,24,0,62,,21.12,
212.29,46.25,24,0,62,,21.12,
212.29,46.25,24,0,62,,21.12,
212.44,47.27,24,0,62,,21.07,
212.44,47.27,24,0,62,,21.07,
212.44,47.27,24,0,62,,21.07,
212.44,47.27,24,0,62,,21.07,
212.44,47.27,24,0,62,,21.07,
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.59,48.57,24,0,62,26.86,21.01,29.2
212.74,49.56,24,0,62,,20.96,
212.74,49.56,24,0,62,,20.96,
212.74,49.56,24,0,62,,20.96,
212.74,49.56,24,0,62,,20.96,
212.74,49.56,24,0,62,,20.96,
212.89,50.52,24,0,62,,20.91,
212.89,50.52,24,0,62,,20.91,
212.89,50.52,24,0,62,,20.91,
212.89,50.52,24,0,62,,20.91,
212.89,50.52,24,0,62,,20.91,
213.04,51.76,24,0,62,,20.86,
213.04,51.76,24,0,62,,20.86,
213.04,51.76,24,0,62,,20.86,
213.04,51.76,24,0,62,,20.86,
213.04,51.76,24,0,62,,20.86,
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.19,52.68,24,0,62,26.86,20.81,29.23
213.34,53.59,24,0,62,,20.77,
213.34,53.59,24,0,62,,20.77,
213.34,53.59,24,0,62,,20.77,
213.34,53.59,24,0,62,,20.77,
213.34,53.59,24,0,62,,20.77,
213.49,54.79,24,0,62,,20.72,
213.49,54.79,24,0,62,,20.72,
213.49,54.79,24,0,62,,20.72,
213.49,54.79,24,0,62,,20.72,
213.49,54.79,24,0,62,,20.72,
213.64,55.67,24,0,62,,20.67,
213.64,55.67,24,0,62,,20.67,
213.64,55.67,24,0,62,,20.67,
213.64,55.67,24,0,62,,20.67,
213.64,55.67,24,0,62,,20.67,
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.79,56.52,24,0,62,26.7,20.64,29.13
213.94,57.66,24.03,0,62,,20.58,
213.94,57.66,24.03,0,62,,20.58,
213.94,57.66,24.03,0,62,,20.58,
213.94,57.66,24.03,0,62,,20.58,
213.94,57.66,24.03,0,62,,20.58,
214.09,58.49,24.14,0,62,,20.55,
214.09,58.49,24.14,0,62,,20.55,
214.09,58.49,24.14,0,62,,20.55,
214.09,58.49,24.14,0,62,,20.55,
214.09,58.49,24.14,0,62,,20.55,
214.24,59.32,24.25,0,62,,20.51,
214.24,59.32,24.25,0,62,,20.51,
214.24,59.32,24.25,0,62,,20.51,
214.24,59.32,24.25,0,62,,20.51,
214.24,59.32,24.25,0,62,,20.51,
214.39,60.4,24.38,0,62,,20.45,
214.39,60.4,24.38,0,62,,20.45,
214.39,60.4,24.38,0,62,,20.45,
214.39,60.4,24.38,0,62,,20.45,
214.39,60.4,24.38,0,62,,20.45,
214.454,,,,,26.72,,29.05
214.454,,,,,26.72,,29.05
214.54,61.19,24.5,0,62,,20.42,
214.54,61.19,24.5,0,62,,20.42,
214.54,61.19,24.5,0,62,,20.42,
214.54,61.19,24.5,0,62,,20.42,
214.54,61.19,24.5,0,62,,20.42,
214.69,61.97,24.63,0,62,,20.39,
214.69,61.97,24.63,0,62,,20.39,
214.69,61.97,24.63,0,62,,20.39,
214.69,61.97,24.63,0,62,,20.39,
214.69,61.97,24.63,0,62,,20.39,
214.84,62.98,24.77,0,62,,20.33,
214.84,62.98,24.77,0,62,,20.33,
214.84,62.98,24.77,0,62,,20.33,
214.84,62.98,24.77,0,62,,20.33,
214.84,62.98,24.77,0,62,,20.33,
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
214.99,63.73,24.91,0,62,26.83,20.3,29.09
215.14,64.48,25.05,0,62,,20.27,
215.14,64.48,25.05,0,62,,20.27,
215.14,64.48,25.05,0,62,,20.27,
215.14,64.48,25.05,0,62,,20.27,
215.14,64.48,25.05,0,62,,20.27,
215.29,65.47,25.2,0,62,,20.23,
215.29,65.47,25.2,0,62,,20.23,
215.29,65.47,25.2,0,62,,20.23,
215.29,65.47,25.2,0,62,,20.23,
215.29,65.47,25.2,0,62,,20.23,
215.44,66.17,25.36,0,62,,20.19,
215.44,66.17,25.36,0,62,,20.19,
215.44,66.17,25.36,0,62,,20.19,
215.44,66.17,25.36,0,62,,20.19,
215.44,66.17,25.36,0,62,,20.19,
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.59,66.89,25.51,0,62,26.89,20.16,29.09
215.74,67.81,25.68,0,62,,20.12,
215.74,67.81,25.68,0,62,,20.12,
215.74,67.81,25.68,0,62,,20.12,
215.74,67.81,25.68,0,62,,20.12,
215.74,67.81,25.68,0,62,,20.12,
215.89,68.47,25.85,0,62,,20.1,
215.89,68.47,25.85,0,62,,20.1,
215.89,68.47,25.85,0,62,,20.1,
215.89,68.47,25.85,0,62,,20.1,
215.89,68.47,25.85,0,62,,20.1,
216.04,69.13,26.01,0,62,,20.07,
216.04,69.13,26.01,0,62,,20.07,
216.04,69.13,26.01,0,62,,20.07,
216.04,69.13,26.01,0,62,,20.07,
216.04,69.13,26.01,0,62,,20.07,
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.19,70.01,26.2,0,62,27.22,20.03,29.08
216.34,70.66,26.37,0,62,,19.99,
216.34,70.66,26.37,0,62,,19.99,
216.34,70.66,26.37,0,62,,19.99,
216.34,70.66,26.37,0,62,,19.99,
216.34,70.66,26.37,0,62,,19.99,
216.49,71.3,26.55,0,62,,19.97,
216.49,71.3,26.55,0,62,,19.97,
216.49,71.3,26.55,0,62,,19.97,
216.49,71.3,26.55,0,62,,19.97,
216.49,71.3,26.55,0,62,,19.97,
216.64,72.14,26.75,0,62,,19.95,
216.64,72.14,26.75,0,62,,19.95,
216.64,72.14,26.75,0,62,,19.95,
216.64,72.14,26.75,0,62,,19.95,
216.64,72.14,26.75,0,62,,19.95,
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.79,72.77,26.93,0,62,27.65,19.92,29.15
216.94,73.37,27.12,0,62,,19.9,
216.94,73.37,27.12,0,62,,19.9,
216.94,73.37,27.12,0,62,,19.9,
216.94,73.37,27.12,0,62,,19.9,
216.94,73.37,27.12,0,62,,19.9,
217.09,74.16,27.33,0,62,,19.88,
217.09,74.16,27.33,0,62,,19.88,
217.09,74.16,27.33,0,62,,19.88,
217.09,74.16,27.33,0,62,,19.88,
217.09,74.16,27.33,0,62,,19.88,
217.24,74.73,27.52,0,62,,19.85,
217.24,74.73,27.52,0,62,,19.85,
217.24,74.73,27.52,0,62,,19.85,
217.24,74.73,27.52,0,62,,19.85,
217.24,74.73,27.52,0,62,,19.85,
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.39,75.31,27.72,0,62,28.54,19.83,29.12
217.54,76.07,27.94,0,62,,19.8,
217.54,76.07,27.94,0,62,,19.8,
217.54,76.07,27.94,0,62,,19.8,
217.54,76.07,27.94,0,62,,19.8,
217.54,76.07,27.94,0,62,,19.8,
217.69,76.62,28.14,0,62,,19.78,
217.69,76.62,28.14,0,62,,19.78,
217.69,76.62,28.14,0,62,,19.78,
217.69,76.62,28.14,0,62,,19.78,
217.69,76.62,28.14,0,62,,19.78,
