,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
0,14059.684,43.93,43.65,55.0,,44.0
1,14059.815,43.96,43.65,55.0,,44.0
2,14059.964,43.96,43.65,55.0,,43.99
3,14060.044,,,,39.52,
4,14060.115,44.21,43.67,55.0,,43.99
5,14060.264,44.75,43.74,55.0,,43.96
6,14060.415,45.64,43.89,55.0,,43.91
7,14060.565,46.71,44.13,55.0,,43.88
8,14060.6,,,,39.96,
9,14060.714,48.07,44.47,55.0,,43.82
10,14060.871,49.54,44.91,55.0,,43.76
11,14061.02,51.15,45.47,55.0,,43.71
12,14061.17,52.75,46.11,55.0,,43.66
13,14061.17,,,,45.47,
14,14061.32,54.49,46.82,55.0,,43.6
15,14061.469,56.21,47.59,55.0,,43.54
16,14061.625,57.91,48.43,55.0,,43.48
17,14061.776,59.78,49.32,55.0,,43.43
18,14061.776,,,,45.84,
19,14061.926,61.47,50.26,55.0,,43.37
20,14062.076,62.97,51.21,55.0,,43.32
21,14062.226,64.04,52.13,55.0,,43.31
22,14062.376,64.6,52.97,55.0,,43.34
23,14062.376,,,,47.0,
24,14062.526,64.75,53.7,55.0,,43.43
25,14062.677,64.55,54.29,55.0,,43.5
26,14062.828,64.21,54.75,55.0,,43.65
27,14062.978,63.57,55.08,55.0,,43.74
28,14062.978,,,,46.46,
29,14063.123,62.8,55.27,55.0,,43.88
30,14063.273,61.96,55.36,55.0,,44.05
31,14063.421,61.1,55.35,55.0,,44.2
32,14063.569,60.3,55.27,55.0,,44.37
33,14063.569,,,,47.65,
34,14063.718,59.79,55.15,55.0,,44.49
35,14063.868,59.45,55.03,55.0,,44.57
36,14064.018,59.26,54.92,55.0,,44.64
37,14064.168,59.14,54.83,55.0,,44.72
38,14064.168,,,,47.38,
39,14064.319,59.08,54.77,55.0,,44.75
40,14064.468,59.05,54.72,55.0,,44.78
41,14064.62,59.05,54.7,55.0,,44.79
42,14064.768,59.03,54.69,55.0,,44.83
43,14064.768,,,,49.1,
44,14064.919,59.02,54.7,55.0,,44.85
45,14065.07,59.02,54.71,55.0,,44.86
46,14065.219,59.0,54.73,55.0,,44.86
47,14065.37,58.96,54.75,55.0,,44.86
48,14065.37,,,,52.25,
49,14065.52,58.92,54.78,55.0,,44.85
50,14065.671,58.89,54.81,55.0,,44.87
51,14065.819,58.83,54.83,55.0,,44.85
52,14065.97,58.8,54.86,55.0,,44.86
53,14065.97,,,,54.55,
54,14066.12,58.74,54.89,55.0,,44.89
55,14066.269,58.66,54.91,55.0,,44.85
56,14066.418,58.62,54.93,55.0,,44.86
57,14066.568,58.51,54.95,55.0,,44.83
58,14066.603,,,,54.52,
59,14066.719,58.43,54.96,55.0,,44.84
60,14066.868,58.36,54.97,55.0,,44.84
61,14067.018,58.28,54.98,55.0,,44.83
62,14067.168,58.22,54.99,55.0,,44.83
63,14067.168,,,,54.61,
64,14067.319,58.14,55.0,55.0,,44.83
65,14067.47,58.07,55.0,55.0,,44.82
66,14067.619,57.99,55.0,55.0,,44.82
67,14067.769,57.93,55.0,55.0,,44.82
68,14067.82,,,,56.93,
69,14067.921,57.85,55.01,55.0,,44.81
70,14068.069,57.78,55.0,55.0,,44.8
71,14068.219,57.73,55.01,55.0,,44.81
72,14068.368,57.65,55.0,55.0,,44.8
73,14068.368,,,,54.42,
74,14068.518,57.6,55.0,55.0,,44.79
75,14068.668,57.53,55.0,55.0,,44.8
76,14068.818,57.49,55.0,55.0,,44.78
77,14068.969,57.42,55.0,55.0,,44.79
78,14068.969,,,,57.02,
79,14069.118,57.37,55.0,55.0,,44.78
80,14069.269,57.32,54.99,55.0,,44.79
81,14069.419,57.26,54.99,55.0,,44.78
82,14069.569,57.23,54.99,55.0,,44.77
83,14069.569,,,,54.3,
84,14069.72,57.18,54.99,55.0,,44.77
85,14069.869,57.14,54.99,55.0,,44.77
86,14070.018,57.09,54.99,55.0,,44.75
87,14070.168,57.06,54.99,55.0,,44.75
88,14070.168,,,,55.32,
89,14070.32,57.01,54.99,55.0,,44.74
90,14070.468,56.98,54.99,55.0,,44.75
91,14070.62,56.94,54.99,55.0,,44.75
92,14070.77,56.9,54.99,55.0,,44.74
93,14070.77,,,,54.03,
94,14070.921,56.88,54.99,55.0,,44.74
95,14071.068,56.83,54.99,55.0,,44.73
96,14071.218,56.81,54.99,55.0,,44.73
97,14071.37,56.78,55.0,55.0,,44.73
98,14071.37,,,,54.53,
99,14071.518,56.75,55.0,55.0,,44.72
100,14071.67,56.73,55.0,55.0,,44.72
101,14071.819,56.69,55.0,55.0,,44.73
102,14071.968,56.66,55.0,55.0,,44.71
103,14071.968,,,,53.92,
104,14072.119,56.62,55.0,55.0,,44.7
105,14072.271,56.61,55.0,55.0,,44.71
106,14072.421,56.58,55.0,55.0,,44.7
107,14072.571,56.56,55.0,55.0,,44.68
108,14072.571,,,,54.12,
109,14072.72,56.55,55.01,55.0,,44.7
110,14072.869,56.53,55.01,55.0,,44.69
111,14073.019,56.5,55.01,55.0,,44.69
112,14073.17,56.49,55.01,55.0,,44.68
113,14073.17,,,,53.78,
