,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,2549955.0,28.97,24.0,62.0,,29.41
1,2550110.0,28.96,24.0,62.0,,29.4
2,2550.11,,,,24.76,
3,2550255.0,29.06,24.0,62.0,,29.39
4,2550405.0,29.36,24.0,62.0,,29.38
5,2550560.0,29.89,24.0,62.0,,29.36
6,2550705.0,30.87,24.0,62.0,,29.3
7,2550.705,,,,24.77,
8,2550855.0,31.77,24.0,62.0,,29.25
9,2551010.0,32.77,24.0,62.0,,29.19
10,2551155.0,34.21,24.0,62.0,,29.12
11,2551305.0,35.35,24.0,62.0,,29.05
12,2551.305,,,,24.81,
13,2551460.0,36.51,24.0,62.0,,28.99
14,2551606.0,38.08,24.0,62.0,,28.91
15,2551755.0,39.28,24.0,62.0,,28.85
16,2551910.0,40.46,24.0,62.0,,28.79
17,2552056.0,42.03,24.0,62.0,,28.71
18,2552.056,,,,24.82,
19,2552206.0,43.21,24.0,62.0,,28.65
20,2552360.0,44.38,24.0,62.0,,28.6
21,2552508.0,45.95,24.0,62.0,,28.52
22,2552.508,,,,24.86,
23,2552656.0,47.11,24.0,62.0,,28.46
24,2552806.0,48.24,24.0,62.0,,28.4
25,2552959.0,49.73,24.0,62.0,,28.32
26,2553107.0,50.83,24.0,62.0,,28.27
27,2553.129,,,,24.88,
28,2553257.0,51.92,24.0,62.0,,28.21
29,2553410.0,53.34,24.0,62.0,,28.14
30,2553558.0,54.39,24.0,62.0,,28.09
31,2553708.0,55.43,24.0,62.0,,28.04
32,2553.708,,,,24.86,
33,2553861.0,56.77,24.0,62.0,,27.98
34,2554010.0,57.78,24.0,62.0,,27.93
35,2554160.0,58.76,24.0,62.0,,27.89
36,2554312.0,60.06,24.0,62.0,,27.83
37,2554.312,,,,24.92,
38,2554460.0,61.0,24.0,62.0,,27.79
39,2554611.0,61.94,24.0,62.0,,27.74
40,2554763.0,63.15,24.0,62.0,,27.67
41,2554912.0,64.05,24.05,62.0,,27.64
42,2555062.0,64.93,24.18,62.0,,27.6
43,2555.062,,,,25.04,
44,2555214.0,66.11,24.32,62.0,,27.54
45,2555362.0,66.97,24.46,62.0,,27.5
46,2555513.0,67.8,24.6,62.0,,27.47
47,2555.513,,,,26.19,
48,2555665.0,68.89,24.76,62.0,,27.41
49,2555814.0,69.69,24.92,62.0,,27.37
50,2555964.0,70.49,25.09,62.0,,27.34
51,2556116.0,71.54,25.26,62.0,,27.29
52,2556.116,,,,27.48,
53,2556265.0,72.33,25.44,62.0,,27.26
54,2556415.0,73.07,25.61,62.0,,27.23
55,2556567.0,74.07,25.81,62.0,,27.19
56,2556716.0,74.8,25.99,62.0,,27.15
57,2556.716,,,,28.01,
58,2556866.0,75.51,26.19,62.0,,27.12
59,2557018.0,76.44,26.39,62.0,,27.09
60,2557167.0,77.11,26.59,62.0,,27.05
