,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,3104.312,27.85,24.0,62.0,,27.93
1,3104.462,27.86,24.0,62.0,,27.92
2,3104.462,,,,23.64,
3,3104.612,27.87,24.0,62.0,,27.92
4,3104.762,28.09,24.0,62.0,,27.9
5,3104.912,28.49,24.0,62.0,,27.87
6,3105.062,29.09,24.0,62.0,,27.82
7,3105.062,,,,23.74,
8,3105.212,30.17,24.0,62.0,,27.76
9,3105.362,31.14,24.0,62.0,,27.69
10,3105.512,32.18,24.0,62.0,,27.62
11,3105.662,33.67,24.0,62.0,,27.54
12,3105.662,,,,23.75,
13,3105.812,34.84,24.0,62.0,,27.48
14,3105.962,36.02,24.0,62.0,,27.41
15,3106.112,37.62,24.0,62.0,,27.32
16,3106.262,38.82,24.0,62.0,,27.26
17,3106.262,,,,23.64,
18,3106.413,40.02,24.0,62.0,,27.19
19,3106.562,41.62,24.0,62.0,,27.1
20,3106.712,42.78,24.0,62.0,,27.05
21,3106.862,43.95,24.0,62.0,,26.99
22,3106.862,,,,23.72,
23,3107.012,45.49,24.0,62.0,,26.91
24,3107.162,46.62,24.0,62.0,,26.85
25,3107.312,47.74,24.0,62.0,,26.79
26,3107.462,49.22,24.0,62.0,,26.72
27,3107.462,,,,23.64,
28,3107.613,50.32,24.0,62.0,,26.66
29,3107.762,51.38,24.0,62.0,,26.61
30,3107.912,52.8,24.0,62.0,,26.53
31,3108.062,53.86,24.0,62.0,,26.48
32,3108.062,,,,23.67,
33,3108.212,54.88,24.0,62.0,,26.44
34,3108.362,56.24,24.0,62.0,,26.37
35,3108.512,57.24,24.0,62.0,,26.32
36,3108.662,58.22,24.0,62.0,,26.28
37,3108.662,,,,23.7,
38,3108.812,59.52,24.0,62.0,,26.22
39,3108.962,60.48,24.0,62.0,,26.18
40,3109.112,61.4,24.0,62.0,,26.14
41,3109.262,62.63,24.0,62.0,,26.09
42,3109.262,,,,23.66,
43,3109.412,63.54,24.12,62.0,,26.04
44,3109.562,64.41,24.25,62.0,,26.01
45,3109.712,65.61,24.39,62.0,,25.96
46,3109.825,,,,23.72,
47,3109.863,66.47,24.53,62.0,,25.92
48,3110.012,67.32,24.68,62.0,,25.89
49,3110.162,68.44,24.84,62.0,,25.84
50,3110.326,69.26,25.0,62.0,,25.81
51,3110.326,,,,23.7,
52,3110.488,70.19,25.19,62.0,,25.77
53,3110.638,71.1,25.36,62.0,,25.73
54,3110.788,72.16,25.55,62.0,,25.69
55,3110.938,72.95,25.73,62.0,,25.67
56,3110.992,,,,23.68,
57,3111.088,73.93,25.92,62.0,,25.62
58,3111.238,74.67,26.11,62.0,,25.59
59,3111.388,75.42,26.3,62.0,,25.56
60,3111.538,76.37,26.51,62.0,,25.53
61,3111.538,,,,23.59,
62,3111.688,77.09,26.72,62.0,,25.51
63,3111.838,77.78,26.92,62.0,,25.49
64,3111.988,78.71,27.14,62.0,,25.46
65,3112.139,79.41,27.36,62.0,,25.44
66,3112.139,,,,23.67,
67,3112.288,80.06,27.57,62.0,,25.42
68,3112.439,80.99,27.81,62.0,,25.4
69,3112.589,81.63,28.04,62.0,,25.38
70,3112.739,82.25,28.26,62.0,,25.36
71,3112.739,,,,24.16,
72,3112.889,83.11,28.51,62.0,,25.34
73,3113.039,83.73,28.75,62.0,,25.33
74,3113.189,84.36,28.98,62.0,,25.31
75,3113.339,85.16,29.24,62.0,,25.29
76,3113.339,,,,25.19,
77,3113.489,85.75,29.48,62.0,,25.28
78,3113.639,86.33,29.73,62.0,,25.26
79,3113.789,87.1,30.0,62.0,,25.23
80,3113.939,87.67,30.25,62.0,,25.22
81,3113.939,,,,26.27,
82,3114.089,88.27,30.5,62.0,,25.21
83,3114.239,88.96,30.77,62.0,,25.19
84,3114.389,89.51,31.03,62.0,,25.18
85,3114.539,90.07,31.29,62.0,,25.17
86,3114.539,,,,28.58,
87,3114.689,90.77,31.58,62.0,,25.16
88,3114.838,91.32,31.84,62.0,,25.15
89,3114.988,91.8,32.1,62.0,,25.14
90,3115.14,92.5,32.4,62.0,,25.13
91,3115.14,,,,29.38,
92,3115.29,93.01,32.67,62.0,,25.12
93,3115.441,93.5,32.94,62.0,,25.12
94,3115.589,94.16,33.24,62.0,,25.12
95,3115.738,94.66,33.52,62.0,,25.11
96,3115.738,,,,29.5,
97,3115.888,95.12,33.79,62.0,,25.1
98,3116.039,95.72,34.09,62.0,,25.1
99,3116.188,96.15,34.36,62.0,,25.1
