,timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink
0,8732.855,34.3,24.0,62.0,,34.64
1,8733.005,34.3,24.0,62.0,,34.64
2,8733.155,34.33,24.0,62.0,,34.63
3,8733.305,34.52,24.0,62.0,,34.61
4,8733.305,,,,29.16,
5,8733.455,34.9,24.0,62.0,,34.58
6,8733.605,35.74,24.0,62.0,,34.52
7,8733.755,36.57,24.0,62.0,,34.46
8,8733.905,37.54,24.0,62.0,,34.4
9,8734.055,38.95,24.0,62.0,,34.32
10,8734.205,40.1,24.0,62.0,,34.26
11,8734.355,41.27,24.0,62.0,,34.19
12,8734.505,42.85,24.0,62.0,,34.1
13,8734.655,44.05,24.0,62.0,,34.04
14,8734.805,45.25,24.0,62.0,,33.97
15,8734.956,46.85,24.0,62.0,,33.88
16,8735.105,48.03,24.0,62.0,,33.81
17,8735.105,,,,29.28,
18,8735.255,49.21,24.0,62.0,,33.74
19,8735.405,50.77,24.0,62.0,,33.67
20,8735.555,51.91,24.0,62.0,,33.61
21,8735.705,53.04,24.0,62.0,,33.54
22,8735.705,,,,29.25,
23,8735.855,54.54,24.0,62.0,,33.47
24,8736.005,55.64,24.0,62.0,,33.41
25,8736.156,56.72,24.0,62.0,,33.37
26,8736.305,58.13,24.0,62.0,,33.28
27,8736.305,,,,29.28,
28,8736.455,59.2,24.0,62.0,,33.22
29,8736.605,60.24,24.0,62.0,,33.17
30,8736.755,61.61,24.0,62.0,,33.1
31,8736.91,62.61,24.0,62.0,,33.05
32,8736.91,,,,29.31,
33,8737.055,63.58,24.0,62.0,,33.01
34,8737.205,64.85,24.0,62.0,,32.94
35,8737.355,65.81,24.0,62.0,,32.9
36,8737.505,66.75,24.0,62.0,,32.84
37,8737.505,,,,29.38,
38,8737.656,67.99,24.0,62.0,,32.8
39,8737.806,68.89,24.0,62.0,,32.75
40,8737.956,69.77,24.15,62.0,,32.71
41,8738.106,70.95,24.3,62.0,,32.66
42,8738.106,,,,29.44,
43,8738.256,71.82,24.46,62.0,,32.61
44,8738.407,72.66,24.62,62.0,,32.58
45,8738.556,73.75,24.8,62.0,,32.53
46,8738.706,74.59,24.97,62.0,,32.49
47,8738.706,,,,29.51,
48,8738.856,75.4,25.15,62.0,,32.46
49,8739.006,76.43,25.34,62.0,,32.41
50,8739.156,77.21,25.54,62.0,,32.37
51,8739.306,77.98,25.73,62.0,,32.34
52,8739.306,,,,29.67,
53,8739.456,78.99,25.94,62.0,,32.3
54,8739.606,79.72,26.14,62.0,,32.26
55,8739.755,80.46,26.35,62.0,,32.24
56,8739.755,,,,31.96,
57,8739.966,81.43,26.58,62.0,,32.2
58,8740.094,82.22,26.85,62.0,,32.17
59,8740.244,83.02,27.07,62.0,,32.15
60,8740.394,83.93,27.31,62.0,,32.1
61,8740.544,84.62,27.54,62.0,,32.08
62,8740.544,,,,33.49,
63,8740.694,85.25,27.77,62.0,,32.06
64,8740.844,86.11,28.03,62.0,,32.03
65,8740.994,86.75,28.27,62.0,,32.0
66,8741.144,87.37,28.51,62.0,,31.99
67,8741.144,,,,35.09,
68,8741.294,88.19,28.77,62.0,,31.96
69,8741.444,88.8,29.02,62.0,,31.94
70,8741.594,89.4,29.27,62.0,,31.92
71,8741.744,90.19,29.55,62.0,,31.9
72,8741.744,,,,36.24,
73,8741.894,90.77,29.8,62.0,,31.89
74,8742.044,91.34,30.06,62.0,,31.87
75,8742.194,92.11,30.35,62.0,,31.84
76,8742.344,92.65,30.61,62.0,,31.82
77,8742.344,,,,37.63,
78,8742.494,93.22,30.88,62.0,,31.81
79,8742.644,93.93,31.17,62.0,,31.79
80,8742.794,94.47,31.44,62.0,,31.78
81,8742.944,94.99,31.72,62.0,,31.76
82,8742.944,,,,38.75,
83,8743.094,95.64,32.01,62.0,,31.74
84,8743.244,96.16,32.29,62.0,,31.73
85,8743.394,96.68,32.57,62.0,,31.71
86,8743.544,97.33,32.88,62.0,,31.7
87,8743.544,,,,39.93,
88,8743.694,97.8,33.16,62.0,,31.69
89,8743.844,98.25,33.44,62.0,,31.69
90,8743.994,98.9,33.75,62.0,,31.67
91,8744.144,99.31,34.03,62.0,,31.66
92,8744.144,,,,41.06,
93,8744.294,99.82,34.33,62.0,,31.66
94,8744.444,100.42,34.64,62.0,,31.65
95,8744.594,100.84,34.93,62.0,,31.64
96,8744.744,101.28,35.23,62.0,,31.64
97,8744.744,,,,42.13,
98,8744.894,101.88,35.55,62.0,,31.63
99,8745.044,102.31,35.85,62.0,,31.63
100,8745.194,102.73,36.14,62.0,,31.63
101,8745.342,103.27,36.46,62.0,,31.62
102,8745.342,,,,43.09,
103,8745.492,103.66,36.76,62.0,,31.62
104,8745.644,103.99,37.05,62.0,,31.62
105,8745.792,104.2,37.31,62.0,,31.63
106,8745.942,104.26,37.55,62.0,,31.65
107,8745.942,,,,44.14,
108,8746.092,104.19,37.76,62.0,,31.67
109,8746.242,104.03,37.95,62.0,,31.7
110,8746.394,103.82,38.13,62.0,,31.73
111,8746.394,,,,45.02,
112,8746.542,103.58,38.3,62.0,,31.76
113,8746.694,103.22,38.44,62.0,,31.78
114,8746.842,102.94,38.6,62.0,,31.81
115,8746.992,102.68,38.76,62.0,,31.84
116,8746.992,,,,46.03,
117,8747.142,102.39,38.91,62.0,,31.88
118,8747.292,102.17,39.09,62.0,,31.91
119,8747.442,101.91,39.28,62.0,,31.93
120,8747.592,101.61,39.48,62.0,,31.96
121,8747.592,,,,46.7,
122,8747.742,101.36,39.67,62.0,,31.97
123,8747.892,101.17,39.85,62.0,,31.99
124,8748.042,100.93,40.04,62.0,,32.01
125,8748.192,100.78,40.23,62.0,,32.02
126,8748.192,,,,47.45,
127,8748.342,100.62,40.41,62.0,,32.05
128,8748.492,100.42,40.6,62.0,,32.07
129,8748.642,100.25,40.78,62.0,,32.09
130,8748.792,100.17,40.96,62.0,,32.11
131,8748.792,,,,48.09,
132,8748.942,100.04,41.14,62.0,,32.13
133,8749.092,99.92,41.32,62.0,,32.14
134,8749.242,99.83,41.5,62.0,,32.16
135,8749.394,99.72,41.68,62.0,,32.18
136,8749.51,,,,48.7,
137,8749.543,99.62,41.85,62.0,,32.19
138,8749.694,99.51,42.03,62.0,,32.21
139,8749.842,99.45,42.2,62.0,,32.23
140,8749.994,99.37,42.37,62.0,,32.23
141,8749.994,,,,49.28,
142,8750.142,99.34,42.55,62.0,,32.26
143,8750.292,99.28,42.72,62.0,,32.26
144,8750.442,99.22,42.89,62.0,,32.28
145,8750.592,99.18,43.06,62.0,,32.29
146,8750.615,,,,49.86,
147,8750.742,99.16,43.23,62.0,,32.31
148,8750.892,99.11,43.4,62.0,,32.33
149,8751.042,99.07,43.56,62.0,,32.33
150,8751.194,99.03,43.73,62.0,,32.35
151,8751.194,,,,50.22,
152,8751.342,99.0,43.9,62.0,,32.37
153,8751.492,98.96,44.06,62.0,,32.39
154,8751.642,98.94,44.23,62.0,,32.4
155,8751.794,98.91,44.39,62.0,,32.41
156,8751.794,,,,50.84,
157,8751.977,98.91,44.56,62.0,,32.43
158,8752.12,98.91,44.72,62.0,,32.44
159,8752.27,98.91,44.88,62.0,,32.46
160,8752.42,98.89,45.04,62.0,,32.46
161,8752.42,,,,51.21,
162,8752.57,98.87,45.2,62.0,,32.48
163,8752.72,98.84,45.36,62.0,,32.5
164,8752.87,98.82,45.52,62.0,,32.51
