timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC
4560.532,30.73,24,45,45,27.39
4560.532,30.73,24,45,45,27.39
4560.532,30.73,24,45,45,27.39
4560.532,30.73,24,45,45,27.39
4560.682,30.74,24,45,45,27.39
4560.682,30.74,24,45,45,27.39
4560.682,30.74,24,45,45,27.39
4560.682,30.74,24,45,45,27.39
4560.682,30.74,24,45,45,27.39
4560.832,30.87,24,45,45,
4560.832,30.87,24,45,45,
4560.832,30.87,24,45,45,
4560.832,30.87,24,45,45,
4560.982,31.51,24,45,45,
4560.982,31.51,24,45,45,
4560.982,31.51,24,45,45,
4560.982,31.51,24,45,45,
4561.132,32.29,24,45,45,
4561.132,32.29,24,45,45,
4561.132,32.29,24,45,45,
4561.132,32.29,24,45,45,
4561.282,33.26,24,45,45,27.45
4561.282,33.26,24,45,45,27.45
4561.282,33.26,24,45,45,27.45
4561.282,33.26,24,45,45,27.45
4561.282,33.26,24,45,45,27.45
4561.432,34.74,24,45,45,
4561.432,34.74,24,45,45,
4561.432,34.74,24,45,45,
4561.432,34.74,24,45,45,
4561.582,35.93,24,45,45,
4561.582,35.93,24,45,45,
4561.582,35.93,24,45,45,
4561.582,35.93,24,45,45,
4561.732,37.18,24,45,45,
4561.732,37.18,24,45,45,
4561.732,37.18,24,45,45,
4561.732,37.18,24,45,45,
4561.882,38.88,24,45,45,27.5
4561.882,38.88,24,45,45,27.5
4561.882,38.88,24,45,45,27.5
4561.882,38.88,24,45,45,27.5
4561.882,38.88,24,45,45,27.5
4562.032,40.17,24,45,45,
4562.032,40.17,24,45,45,
4562.032,40.17,24,45,45,
4562.032,40.17,24,45,45,
4562.182,41.46,24,45,45,
4562.182,41.46,24,45,45,
4562.182,41.46,24,45,45,
4562.182,41.46,24,45,45,
4562.332,43.17,24,45,45,
4562.332,43.17,24,45,45,
4562.332,43.17,24,45,45,
4562.332,43.17,24,45,45,
4562.482,44.44,24,45,45,27.59
4562.482,44.44,24,45,45,27.59
4562.482,44.44,24,45,45,27.59
4562.482,44.44,24,45,45,27.59
4562.482,44.44,24,45,45,27.59
4562.632,45.72,24,45,45,
4562.632,45.72,24,45,45,
4562.632,45.72,24,45,45,
4562.632,45.72,24,45,45,
4562.782,47.37,24,45,45,
4562.782,47.37,24,45,45,
4562.782,47.37,24,45,45,
4562.782,47.37,24,45,45,
4562.932,48.61,24,45,45,
4562.932,48.61,24,45,45,
4562.932,48.61,24,45,45,
4562.932,48.61,24,45,45,
4563.082,49.83,24,45,45,27.5
4563.082,49.83,24,45,45,27.5
4563.082,49.83,24,45,45,27.5
4563.082,49.83,24,45,45,27.5
4563.082,49.83,24,45,45,27.5
4563.232,51.39,24,45,45,
4563.232,51.39,24,45,45,
4563.232,51.39,24,45,45,
4563.232,51.39,24,45,45,
4563.382,52.55,24,45,45,
4563.382,52.55,24,45,45,
4563.382,52.55,24,45,45,
4563.382,52.55,24,45,45,
4563.532,53.71,24,45,45,
4563.532,53.71,24,45,45,
4563.532,53.71,24,45,45,
4563.532,53.71,24,45,45,
4563.682,55.21,24,45,45,27.53
4563.682,55.21,24,45,45,27.53
4563.682,55.21,24,45,45,27.53
4563.682,55.21,24,45,45,27.53
4563.682,55.21,24,45,45,27.53
4563.832,56.31,24,45,45,
4563.832,56.31,24,45,45,
4563.832,56.31,24,45,45,
4563.832,56.31,24,45,45,
4563.982,57.39,24,45,45,
4563.982,57.39,24,45,45,
4563.982,57.39,24,45,45,
4563.982,57.39,24,45,45,
4564.132,58.82,24,45,45,
4564.132,58.82,24,45,45,
4564.132,58.82,24,45,45,
4564.132,58.82,24,45,45,
4564.282,59.87,24,45,45,27.52
4564.282,59.87,24,45,45,27.52
4564.282,59.87,24,45,45,27.52
4564.282,59.87,24,45,45,27.52
4564.282,59.87,24,45,45,27.52
4564.432,60.9,24,45,45,
4564.432,60.9,24,45,45,
4564.432,60.9,24,45,45,
4564.432,60.9,24,45,45,
4564.582,62.23,24,45,45,
4564.582,62.23,24,45,45,
4564.582,62.23,24,45,45,
4564.582,62.23,24,45,45,
4564.732,63.21,24,45,45,
4564.732,63.21,24,45,45,
4564.732,63.21,24,45,45,
4564.732,63.21,24,45,45,
4564.882,64.19,24,45,45,27.57
4564.882,64.19,24,45,45,27.57
4564.882,64.19,24,45,45,27.57
4564.882,64.19,24,45,45,27.57
4564.882,64.19,24,45,45,27.57
4565.032,65.46,24,45,45,
4565.032,65.46,24,45,45,
4565.032,65.46,24,45,45,
4565.032,65.46,24,45,45,
4565.182,66.39,24,45,45,
4565.182,66.39,24,45,45,
4565.182,66.39,24,45,45,
4565.182,66.39,24,45,45,
4565.332,67.32,24,45,45,
4565.332,67.32,24,45,45,
4565.332,67.32,24,45,45,
4565.332,67.32,24,45,45,
4565.482,68.51,24.07,45,45,27.64
4565.482,68.51,24.07,45,45,27.64
4565.482,68.51,24.07,45,45,27.64
4565.482,68.51,24.07,45,45,27.64
4565.482,68.51,24.07,45,45,27.64
4565.632,69.38,24.18,45,45,
4565.632,69.38,24.18,45,45,
4565.632,69.38,24.18,45,45,
4565.632,69.38,24.18,45,45,
4565.782,70.26,24.3,45,45,
4565.782,70.26,24.3,45,45,
4565.782,70.26,24.3,45,45,
4565.782,70.26,24.3,45,45,
4565.933,71.39,24.43,45,45,
4565.933,71.39,24.43,45,45,
4565.933,71.39,24.43,45,45,
4565.933,71.39,24.43,45,45,
4566.083,72.23,24.55,45,45,27.9
4566.083,72.23,24.55,45,45,27.9
4566.083,72.23,24.55,45,45,27.9
4566.083,72.23,24.55,45,45,27.9
4566.083,72.23,24.55,45,45,27.9
4566.233,73.06,24.68,45,45,
4566.233,73.06,24.68,45,45,
4566.233,73.06,24.68,45,45,
4566.233,73.06,24.68,45,45,
4566.384,74.12,24.82,45,45,
4566.384,74.12,24.82,45,45,
4566.384,74.12,24.82,45,45,
4566.384,74.12,24.82,45,45,
4566.534,74.91,24.96,45,45,
4566.534,74.91,24.96,45,45,
4566.534,74.91,24.96,45,45,
4566.534,74.91,24.96,45,45,
4566.684,75.68,25.1,45,45,28.69
4566.684,75.68,25.1,45,45,28.69
4566.684,75.68,25.1,45,45,28.69
4566.684,75.68,25.1,45,45,28.69
4566.684,75.68,25.1,45,45,28.69
4566.835,76.68,25.26,45,45,
4566.835,76.68,25.26,45,45,
4566.835,76.68,25.26,45,45,
4566.835,76.68,25.26,45,45,
4566.985,77.42,25.41,45,45,
4566.985,77.42,25.41,45,45,
4566.985,77.42,25.41,45,45,
4566.985,77.42,25.41,45,45,
4567.135,78.15,25.56,45,45,
4567.135,78.15,25.56,45,45,
4567.135,78.15,25.56,45,45,
4567.135,78.15,25.56,45,45,
4567.285,79.1,25.72,45,45,
4567.285,79.1,25.72,45,45,
4567.285,79.1,25.72,45,45,
4567.285,79.1,25.72,45,45,
4567.303,,,,,34.72
4567.435,79.8,25.88,45,45,
4567.435,79.8,25.88,45,45,
4567.435,79.8,25.88,45,45,
4567.435,79.8,25.88,45,45,
4567.585,80.5,26.05,45,45,
4567.585,80.5,26.05,45,45,
4567.585,80.5,26.05,45,45,
4567.585,80.5,26.05,45,45,
4567.736,81.41,26.22,45,45,
4567.736,81.41,26.22,45,45,
4567.736,81.41,26.22,45,45,
