timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQStage1Heatsink,dataQStage1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,pcrTempC,pcrFilteredTempC,pcrModeledTempC,pcrExpectedTempC,pcrSetTempC,dataQPcrPeltierTop,dataQPcrPeltierBottom,dataQPcrHeatsink,pcrPTerm,pcrITerm,pcrDTerm,pcrFFTerm,pidOutput,415nm,445nm,480nm,515nm,555nm,590nm,630nm,680nm,Clear,Nir,QDotRatio,FluorTemp,qDotPredictedTempC
1765.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.066,30.16,30.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.099,,,,,,,,29.31,29.31,32.27,32.27,55,,,,0.01,0,41.93,,38.08,,,,,,,,,,,,,
1944.182,30.12,30.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.201,,,,,,,,29.28,29.31,32.27,32.29,55,,,,0.11,0,-0.78,,80.89,,,,,,,,,,,,,
1944.243,,,,31.84,,,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.282,30.12,30.15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.297,,,,,,,,29.38,29.31,32.27,32.32,55,,,,0.26,0,-1.09,,81.36,,,,,,,,,,,,,
1944.392,29.86,30.14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.41,,,,,,,,29.77,29.32,32.29,32.37,55,,,,0.48,0.01,-1.39,,81.88,,,,,,,,,,,,,
1944.493,29.54,30.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.508,,,,,,,,30.35,29.37,32.32,32.43,55,,,,0.63,0.01,-1.08,,81.72,,,,,,,,,,,,,
1944.592,29.18,30.02,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.606,,,,,,,,31.11,29.52,32.38,32.51,55,,,,0.73,0.02,-0.64,,81.39,,,,,,,,,,,,,
1944.691,28.73,29.87,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.705,,,,,,,,32.03,29.78,32.46,32.6,55,,,,0.76,0.03,-0.37,,81.16,,,,,,,,,,,,,
1944.791,28.41,29.66,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.806,,,,,,,,33,30.17,32.58,32.71,55,,,,0.72,0.04,-0.21,,80.97,,,,,,,,,,,,,
1944.891,28.12,29.4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944.906,,,,,,,,34.02,30.72,32.72,32.83,55,,,,0.61,0.04,0.11,,80.55,,,,,,,,,,,,,
1944.991,27.77,29.1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945.006,,,,,,,,35.12,31.4,32.89,32.97,55,,,,0.41,0.05,0.56,,79.9,,,,,,,,,,,,,
