timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
7131.096,37.1,37.31,90,32.47,35.78
7131.096,37.1,37.31,90,32.47,35.78
7131.096,37.1,37.31,90,32.47,35.78
7131.096,37.1,37.31,90,32.47,35.78
7131.245,37.1,37.3,90,32.47,35.77
7131.245,37.1,37.3,90,32.47,35.77
7131.245,37.1,37.3,90,32.47,35.77
7131.245,37.1,37.3,90,32.47,35.77
7131.395,37.14,37.3,90,32.47,35.76
7131.395,37.14,37.3,90,32.47,35.76
7131.395,37.14,37.3,90,32.47,35.76
7131.395,37.14,37.3,90,32.47,35.76
7131.545,37.32,37.33,90,32.47,35.75
7131.545,37.32,37.33,90,32.47,35.75
7131.545,37.32,37.33,90,32.47,35.75
7131.545,37.32,37.33,90,32.47,35.75
7131.695,37.75,37.45,90,32.47,35.72
7131.695,37.75,37.45,90,32.47,35.72
7131.695,37.75,37.45,90,32.47,35.72
7131.695,37.75,37.45,90,32.47,35.72
7131.79,,,,32.47,
7131.845,38.91,37.73,90,,35.66
7131.845,38.91,37.73,90,,35.66
7131.845,38.91,37.73,90,,35.66
7131.845,38.91,37.73,90,,35.66
7131.997,39.84,38.1,90,,35.62
7131.997,39.84,38.1,90,,35.62
7131.997,39.84,38.1,90,,35.62
7131.997,39.84,38.1,90,,35.62
7132.145,41.6,38.67,90,,35.54
7132.145,41.6,38.67,90,,35.54
7132.145,41.6,38.67,90,,35.54
7132.145,41.6,38.67,90,,35.54
7132.295,42.79,39.28,90,,35.5
7132.295,42.79,39.28,90,,35.5
7132.295,42.79,39.28,90,,35.5
7132.295,42.79,39.28,90,,35.5
7132.379,,,,33.19,
7132.453,44.83,40.06,90,,35.42
7132.453,44.83,40.06,90,,35.42
7132.453,44.83,40.06,90,,35.42
7132.453,44.83,40.06,90,,35.42
7132.595,46.26,40.86,90,,35.36
7132.595,46.26,40.86,90,,35.36
7132.595,46.26,40.86,90,,35.36
7132.595,46.26,40.86,90,,35.36
7132.746,48.45,41.79,90,,35.28
7132.746,48.45,41.79,90,,35.28
7132.746,48.45,41.79,90,,35.28
7132.746,48.45,41.79,90,,35.28
7132.896,49.89,42.73,90,,35.23
7132.896,49.89,42.73,90,,35.23
7132.896,49.89,42.73,90,,35.23
7132.896,49.89,42.73,90,,35.23
7133.016,,,,34.47,
7133.046,52.06,43.71,90,,35.15
7133.046,52.06,43.71,90,,35.15
7133.046,52.06,43.71,90,,35.15
7133.046,52.06,43.71,90,,35.15
7133.205,53.43,44.68,90,,35.09
7133.205,53.43,44.68,90,,35.09
7133.205,53.43,44.68,90,,35.09
7133.205,53.43,44.68,90,,35.09
7133.348,55.55,45.67,90,,35.02
7133.348,55.55,45.67,90,,35.02
7133.348,55.55,45.67,90,,35.02
7133.348,55.55,45.67,90,,35.02
7133.498,56.94,46.56,90,,34.97
7133.498,56.94,46.56,90,,34.97
7133.498,56.94,46.56,90,,34.97
7133.498,56.94,46.56,90,,34.97
7133.547,,,,36.35,
7133.657,58.38,47.52,90,,34.92
7133.657,58.38,47.52,90,,34.92
7133.657,58.38,47.52,90,,34.92
7133.657,58.38,47.52,90,,34.92
7133.798,60.49,48.53,90,,34.84
7133.798,60.49,48.53,90,,34.84
7133.798,60.49,48.53,90,,34.84
7133.798,60.49,48.53,90,,34.84
7133.948,61.87,49.48,90,,34.8
7133.948,61.87,49.48,90,,34.8
7133.948,61.87,49.48,90,,34.8
7133.948,61.87,49.48,90,,34.8
7134.098,63.98,50.52,90,,34.73
7134.098,63.98,50.52,90,,34.73
7134.098,63.98,50.52,90,,34.73
7134.098,63.98,50.52,90,,34.73
7134.22,,,,38.5,
7134.248,65.31,51.47,90,,34.69
7134.248,65.31,51.47,90,,34.69
7134.248,65.31,51.47,90,,34.69
7134.248,65.31,51.47,90,,34.69
7134.398,67.52,52.55,90,,34.63
7134.398,67.52,52.55,90,,34.63
7134.398,67.52,52.55,90,,34.63
7134.398,67.52,52.55,90,,34.63
7134.548,68.91,53.59,90,,34.59
7134.548,68.91,53.59,90,,34.59
7134.548,68.91,53.59,90,,34.59
7134.548,68.91,53.59,90,,34.59
7134.698,70.27,54.57,90,41.57,34.55
7134.698,70.27,54.57,90,41.57,34.55
7134.698,70.27,54.57,90,41.57,34.55
7134.698,70.27,54.57,90,41.57,34.55
7134.698,70.27,54.57,90,41.57,34.55
7134.848,72.06,55.56,90,,34.5
7134.848,72.06,55.56,90,,34.5
7134.848,72.06,55.56,90,,34.5
7134.848,72.06,55.56,90,,34.5
7134.999,73.38,56.54,90,,34.45
7134.999,73.38,56.54,90,,34.45
7134.999,73.38,56.54,90,,34.45
7134.999,73.38,56.54,90,,34.45
7135.148,74.68,57.48,90,,34.41
7135.148,74.68,57.48,90,,34.41
7135.148,74.68,57.48,90,,34.41
7135.148,74.68,57.48,90,,34.41
7135.298,76.35,58.44,90,,34.37
7135.298,76.35,58.44,90,,34.37
7135.298,76.35,58.44,90,,34.37
7135.298,76.35,58.44,90,,34.37
7135.448,77.61,59.39,90,45.5,34.34
7135.448,77.61,59.39,90,45.5,34.34
7135.448,77.61,59.39,90,45.5,34.34
7135.448,77.61,59.39,90,45.5,34.34
7135.448,77.61,59.39,90,45.5,34.34
7135.598,78.83,60.31,90,,34.31
7135.598,78.83,60.31,90,,34.31
7135.598,78.83,60.31,90,,34.31
7135.598,78.83,60.31,90,,34.31
7135.748,80.42,61.24,90,,34.27
7135.748,80.42,61.24,90,,34.27
7135.748,80.42,61.24,90,,34.27
7135.748,80.42,61.24,90,,34.27
7135.898,81.61,62.18,90,,34.24
7135.898,81.61,62.18,90,,34.24
7135.898,81.61,62.18,90,,34.24
7135.898,81.61,62.18,90,,34.24
7136.048,82.76,63.07,90,52.42,34.2
7136.048,82.76,63.07,90,52.42,34.2
7136.048,82.76,63.07,90,52.42,34.2
7136.048,82.76,63.07,90,52.42,34.2
7136.048,82.76,63.07,90,52.42,34.2
7136.198,84.25,63.98,90,,34.16
7136.198,84.25,63.98,90,,34.16
7136.198,84.25,63.98,90,,34.16
7136.198,84.25,63.98,90,,34.16
7136.348,85.35,64.89,90,,34.14
7136.348,85.35,64.89,90,,34.14
7136.348,85.35,64.89,90,,34.14
7136.348,85.35,64.89,90,,34.14
7136.498,86.43,65.76,90,,34.11
7136.498,86.43,65.76,90,,34.11
7136.498,86.43,65.76,90,,34.11
7136.498,86.43,65.76,90,,34.11
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.648,87.86,66.65,90,64,34.08
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.799,88.89,67.54,90,,34.06
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7136.949,89.91,68.39,90,,34.03
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.099,91.25,69.25,90,,34.01
7137.249,92.24,70.12,90,82.9,33.98
7137.249,92.24,70.12,90,82.9,33.98
